subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5cc48c234bb96d00018a8bfe	headphonecheck_testphase	3	NA	NA	0	NA	second	1	959
5cc48c234bb96d00018a8bfe	headphonecheck_testphase	6	NA	NA	0	NA	third	0	647
5cc48c234bb96d00018a8bfe	headphonecheck_testphase	9	NA	NA	0	NA	second	1	567
5cc48c234bb96d00018a8bfe	headphonecheck_testphase	12	NA	NA	0	NA	first	1	189
5cc48c234bb96d00018a8bfe	headphonecheck_testphase	15	NA	NA	0	NA	third	1	462
5cc48c234bb96d00018a8bfe	headphonecheck_testphase	18	NA	NA	0	NA	third	1	473
5cc48c234bb96d00018a8bfe	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	500
5cc48c234bb96d00018a8bfe	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	282
5cc48c234bb96d00018a8bfe	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	166
5cc48c234bb96d00018a8bfe	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	209
5cc48c234bb96d00018a8bfe	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	0	602
5cc48c234bb96d00018a8bfe	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	223
5cc48c234bb96d00018a8bfe	DL_practice	2	ka	pa	1	left	ka	1	1810
5cc48c234bb96d00018a8bfe	DL_practice	3	da	da	0	left	da	1	2249
5cc48c234bb96d00018a8bfe	DL_practice	4	ga	ga	0	left	ga	1	965
5cc48c234bb96d00018a8bfe	DL_practice	5	pa	pa	0	left	pa	1	1711
5cc48c234bb96d00018a8bfe	DL_practice	6	da	ba	1	left	da	1	2835
5cc48c234bb96d00018a8bfe	DL_practice	7	ba	ba	0	left	ba	1	1793
5cc48c234bb96d00018a8bfe	DL_practice	8	ka	ka	0	left	ka	1	821
5cc48c234bb96d00018a8bfe	DL_practice	9	ga	ta	1	other	ka	0	2022
5cc48c234bb96d00018a8bfe	DL_practice	10	ta	ta	0	left	ta	1	1534
5cc48c234bb96d00018a8bfe	DL_test	1	ta	ga	1	other	ka	0	1270
5cc48c234bb96d00018a8bfe	DL_test	2	ka	da	1	left	ka	1	713
5cc48c234bb96d00018a8bfe	DL_test	3	ba	pa	1	right	pa	1	1311
5cc48c234bb96d00018a8bfe	DL_test	4	ka	ga	1	left	ka	1	951
5cc48c234bb96d00018a8bfe	DL_test	5	ta	da	1	left	ta	1	2369
5cc48c234bb96d00018a8bfe	DL_test	6	ga	da	1	right	da	1	1068
5cc48c234bb96d00018a8bfe	DL_test	7	ga	pa	1	other	ka	0	1315
5cc48c234bb96d00018a8bfe	DL_test	8	ta	ba	1	other	ka	0	832
5cc48c234bb96d00018a8bfe	DL_test	9	ba	da	1	right	da	1	1935
5cc48c234bb96d00018a8bfe	DL_test	10	pa	pa	0	left	pa	1	1829
5cc48c234bb96d00018a8bfe	DL_test	11	da	ga	1	left	da	1	1240
5cc48c234bb96d00018a8bfe	DL_test	12	ta	pa	1	right	pa	1	1352
5cc48c234bb96d00018a8bfe	DL_test	13	ka	ka	0	left	ka	1	1330
5cc48c234bb96d00018a8bfe	DL_test	14	ga	ta	1	left	ga	1	1143
5cc48c234bb96d00018a8bfe	DL_test	15	ta	ta	0	left	ta	1	1488
5cc48c234bb96d00018a8bfe	DL_test	16	ga	ba	1	other	da	0	901
5cc48c234bb96d00018a8bfe	DL_test	17	da	ka	1	other	ga	0	931
5cc48c234bb96d00018a8bfe	DL_test	18	da	pa	1	other	ga	0	724
5cc48c234bb96d00018a8bfe	DL_test	19	pa	ba	1	left	pa	1	1137
5cc48c234bb96d00018a8bfe	DL_test	20	ta	ka	1	right	ka	1	887
5cc48c234bb96d00018a8bfe	DL_test	21	ga	ga	0	left	ga	1	777
5cc48c234bb96d00018a8bfe	DL_test	22	da	da	0	left	da	1	781
5cc48c234bb96d00018a8bfe	DL_test	23	ka	ta	1	left	ka	1	928
5cc48c234bb96d00018a8bfe	DL_test	24	pa	ta	1	right	ta	1	1363
5cc48c234bb96d00018a8bfe	DL_test	25	ba	ka	1	right	ka	1	1070
5cc48c234bb96d00018a8bfe	DL_test	26	ba	ga	1	other	da	0	1153
5cc48c234bb96d00018a8bfe	DL_test	27	pa	ka	1	right	ka	1	829
5cc48c234bb96d00018a8bfe	DL_test	28	ka	pa	1	left	ka	1	653
5cc48c234bb96d00018a8bfe	DL_test	29	ga	ka	1	right	ka	1	433
5cc48c234bb96d00018a8bfe	DL_test	30	pa	da	1	left	pa	1	907
5cc48c234bb96d00018a8bfe	DL_test	31	pa	ga	1	left	pa	1	825
5cc48c234bb96d00018a8bfe	DL_test	32	ba	ta	1	other	pa	0	1216
5cc48c234bb96d00018a8bfe	DL_test	33	ba	ba	0	left	ba	1	1483
5cc48c234bb96d00018a8bfe	DL_test	34	da	ba	1	right	ba	1	1574
5cc48c234bb96d00018a8bfe	DL_test	35	ka	ba	1	left	ka	1	1256
5cc48c234bb96d00018a8bfe	DL_test	36	da	ta	1	right	ta	1	1243
5cc48c234bb96d00018a8bfe	DL_test	1	pa	ga	1	left	pa	1	2211
5cc48c234bb96d00018a8bfe	DL_test	2	pa	ba	1	left	pa	1	716
5cc48c234bb96d00018a8bfe	DL_test	3	ba	ka	1	right	ka	1	860
5cc48c234bb96d00018a8bfe	DL_test	4	ga	ka	1	right	ka	1	2517
5cc48c234bb96d00018a8bfe	DL_test	5	ka	ba	1	left	ka	1	565
5cc48c234bb96d00018a8bfe	DL_test	6	ba	da	1	right	da	1	1319
5cc48c234bb96d00018a8bfe	DL_test	7	ga	pa	1	other	ka	0	955
5cc48c234bb96d00018a8bfe	DL_test	8	da	ga	1	left	da	1	1375
5cc48c234bb96d00018a8bfe	DL_test	9	ta	da	1	other	ka	0	918
5cc48c234bb96d00018a8bfe	DL_test	10	pa	da	1	other	ka	0	522
5cc48c234bb96d00018a8bfe	DL_test	11	ba	ta	1	other	ka	0	680
5cc48c234bb96d00018a8bfe	DL_test	12	da	da	0	left	da	1	1309
5cc48c234bb96d00018a8bfe	DL_test	13	ba	pa	1	right	pa	1	1084
5cc48c234bb96d00018a8bfe	DL_test	14	ta	ka	1	right	ka	1	689
5cc48c234bb96d00018a8bfe	DL_test	15	ka	ta	1	left	ka	1	492
5cc48c234bb96d00018a8bfe	DL_test	16	ka	pa	1	left	ka	1	450
5cc48c234bb96d00018a8bfe	DL_test	17	da	ta	1	right	ta	1	1683
5cc48c234bb96d00018a8bfe	DL_test	18	ka	da	1	left	ka	1	1232
5cc48c234bb96d00018a8bfe	DL_test	19	ga	da	1	right	da	1	1573
5cc48c234bb96d00018a8bfe	DL_test	20	ga	ta	1	other	ka	0	987
5cc48c234bb96d00018a8bfe	DL_test	21	ba	ga	1	other	pa	0	1030
5cc48c234bb96d00018a8bfe	DL_test	22	pa	ta	1	right	ta	1	1469
5cc48c234bb96d00018a8bfe	DL_test	23	da	pa	1	right	pa	1	739
5cc48c234bb96d00018a8bfe	DL_test	24	ka	ga	1	left	ka	1	796
5cc48c234bb96d00018a8bfe	DL_test	25	ta	ba	1	other	ka	0	750
5cc48c234bb96d00018a8bfe	DL_test	26	da	ba	1	left	da	1	1080
5cc48c234bb96d00018a8bfe	DL_test	27	pa	pa	0	left	pa	1	1392
5cc48c234bb96d00018a8bfe	DL_test	28	ga	ba	1	right	ba	1	1623
5cc48c234bb96d00018a8bfe	DL_test	29	ta	ga	1	other	ka	0	955
5cc48c234bb96d00018a8bfe	DL_test	30	ka	ka	0	left	ka	1	648
5cc48c234bb96d00018a8bfe	DL_test	31	pa	ka	1	right	ka	1	374
5cc48c234bb96d00018a8bfe	DL_test	32	ba	ba	0	left	ba	1	1673
5cc48c234bb96d00018a8bfe	DL_test	33	ta	ta	0	left	ta	1	1852
5cc48c234bb96d00018a8bfe	DL_test	34	ga	ga	0	left	ga	1	930
5cc48c234bb96d00018a8bfe	DL_test	35	da	ka	1	other	pa	0	1343
5cc48c234bb96d00018a8bfe	DL_test	36	ta	pa	1	right	pa	1	581
5cc48c234bb96d00018a8bfe	DL_test	1	pa	ba	1	left	pa	1	1872
5cc48c234bb96d00018a8bfe	DL_test	2	ta	ga	1	other	ka	0	965
5cc48c234bb96d00018a8bfe	DL_test	3	da	ba	1	right	ba	1	1648
5cc48c234bb96d00018a8bfe	DL_test	4	pa	da	1	other	ba	0	821
5cc48c234bb96d00018a8bfe	DL_test	5	ba	ga	1	right	ga	1	742
5cc48c234bb96d00018a8bfe	DL_test	6	ga	pa	1	right	pa	1	1690
5cc48c234bb96d00018a8bfe	DL_test	7	ga	ba	1	right	ba	1	1916
5cc48c234bb96d00018a8bfe	DL_test	8	ka	ba	1	right	ba	1	607
5cc48c234bb96d00018a8bfe	DL_test	9	pa	ga	1	other	ba	0	793
5cc48c234bb96d00018a8bfe	DL_test	10	pa	pa	0	left	pa	1	1226
5cc48c234bb96d00018a8bfe	DL_test	11	ga	ga	0	left	ga	1	1011
5cc48c234bb96d00018a8bfe	DL_test	12	ba	ka	1	other	ga	0	844
5cc48c234bb96d00018a8bfe	DL_test	13	ta	ka	1	right	ka	1	1066
5cc48c234bb96d00018a8bfe	DL_test	14	ka	ta	1	left	ka	1	551
5cc48c234bb96d00018a8bfe	DL_test	15	da	ka	1	other	pa	0	1207
5cc48c234bb96d00018a8bfe	DL_test	16	pa	ka	1	right	ka	1	940
5cc48c234bb96d00018a8bfe	DL_test	17	ba	ba	0	other	da	0	1042
5cc48c234bb96d00018a8bfe	DL_test	18	da	da	0	left	da	1	5665
5cc48c234bb96d00018a8bfe	DL_test	19	ta	ta	0	left	ta	1	2561
5cc48c234bb96d00018a8bfe	DL_test	20	ba	pa	1	right	pa	1	760
5cc48c234bb96d00018a8bfe	DL_test	21	ba	ta	1	other	pa	0	697
5cc48c234bb96d00018a8bfe	DL_test	22	pa	ta	1	right	ta	1	1289
5cc48c234bb96d00018a8bfe	DL_test	23	ga	ka	1	right	ka	1	1300
