subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5d15fedfa8eae10015738ed7	headphonecheck_testphase	3	NA	NA	0	NA	second	1	777
5d15fedfa8eae10015738ed7	headphonecheck_testphase	6	NA	NA	0	NA	second	0	3850
5d15fedfa8eae10015738ed7	headphonecheck_testphase	9	NA	NA	0	NA	third	1	1854
5d15fedfa8eae10015738ed7	headphonecheck_testphase	12	NA	NA	0	NA	third	1	529
5d15fedfa8eae10015738ed7	headphonecheck_testphase	15	NA	NA	0	NA	second	1	368
5d15fedfa8eae10015738ed7	headphonecheck_testphase	18	NA	NA	0	NA	third	0	373
5d15fedfa8eae10015738ed7	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	875
5d15fedfa8eae10015738ed7	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	338
5d15fedfa8eae10015738ed7	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	264
5d15fedfa8eae10015738ed7	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	224
5d15fedfa8eae10015738ed7	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	230
5d15fedfa8eae10015738ed7	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	255
5d15fedfa8eae10015738ed7	DL_practice	2	ga	ga	0	left	ga	1	723
5d15fedfa8eae10015738ed7	DL_practice	3	pa	pa	0	left	pa	1	1497
5d15fedfa8eae10015738ed7	DL_practice	4	ba	ba	0	left	ba	1	1000
5d15fedfa8eae10015738ed7	DL_practice	5	da	da	0	other	ga	0	1008
5d15fedfa8eae10015738ed7	DL_practice	6	ga	ta	1	left	ga	1	1393
5d15fedfa8eae10015738ed7	DL_practice	7	ka	pa	1	left	ka	1	958
5d15fedfa8eae10015738ed7	DL_practice	8	da	ba	1	right	ba	1	1258
5d15fedfa8eae10015738ed7	DL_practice	9	ta	ta	0	left	ta	1	1407
5d15fedfa8eae10015738ed7	DL_practice	10	ka	ka	0	left	ka	1	841
5d15fedfa8eae10015738ed7	DL_test	1	ba	ga	1	left	ba	1	951
5d15fedfa8eae10015738ed7	DL_test	2	ga	pa	1	left	ga	1	1308
5d15fedfa8eae10015738ed7	DL_test	3	ka	ta	1	left	ka	1	852
5d15fedfa8eae10015738ed7	DL_test	4	ka	pa	1	left	ka	1	571
5d15fedfa8eae10015738ed7	DL_test	5	pa	ta	1	right	ta	1	1377
5d15fedfa8eae10015738ed7	DL_test	6	pa	ga	1	right	ga	1	856
5d15fedfa8eae10015738ed7	DL_test	7	ba	ta	1	left	ba	1	1738
5d15fedfa8eae10015738ed7	DL_test	8	ba	da	1	left	ba	1	1165
5d15fedfa8eae10015738ed7	DL_test	9	ta	da	1	right	da	1	831
5d15fedfa8eae10015738ed7	DL_test	10	ka	ka	0	left	ka	1	987
5d15fedfa8eae10015738ed7	DL_test	11	ba	pa	1	right	pa	1	1557
5d15fedfa8eae10015738ed7	DL_test	12	ta	ga	1	right	ga	1	1095
5d15fedfa8eae10015738ed7	DL_test	13	ba	ba	0	left	ba	1	1394
5d15fedfa8eae10015738ed7	DL_test	14	pa	da	1	other	ga	0	1229
5d15fedfa8eae10015738ed7	DL_test	15	ga	ka	1	left	ga	1	789
5d15fedfa8eae10015738ed7	DL_test	16	da	ga	1	right	ga	1	649
5d15fedfa8eae10015738ed7	DL_test	17	ga	ga	0	left	ga	1	674
5d15fedfa8eae10015738ed7	DL_test	18	pa	ka	1	right	ka	1	1207
5d15fedfa8eae10015738ed7	DL_test	19	ta	ka	1	right	ka	1	860
5d15fedfa8eae10015738ed7	DL_test	20	da	pa	1	left	da	1	1256
5d15fedfa8eae10015738ed7	DL_test	21	ga	ta	1	left	ga	1	1148
5d15fedfa8eae10015738ed7	DL_test	22	ka	da	1	other	ga	0	1279
5d15fedfa8eae10015738ed7	DL_test	23	ta	ta	0	left	ta	1	1431
5d15fedfa8eae10015738ed7	DL_test	24	pa	ba	1	left	pa	1	2618
5d15fedfa8eae10015738ed7	DL_test	25	ta	ba	1	right	ba	1	1979
5d15fedfa8eae10015738ed7	DL_test	26	da	ka	1	left	da	1	891
5d15fedfa8eae10015738ed7	DL_test	27	ka	ga	1	right	ga	1	736
5d15fedfa8eae10015738ed7	DL_test	28	da	ba	1	right	ba	1	1261
5d15fedfa8eae10015738ed7	DL_test	29	ba	ka	1	right	ka	1	1230
5d15fedfa8eae10015738ed7	DL_test	30	ta	pa	1	left	ta	1	1401
5d15fedfa8eae10015738ed7	DL_test	31	da	da	0	other	ga	0	900
5d15fedfa8eae10015738ed7	DL_test	32	da	ta	1	right	ta	1	1344
5d15fedfa8eae10015738ed7	DL_test	33	pa	pa	0	left	pa	1	798
5d15fedfa8eae10015738ed7	DL_test	34	ka	ba	1	left	ka	1	820
5d15fedfa8eae10015738ed7	DL_test	35	ga	ba	1	right	ba	1	811
5d15fedfa8eae10015738ed7	DL_test	36	ga	da	1	left	ga	1	761
5d15fedfa8eae10015738ed7	DL_test	1	ka	pa	1	left	ka	1	1100
5d15fedfa8eae10015738ed7	DL_test	2	ka	ka	0	left	ka	1	560
5d15fedfa8eae10015738ed7	DL_test	3	ba	pa	1	right	pa	1	1335
5d15fedfa8eae10015738ed7	DL_test	4	pa	da	1	other	ga	0	828
5d15fedfa8eae10015738ed7	DL_test	5	pa	ga	1	right	ga	1	825
