subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5d206e075278fa001848134d	headphonecheck_testphase	3	NA	NA	0	NA	second	1	188
5d206e075278fa001848134d	headphonecheck_testphase	6	NA	NA	0	NA	third	1	246
5d206e075278fa001848134d	headphonecheck_testphase	9	NA	NA	0	NA	third	1	54
5d206e075278fa001848134d	headphonecheck_testphase	12	NA	NA	0	NA	first	1	376
5d206e075278fa001848134d	headphonecheck_testphase	15	NA	NA	0	NA	first	1	408
5d206e075278fa001848134d	headphonecheck_testphase	18	NA	NA	0	NA	second	1	340
5d206e075278fa001848134d	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	239
5d206e075278fa001848134d	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	316
5d206e075278fa001848134d	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	252
5d206e075278fa001848134d	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	273
5d206e075278fa001848134d	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	257
5d206e075278fa001848134d	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	238
5d206e075278fa001848134d	DL_practice	2	ga	ga	0	left	ga	1	1056
5d206e075278fa001848134d	DL_practice	3	ka	pa	1	right	pa	1	1138
5d206e075278fa001848134d	DL_practice	4	ba	ba	0	left	ba	1	1633
5d206e075278fa001848134d	DL_practice	5	ga	ta	1	left	ga	1	1286
5d206e075278fa001848134d	DL_practice	6	ta	ta	0	left	ta	1	1138
5d206e075278fa001848134d	DL_practice	7	da	ba	1	left	da	1	935
5d206e075278fa001848134d	DL_practice	8	ka	ka	0	left	ka	1	876
5d206e075278fa001848134d	DL_practice	9	da	da	0	left	da	1	877
5d206e075278fa001848134d	DL_practice	10	pa	pa	0	left	pa	1	1221
5d206e075278fa001848134d	DL_test	1	ga	ta	1	left	ga	1	1187
5d206e075278fa001848134d	DL_test	2	ta	ka	1	right	ka	1	960
5d206e075278fa001848134d	DL_test	3	ta	pa	1	right	pa	1	739
5d206e075278fa001848134d	DL_test	4	ka	pa	1	right	pa	1	1319
5d206e075278fa001848134d	DL_test	5	da	ta	1	left	da	1	706
5d206e075278fa001848134d	DL_test	6	ba	ta	1	right	ta	1	1177
5d206e075278fa001848134d	DL_test	7	da	ga	1	left	da	1	941
5d206e075278fa001848134d	DL_test	8	ka	ta	1	left	ka	1	1167
5d206e075278fa001848134d	DL_test	9	ga	ba	1	other	da	0	800
5d206e075278fa001848134d	DL_test	10	ba	da	1	right	da	1	1422
5d206e075278fa001848134d	DL_test	11	da	ka	1	other	ta	0	1557
5d206e075278fa001848134d	DL_test	12	ka	ka	0	left	ka	1	902
5d206e075278fa001848134d	DL_test	13	ba	pa	1	right	pa	1	1721
5d206e075278fa001848134d	DL_test	14	ta	ga	1	other	da	0	1095
5d206e075278fa001848134d	DL_test	15	pa	pa	0	left	pa	1	887
5d206e075278fa001848134d	DL_test	16	pa	ka	1	right	ka	1	837
5d206e075278fa001848134d	DL_test	17	ga	pa	1	left	ga	1	621
5d206e075278fa001848134d	DL_test	18	ba	ba	0	left	ba	1	1333
5d206e075278fa001848134d	DL_test	19	ga	da	1	right	da	1	1007
5d206e075278fa001848134d	DL_test	20	pa	ga	1	right	ga	1	1050
5d206e075278fa001848134d	DL_test	21	ta	ba	1	other	pa	0	814
5d206e075278fa001848134d	DL_test	22	pa	ta	1	right	ta	1	826
5d206e075278fa001848134d	DL_test	23	ba	ga	1	other	da	0	1014
5d206e075278fa001848134d	DL_test	24	ga	ka	1	left	ga	1	794
5d206e075278fa001848134d	DL_test	25	ba	ka	1	right	ka	1	990
5d206e075278fa001848134d	DL_test	26	ga	ga	0	left	ga	1	731
5d206e075278fa001848134d	DL_test	27	ta	ta	0	left	ta	1	1189
5d206e075278fa001848134d	DL_test	28	da	ba	1	left	da	1	936
5d206e075278fa001848134d	DL_test	29	da	pa	1	right	pa	1	1369
5d206e075278fa001848134d	DL_test	30	ta	da	1	right	da	1	762
5d206e075278fa001848134d	DL_test	31	da	da	0	left	da	1	876
5d206e075278fa001848134d	DL_test	32	ka	ba	1	left	ka	1	952
5d206e075278fa001848134d	DL_test	33	pa	da	1	left	pa	1	1018
5d206e075278fa001848134d	DL_test	34	pa	ba	1	left	pa	1	880
5d206e075278fa001848134d	DL_test	35	ka	ga	1	left	ka	1	978
5d206e075278fa001848134d	DL_test	36	ka	da	1	other	ta	0	1364
5d206e075278fa001848134d	DL_test	1	ba	ga	1	other	da	0	1015
5d206e075278fa001848134d	DL_test	2	ka	ka	0	left	ka	1	1097
5d206e075278fa001848134d	DL_test	3	ga	ka	1	right	ka	1	907
5d206e075278fa001848134d	DL_test	4	ta	ka	1	right	ka	1	920
5d206e075278fa001848134d	DL_test	5	pa	ka	1	right	ka	1	776
5d206e075278fa001848134d	DL_test	6	ba	ba	0	left	ba	1	1156
5d206e075278fa001848134d	DL_test	7	pa	ba	1	left	pa	1	1274
5d206e075278fa001848134d	DL_test	8	da	ba	1	left	da	1	941
5d206e075278fa001848134d	DL_test	9	ta	ta	0	left	ta	1	1816
5d206e075278fa001848134d	DL_test	10	ga	ba	1	left	ga	1	1207
5d206e075278fa001848134d	DL_test	11	ba	pa	1	right	pa	1	1027
5d206e075278fa001848134d	DL_test	12	ba	ka	1	other	ta	0	1016
5d206e075278fa001848134d	DL_test	13	ga	ta	1	right	ta	1	883
5d206e075278fa001848134d	DL_test	14	ta	da	1	right	da	1	1097
5d206e075278fa001848134d	DL_test	15	ga	ga	0	left	ga	1	966
5d206e075278fa001848134d	DL_test	16	ga	pa	1	right	pa	1	1085
5d206e075278fa001848134d	DL_test	17	ta	ba	1	other	ka	0	1860
5d206e075278fa001848134d	DL_test	18	ka	ba	1	other	ga	0	1218
5d206e075278fa001848134d	DL_test	19	pa	da	1	other	ta	0	1160
5d206e075278fa001848134d	DL_test	20	pa	pa	0	left	pa	1	1183
5d206e075278fa001848134d	DL_test	21	da	ka	1	other	ta	0	1244
5d206e075278fa001848134d	DL_test	22	pa	ga	1	right	ga	1	807
5d206e075278fa001848134d	DL_test	23	ba	ta	1	right	ta	1	993
5d206e075278fa001848134d	DL_test	24	da	pa	1	other	ta	0	946
5d206e075278fa001848134d	DL_test	25	da	da	0	left	da	1	1219
5d206e075278fa001848134d	DL_test	26	ta	pa	1	left	ta	1	1140
5d206e075278fa001848134d	DL_test	27	da	ta	1	right	ta	1	1030
5d206e075278fa001848134d	DL_test	28	ka	ta	1	left	ka	1	1468
5d206e075278fa001848134d	DL_test	29	da	ga	1	left	da	1	933
5d206e075278fa001848134d	DL_test	30	ka	pa	1	other	ta	0	974
5d206e075278fa001848134d	DL_test	31	ka	ga	1	right	ga	1	616
5d206e075278fa001848134d	DL_test	32	ka	da	1	right	da	1	779
5d206e075278fa001848134d	DL_test	33	pa	ta	1	right	ta	1	898
5d206e075278fa001848134d	DL_test	34	ta	ga	1	other	da	0	1212
5d206e075278fa001848134d	DL_test	35	ga	da	1	right	da	1	802
5d206e075278fa001848134d	DL_test	36	ba	da	1	right	da	1	863
5d206e075278fa001848134d	DL_test	1	ga	ta	1	right	ta	1	1030
5d206e075278fa001848134d	DL_test	2	ta	pa	1	left	ta	1	837
5d206e075278fa001848134d	DL_test	3	ga	ka	1	right	ka	1	1070
5d206e075278fa001848134d	DL_test	4	ba	ka	1	right	ka	1	1685
5d206e075278fa001848134d	DL_test	5	pa	da	1	right	da	1	1061
5d206e075278fa001848134d	DL_test	6	da	ga	1	left	da	1	934
5d206e075278fa001848134d	DL_test	7	ba	ga	1	other	da	0	639
5d206e075278fa001848134d	DL_test	8	ta	ba	1	other	pa	0	1167
5d206e075278fa001848134d	DL_test	9	pa	ka	1	right	ka	1	716
5d206e075278fa001848134d	DL_test	10	pa	ga	1	right	ga	1	729
5d206e075278fa001848134d	DL_test	11	ta	da	1	other	ga	0	1515
5d206e075278fa001848134d	DL_test	12	pa	pa	0	left	pa	1	1119
5d206e075278fa001848134d	DL_test	13	da	ba	1	left	da	1	1495
5d206e075278fa001848134d	DL_test	14	ta	ga	1	left	ta	1	1418
5d206e075278fa001848134d	DL_test	15	da	da	0	left	da	1	994
5d206e075278fa001848134d	DL_test	16	da	ta	1	right	ta	1	867
5d206e075278fa001848134d	DL_test	17	ta	ka	1	left	ta	1	874
5d206e075278fa001848134d	DL_test	18	ba	da	1	left	ba	1	1235
5d206e075278fa001848134d	DL_test	19	ga	pa	1	right	pa	1	1463
5d206e075278fa001848134d	DL_test	20	ba	ba	0	left	ba	1	1470
5d206e075278fa001848134d	DL_test	21	ga	ba	1	right	ba	1	1160
5d206e075278fa001848134d	DL_test	22	ba	ta	1	right	ta	1	816
5d206e075278fa001848134d	DL_test	23	ta	ta	0	left	ta	1	989
5d206e075278fa001848134d	DL_test	24	ka	ba	1	left	ka	1	1165
5d206e075278fa001848134d	DL_test	25	da	pa	1	right	pa	1	1715
5d206e075278fa001848134d	DL_test	26	ba	pa	1	right	pa	1	958
5d206e075278fa001848134d	DL_test	27	da	ka	1	other	ta	0	826
5d206e075278fa001848134d	DL_test	28	ka	ka	0	left	ka	1	817
5d206e075278fa001848134d	DL_test	29	ka	ga	1	left	ka	1	879
5d206e075278fa001848134d	DL_test	30	ka	da	1	right	da	1	1579
5d206e075278fa001848134d	DL_test	31	pa	ta	1	right	ta	1	1173
5d206e075278fa001848134d	DL_test	32	ka	ta	1	left	ka	1	1365
5d206e075278fa001848134d	DL_test	33	ga	da	1	right	da	1	929
5d206e075278fa001848134d	DL_test	34	ga	ga	0	left	ga	1	1309
5d206e075278fa001848134d	DL_test	35	pa	ba	1	left	pa	1	996
5d206e075278fa001848134d	DL_test	36	ka	pa	1	left	ka	1	1070
5d206e075278fa001848134d	DL_test	1	pa	da	1	right	da	1	928
5d206e075278fa001848134d	DL_test	2	ba	ka	1	right	ka	1	1043
5d206e075278fa001848134d	DL_test	3	da	ka	1	other	ta	0	1519
5d206e075278fa001848134d	DL_test	4	ta	ba	1	other	pa	0	1136
5d206e075278fa001848134d	DL_test	5	pa	ga	1	right	ga	1	883
5d206e075278fa001848134d	DL_test	6	ka	ba	1	other	ga	0	4151
