subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5d2de4db914b6e001877da8f	headphonecheck_testphase	3	NA	NA	0	NA	first	1	997
5d2de4db914b6e001877da8f	headphonecheck_testphase	6	NA	NA	0	NA	third	1	282
5d2de4db914b6e001877da8f	headphonecheck_testphase	9	NA	NA	0	NA	third	1	348
5d2de4db914b6e001877da8f	headphonecheck_testphase	12	NA	NA	0	NA	second	1	286
5d2de4db914b6e001877da8f	headphonecheck_testphase	15	NA	NA	0	NA	first	1	177
5d2de4db914b6e001877da8f	headphonecheck_testphase	18	NA	NA	0	NA	second	1	218
5d2de4db914b6e001877da8f	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	1966
5d2de4db914b6e001877da8f	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	3222
5d2de4db914b6e001877da8f	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	385
5d2de4db914b6e001877da8f	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	236
5d2de4db914b6e001877da8f	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	322
5d2de4db914b6e001877da8f	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	283
5d2de4db914b6e001877da8f	DL_practice	2	ga	ga	0	left	ga	1	688
5d2de4db914b6e001877da8f	DL_practice	3	ka	ka	0	left	ka	1	857
5d2de4db914b6e001877da8f	DL_practice	4	pa	pa	0	left	pa	1	696
5d2de4db914b6e001877da8f	DL_practice	5	ka	pa	1	left	ka	1	1014
5d2de4db914b6e001877da8f	DL_practice	6	ba	ba	0	left	ba	1	960
5d2de4db914b6e001877da8f	DL_practice	7	ta	ta	0	left	ta	1	1129
5d2de4db914b6e001877da8f	DL_practice	8	da	ba	1	left	da	1	1089
5d2de4db914b6e001877da8f	DL_practice	9	ga	ta	1	other	ka	0	1105
5d2de4db914b6e001877da8f	DL_practice	10	da	da	0	left	da	1	1172
5d2de4db914b6e001877da8f	DL_test	1	ba	da	1	right	da	1	802
5d2de4db914b6e001877da8f	DL_test	2	ta	ka	1	right	ka	1	1133
5d2de4db914b6e001877da8f	DL_test	3	ta	pa	1	left	ta	1	1121
5d2de4db914b6e001877da8f	DL_test	4	ka	da	1	left	ka	1	1139
5d2de4db914b6e001877da8f	DL_test	5	pa	ga	1	left	pa	1	1320
5d2de4db914b6e001877da8f	DL_test	6	ba	ba	0	left	ba	1	1279
5d2de4db914b6e001877da8f	DL_test	7	pa	da	1	other	ta	0	1445
5d2de4db914b6e001877da8f	DL_test	8	ba	ta	1	right	ta	1	1161
5d2de4db914b6e001877da8f	DL_test	9	ta	ga	1	right	ga	1	1913
5d2de4db914b6e001877da8f	DL_test	10	ta	ta	0	left	ta	1	1117
5d2de4db914b6e001877da8f	DL_test	11	da	ga	1	left	da	1	980
5d2de4db914b6e001877da8f	DL_test	12	ta	ba	1	left	ta	1	1063
5d2de4db914b6e001877da8f	DL_test	13	ka	pa	1	left	ka	1	877
5d2de4db914b6e001877da8f	DL_test	14	ka	ga	1	left	ka	1	715
5d2de4db914b6e001877da8f	DL_test	15	da	ta	1	right	ta	1	1219
5d2de4db914b6e001877da8f	DL_test	16	da	da	0	left	da	1	986
5d2de4db914b6e001877da8f	DL_test	17	ka	ba	1	left	ka	1	1055
5d2de4db914b6e001877da8f	DL_test	18	ga	ba	1	right	ba	1	1093
5d2de4db914b6e001877da8f	DL_test	19	ga	ka	1	right	ka	1	891
5d2de4db914b6e001877da8f	DL_test	20	pa	pa	0	left	pa	1	660
5d2de4db914b6e001877da8f	DL_test	21	ba	ka	1	right	ka	1	651
5d2de4db914b6e001877da8f	DL_test	22	ga	pa	1	other	ta	0	1306
5d2de4db914b6e001877da8f	DL_test	23	pa	ka	1	right	ka	1	728
5d2de4db914b6e001877da8f	DL_test	24	da	ba	1	left	da	1	859
5d2de4db914b6e001877da8f	DL_test	25	ga	da	1	left	ga	1	628
5d2de4db914b6e001877da8f	DL_test	26	ga	ga	0	left	ga	1	542
5d2de4db914b6e001877da8f	DL_test	27	ka	ka	0	left	ka	1	727
5d2de4db914b6e001877da8f	DL_test	28	da	ka	1	other	pa	0	597
5d2de4db914b6e001877da8f	DL_test	29	da	pa	1	other	ta	0	921
5d2de4db914b6e001877da8f	DL_test	30	ga	ta	1	other	ka	0	671
5d2de4db914b6e001877da8f	DL_test	31	ba	ga	1	other	da	0	756
5d2de4db914b6e001877da8f	DL_test	32	ka	ta	1	left	ka	1	1696
5d2de4db914b6e001877da8f	DL_test	33	ba	pa	1	right	pa	1	1572
5d2de4db914b6e001877da8f	DL_test	34	pa	ba	1	left	pa	1	784
