subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5d4c394a090b51001a1775fe	headphonecheck_testphase	3	NA	NA	0	NA	first	1	19151
5d4c394a090b51001a1775fe	headphonecheck_testphase	6	NA	NA	0	NA	second	1	922
5d4c394a090b51001a1775fe	headphonecheck_testphase	9	NA	NA	0	NA	third	1	805
5d4c394a090b51001a1775fe	headphonecheck_testphase	12	NA	NA	0	NA	second	1	604
5d4c394a090b51001a1775fe	headphonecheck_testphase	15	NA	NA	0	NA	third	1	522
5d4c394a090b51001a1775fe	headphonecheck_testphase	18	NA	NA	0	NA	first	1	455
5d4c394a090b51001a1775fe	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	777
5d4c394a090b51001a1775fe	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	513
5d4c394a090b51001a1775fe	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	476
5d4c394a090b51001a1775fe	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	424
5d4c394a090b51001a1775fe	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	469
5d4c394a090b51001a1775fe	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	469
5d4c394a090b51001a1775fe	DL_practice	2	ka	ka	0	left	ka	1	1479
5d4c394a090b51001a1775fe	DL_practice	3	da	ba	1	right	ba	1	1506
5d4c394a090b51001a1775fe	DL_practice	4	ga	ta	1	other	ka	0	1689
5d4c394a090b51001a1775fe	DL_practice	5	ka	pa	1	right	pa	1	1673
5d4c394a090b51001a1775fe	DL_practice	6	ga	ga	0	left	ga	1	1172
5d4c394a090b51001a1775fe	DL_practice	7	ta	ta	0	left	ta	1	1311
5d4c394a090b51001a1775fe	DL_practice	8	da	da	0	left	da	1	965
5d4c394a090b51001a1775fe	DL_practice	9	pa	pa	0	left	pa	1	1243
5d4c394a090b51001a1775fe	DL_practice	10	ba	ba	0	left	ba	1	1544
5d4c394a090b51001a1775fe	DL_test	1	da	ta	1	left	da	1	2094
5d4c394a090b51001a1775fe	DL_test	2	ga	ba	1	right	ba	1	1544
5d4c394a090b51001a1775fe	DL_test	3	ba	ta	1	other	ka	0	1229
5d4c394a090b51001a1775fe	DL_test	4	da	ba	1	right	ba	1	1507
5d4c394a090b51001a1775fe	DL_test	5	ga	pa	1	right	pa	1	1669
5d4c394a090b51001a1775fe	DL_test	6	ka	ga	1	right	ga	1	1300
5d4c394a090b51001a1775fe	DL_test	7	ka	ba	1	right	ba	1	2335
5d4c394a090b51001a1775fe	DL_test	8	pa	da	1	other	ka	0	2069
5d4c394a090b51001a1775fe	DL_test	9	da	ka	1	other	pa	0	1387
5d4c394a090b51001a1775fe	DL_test	10	da	ga	1	right	ga	1	1364
5d4c394a090b51001a1775fe	DL_test	11	ka	pa	1	right	pa	1	1674
5d4c394a090b51001a1775fe	DL_test	12	pa	ba	1	left	pa	1	2538
5d4c394a090b51001a1775fe	DL_test	13	ba	da	1	other	ga	0	1586
5d4c394a090b51001a1775fe	DL_test	14	ba	ka	1	other	pa	0	1919
5d4c394a090b51001a1775fe	DL_test	15	ta	pa	1	right	pa	1	2424
5d4c394a090b51001a1775fe	DL_test	16	ba	ba	0	left	ba	1	2073
5d4c394a090b51001a1775fe	DL_test	17	da	pa	1	right	pa	1	1531
5d4c394a090b51001a1775fe	DL_test	18	pa	pa	0	left	pa	1	1659
5d4c394a090b51001a1775fe	DL_test	19	pa	ga	1	right	ga	1	1495
5d4c394a090b51001a1775fe	DL_test	20	ka	da	1	left	ka	1	2008
5d4c394a090b51001a1775fe	DL_test	21	pa	ka	1	right	ka	1	1463
5d4c394a090b51001a1775fe	DL_test	22	ta	ga	1	right	ga	1	1373
5d4c394a090b51001a1775fe	DL_test	23	ga	ta	1	other	ka	0	1407
5d4c394a090b51001a1775fe	DL_test	24	ga	ka	1	right	ka	1	1847
5d4c394a090b51001a1775fe	DL_test	25	ga	da	1	left	ga	1	1547
5d4c394a090b51001a1775fe	DL_test	26	ta	ka	1	right	ka	1	1123
5d4c394a090b51001a1775fe	DL_test	27	da	da	0	left	da	1	2191
5d4c394a090b51001a1775fe	DL_test	28	ta	ba	1	right	ba	1	2397
5d4c394a090b51001a1775fe	DL_test	29	ba	pa	1	right	pa	1	1917
5d4c394a090b51001a1775fe	DL_test	30	ba	ga	1	right	ga	1	1349
5d4c394a090b51001a1775fe	DL_test	31	ta	da	1	other	ga	0	1823
5d4c394a090b51001a1775fe	DL_test	32	ta	ta	0	left	ta	1	1518
5d4c394a090b51001a1775fe	DL_test	33	ka	ta	1	right	ta	1	1453
5d4c394a090b51001a1775fe	DL_test	34	ka	ka	0	left	ka	1	1295
5d4c394a090b51001a1775fe	DL_test	35	ga	ga	0	left	ga	1	1381
5d4c394a090b51001a1775fe	DL_test	36	pa	ta	1	right	ta	1	1374
5d4c394a090b51001a1775fe	DL_test	1	ga	pa	1	right	pa	1	1910
5d4c394a090b51001a1775fe	DL_test	2	pa	pa	0	left	pa	1	1292
5d4c394a090b51001a1775fe	DL_test	3	ka	ba	1	right	ba	1	1931
5d4c394a090b51001a1775fe	DL_test	4	ga	ba	1	right	ba	1	2542
5d4c394a090b51001a1775fe	DL_test	5	ka	ka	0	left	ka	1	1221
5d4c394a090b51001a1775fe	DL_test	6	da	ka	1	other	pa	0	1290
5d4c394a090b51001a1775fe	DL_test	7	ka	da	1	left	ka	1	2087
5d4c394a090b51001a1775fe	DL_test	8	ga	da	1	right	da	1	1728
5d4c394a090b51001a1775fe	DL_test	9	pa	da	1	other	ta	0	1339
5d4c394a090b51001a1775fe	DL_test	10	ta	ka	1	right	ka	1	1548
5d4c394a090b51001a1775fe	DL_test	11	pa	ka	1	right	ka	1	1312
5d4c394a090b51001a1775fe	DL_test	12	ta	ba	1	other	pa	0	1283
5d4c394a090b51001a1775fe	DL_test	13	ka	pa	1	right	pa	1	1564
5d4c394a090b51001a1775fe	DL_test	14	ba	pa	1	left	ba	1	1720
5d4c394a090b51001a1775fe	DL_test	15	da	pa	1	left	da	1	2071
5d4c394a090b51001a1775fe	DL_test	16	ba	da	1	right	da	1	1687
5d4c394a090b51001a1775fe	DL_test	17	pa	ga	1	right	ga	1	1309
5d4c394a090b51001a1775fe	DL_test	18	ba	ta	1	other	ka	0	1075
5d4c394a090b51001a1775fe	DL_test	19	ga	ta	1	other	ka	0	1201
5d4c394a090b51001a1775fe	DL_test	20	da	ta	1	right	ta	1	1230
5d4c394a090b51001a1775fe	DL_test	21	ba	ba	0	left	ba	1	1994
