subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5d89435aa8e8120018a4e202	headphonecheck_testphase	3	NA	NA	0	NA	second	1	6498
5d89435aa8e8120018a4e202	headphonecheck_testphase	6	NA	NA	0	NA	second	1	6307
5d89435aa8e8120018a4e202	headphonecheck_testphase	9	NA	NA	0	NA	second	0	5897
5d89435aa8e8120018a4e202	headphonecheck_testphase	12	NA	NA	0	NA	first	1	3003
5d89435aa8e8120018a4e202	headphonecheck_testphase	15	NA	NA	0	NA	third	1	1733
5d89435aa8e8120018a4e202	headphonecheck_testphase	18	NA	NA	0	NA	third	1	1489
5d89435aa8e8120018a4e202	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	784
5d89435aa8e8120018a4e202	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	387
5d89435aa8e8120018a4e202	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	387
5d89435aa8e8120018a4e202	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	375
5d89435aa8e8120018a4e202	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	389
5d89435aa8e8120018a4e202	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	508
5d89435aa8e8120018a4e202	DL_practice	2	ta	ta	0	left	ta	1	1614
5d89435aa8e8120018a4e202	DL_practice	3	ka	pa	1	other	ta	0	2720
5d89435aa8e8120018a4e202	DL_practice	4	da	da	0	left	da	1	1457
5d89435aa8e8120018a4e202	DL_practice	5	ba	ba	0	left	ba	1	1379
5d89435aa8e8120018a4e202	DL_practice	6	da	ba	1	right	ba	1	1054
5d89435aa8e8120018a4e202	DL_practice	7	ga	ga	0	left	ga	1	1085
5d89435aa8e8120018a4e202	DL_practice	8	ka	ka	0	left	ka	1	1213
5d89435aa8e8120018a4e202	DL_practice	9	pa	pa	0	left	pa	1	985
5d89435aa8e8120018a4e202	DL_practice	10	ga	ta	1	left	ga	1	1378
5d89435aa8e8120018a4e202	DL_test	1	pa	da	1	right	da	1	1770
