subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5da179412996110016d853d5	headphonecheck_testphase	3	NA	NA	0	NA	second	1	5219
5da179412996110016d853d5	headphonecheck_testphase	6	NA	NA	0	NA	first	1	442
5da179412996110016d853d5	headphonecheck_testphase	9	NA	NA	0	NA	first	1	507
5da179412996110016d853d5	headphonecheck_testphase	12	NA	NA	0	NA	second	1	321
5da179412996110016d853d5	headphonecheck_testphase	15	NA	NA	0	NA	third	1	293
5da179412996110016d853d5	headphonecheck_testphase	18	NA	NA	0	NA	third	1	311
5da179412996110016d853d5	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	2400
5da179412996110016d853d5	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	935
5da179412996110016d853d5	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	577
5da179412996110016d853d5	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	422
5da179412996110016d853d5	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	305
5da179412996110016d853d5	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	285
5da179412996110016d853d5	DL_practice	2	da	da	0	left	da	1	975
5da179412996110016d853d5	DL_practice	3	ga	ta	1	left	ga	1	969
5da179412996110016d853d5	DL_practice	4	ba	ba	0	left	ba	1	1195
5da179412996110016d853d5	DL_practice	5	ga	ga	0	left	ga	1	739
5da179412996110016d853d5	DL_practice	6	da	ba	1	left	da	1	1389
5da179412996110016d853d5	DL_practice	7	ka	ka	0	left	ka	1	1195
5da179412996110016d853d5	DL_practice	8	ta	ta	0	left	ta	1	2030
5da179412996110016d853d5	DL_practice	9	pa	pa	0	left	pa	1	1039
5da179412996110016d853d5	DL_practice	10	ka	pa	1	left	ka	1	931
5da179412996110016d853d5	DL_test	1	ka	ba	1	left	ka	1	1067
5da179412996110016d853d5	DL_test	2	ba	ta	1	other	pa	0	1700
5da179412996110016d853d5	DL_test	3	ka	ta	1	left	ka	1	907
5da179412996110016d853d5	DL_test	4	ta	ga	1	other	ka	0	896
5da179412996110016d853d5	DL_test	5	da	ta	1	left	da	1	1010
5da179412996110016d853d5	DL_test	6	ka	ga	1	left	ka	1	1269
5da179412996110016d853d5	DL_test	7	da	pa	1	right	pa	1	1027
5da179412996110016d853d5	DL_test	8	pa	ta	1	left	pa	1	1029
5da179412996110016d853d5	DL_test	9	pa	pa	0	left	pa	1	896
5da179412996110016d853d5	DL_test	10	ba	ka	1	right	ka	1	738
5da179412996110016d853d5	DL_test	11	pa	ba	1	left	pa	1	888
5da179412996110016d853d5	DL_test	12	da	ba	1	left	da	1	1125
5da179412996110016d853d5	DL_test	13	da	ga	1	right	ga	1	1075
5da179412996110016d853d5	DL_test	14	ta	da	1	left	ta	1	1196
5da179412996110016d853d5	DL_test	15	ga	ba	1	other	da	0	1056
5da179412996110016d853d5	DL_test	16	da	da	0	left	da	1	807
5da179412996110016d853d5	DL_test	17	ka	ka	0	left	ka	1	983
5da179412996110016d853d5	DL_test	18	ba	pa	1	right	pa	1	670
5da179412996110016d853d5	DL_test	19	ka	da	1	left	ka	1	1005
5da179412996110016d853d5	DL_test	20	pa	ga	1	left	pa	1	1078
5da179412996110016d853d5	DL_test	21	ta	pa	1	left	ta	1	1244
5da179412996110016d853d5	DL_test	22	ba	ga	1	right	ga	1	855
5da179412996110016d853d5	DL_test	23	ta	ba	1	other	ka	0	1408
5da179412996110016d853d5	DL_test	24	pa	ka	1	right	ka	1	851
5da179412996110016d853d5	DL_test	25	da	ka	1	left	da	1	1262
5da179412996110016d853d5	DL_test	26	ga	da	1	right	da	1	1341
5da179412996110016d853d5	DL_test	27	ka	pa	1	left	ka	1	878
5da179412996110016d853d5	DL_test	28	ga	pa	1	left	ga	1	1779
5da179412996110016d853d5	DL_test	29	ta	ta	0	left	ta	1	1203
5da179412996110016d853d5	DL_test	30	ta	ka	1	right	ka	1	1205
5da179412996110016d853d5	DL_test	31	ba	ba	0	left	ba	1	2168
5da179412996110016d853d5	DL_test	32	pa	da	1	left	pa	1	1337
5da179412996110016d853d5	DL_test	33	ga	ga	0	left	ga	1	849
5da179412996110016d853d5	DL_test	34	ba	da	1	right	da	1	964
5da179412996110016d853d5	DL_test	35	ga	ta	1	other	da	0	1462
5da179412996110016d853d5	DL_test	36	ga	ka	1	left	ga	1	783
5da179412996110016d853d5	DL_test	1	pa	ba	1	left	pa	1	987
5da179412996110016d853d5	DL_test	2	ga	da	1	right	da	1	1491
5da179412996110016d853d5	DL_test	3	da	pa	1	right	pa	1	1410
5da179412996110016d853d5	DL_test	4	ga	ka	1	left	ga	1	1343
5da179412996110016d853d5	DL_test	5	ta	pa	1	left	ta	1	1024
5da179412996110016d853d5	DL_test	6	da	da	0	left	da	1	1126
5da179412996110016d853d5	DL_test	7	ta	ta	0	left	ta	1	1474
5da179412996110016d853d5	DL_test	8	ba	da	1	right	da	1	1448
