subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5dd72efa82569a6d38e06854	headphonecheck_testphase	3	NA	NA	0	NA	third	1	301
5dd72efa82569a6d38e06854	headphonecheck_testphase	6	NA	NA	0	NA	third	1	362
5dd72efa82569a6d38e06854	headphonecheck_testphase	9	NA	NA	0	NA	first	1	280
5dd72efa82569a6d38e06854	headphonecheck_testphase	12	NA	NA	0	NA	first	1	400
5dd72efa82569a6d38e06854	headphonecheck_testphase	15	NA	NA	0	NA	second	1	320
5dd72efa82569a6d38e06854	headphonecheck_testphase	18	NA	NA	0	NA	second	1	487
5dd72efa82569a6d38e06854	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	9846
5dd72efa82569a6d38e06854	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	300
5dd72efa82569a6d38e06854	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	0	12516
5dd72efa82569a6d38e06854	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	4168
5dd72efa82569a6d38e06854	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	446
5dd72efa82569a6d38e06854	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	429
5dd72efa82569a6d38e06854	DL_practice	2	ba	ba	0	left	ba	1	1505
5dd72efa82569a6d38e06854	DL_practice	3	ka	ka	0	left	ka	1	1394
5dd72efa82569a6d38e06854	DL_practice	4	pa	pa	0	left	pa	1	1136
5dd72efa82569a6d38e06854	DL_practice	5	ga	ga	0	left	ga	1	968
5dd72efa82569a6d38e06854	DL_practice	6	ga	ta	1	left	ga	1	1334
5dd72efa82569a6d38e06854	DL_practice	7	da	da	0	left	da	1	749
5dd72efa82569a6d38e06854	DL_practice	8	ka	pa	1	right	pa	1	1101
5dd72efa82569a6d38e06854	DL_practice	9	da	ba	1	left	da	1	1160
5dd72efa82569a6d38e06854	DL_practice	10	ta	ta	0	other	ka	0	1278
5dd72efa82569a6d38e06854	DL_test	1	ta	ba	1	other	ka	0	1152
5dd72efa82569a6d38e06854	DL_test	2	pa	ga	1	other	ka	0	974
5dd72efa82569a6d38e06854	DL_test	3	ta	da	1	right	da	1	1173
5dd72efa82569a6d38e06854	DL_test	4	ka	pa	1	right	pa	1	1092
5dd72efa82569a6d38e06854	DL_test	5	ba	ka	1	right	ka	1	845
5dd72efa82569a6d38e06854	DL_test	6	ka	ba	1	left	ka	1	865
5dd72efa82569a6d38e06854	DL_test	7	ga	ga	0	left	ga	1	794
5dd72efa82569a6d38e06854	DL_test	8	ta	ga	1	right	ga	1	687
5dd72efa82569a6d38e06854	DL_test	9	ta	ta	0	left	ta	1	1602
5dd72efa82569a6d38e06854	DL_test	10	ka	ka	0	left	ka	1	951
5dd72efa82569a6d38e06854	DL_test	11	ga	da	1	left	ga	1	701
5dd72efa82569a6d38e06854	DL_test	12	pa	ba	1	left	pa	1	959
5dd72efa82569a6d38e06854	DL_test	13	ba	ga	1	left	ba	1	1141
5dd72efa82569a6d38e06854	DL_test	14	da	ka	1	other	pa	0	1863
5dd72efa82569a6d38e06854	DL_test	15	ka	ga	1	left	ka	1	816
5dd72efa82569a6d38e06854	DL_test	16	ta	pa	1	left	ta	1	1366
5dd72efa82569a6d38e06854	DL_test	17	pa	ka	1	right	ka	1	1148
5dd72efa82569a6d38e06854	DL_test	18	ta	ka	1	right	ka	1	963
5dd72efa82569a6d38e06854	DL_test	19	ba	ba	0	left	ba	1	1097
5dd72efa82569a6d38e06854	DL_test	20	ba	ta	1	other	ka	0	1186
5dd72efa82569a6d38e06854	DL_test	21	ga	ka	1	right	ka	1	1089
5dd72efa82569a6d38e06854	DL_test	22	da	pa	1	right	pa	1	1701
5dd72efa82569a6d38e06854	DL_test	23	da	ta	1	other	ka	0	988
5dd72efa82569a6d38e06854	DL_test	24	pa	pa	0	left	pa	1	1467
5dd72efa82569a6d38e06854	DL_test	25	ga	ba	1	right	ba	1	1693
5dd72efa82569a6d38e06854	DL_test	26	ba	da	1	right	da	1	726
5dd72efa82569a6d38e06854	DL_test	27	ka	ta	1	left	ka	1	1213
5dd72efa82569a6d38e06854	DL_test	28	ga	ta	1	other	ka	0	1426
5dd72efa82569a6d38e06854	DL_test	29	da	da	0	left	da	1	935
5dd72efa82569a6d38e06854	DL_test	30	pa	ta	1	left	pa	1	1271
5dd72efa82569a6d38e06854	DL_test	31	ga	pa	1	right	pa	1	961
5dd72efa82569a6d38e06854	DL_test	32	ka	da	1	left	ka	1	783
5dd72efa82569a6d38e06854	DL_test	33	da	ba	1	other	ka	0	996
5dd72efa82569a6d38e06854	DL_test	34	ba	pa	1	right	pa	1	912
5dd72efa82569a6d38e06854	DL_test	35	da	ga	1	right	ga	1	1354
5dd72efa82569a6d38e06854	DL_test	36	pa	da	1	left	pa	1	2034
5dd72efa82569a6d38e06854	DL_test	1	ka	pa	1	right	pa	1	1294
5dd72efa82569a6d38e06854	DL_test	2	pa	ka	1	left	pa	1	1290
5dd72efa82569a6d38e06854	DL_test	3	ta	ga	1	other	ka	0	918
5dd72efa82569a6d38e06854	DL_test	4	ba	ka	1	right	ka	1	1167
5dd72efa82569a6d38e06854	DL_test	5	ta	ta	0	left	ta	1	2326
