subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5e126c25a98a7a8fab258f14	headphonecheck_testphase	3	NA	NA	0	NA	second	1	11765
5e126c25a98a7a8fab258f14	headphonecheck_testphase	6	NA	NA	0	NA	first	1	577
5e126c25a98a7a8fab258f14	headphonecheck_testphase	9	NA	NA	0	NA	third	1	395
5e126c25a98a7a8fab258f14	headphonecheck_testphase	12	NA	NA	0	NA	third	1	336
5e126c25a98a7a8fab258f14	headphonecheck_testphase	15	NA	NA	0	NA	second	1	303
5e126c25a98a7a8fab258f14	headphonecheck_testphase	18	NA	NA	0	NA	first	1	399
5e126c25a98a7a8fab258f14	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	2144
5e126c25a98a7a8fab258f14	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	621
5e126c25a98a7a8fab258f14	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	298
5e126c25a98a7a8fab258f14	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	3460
5e126c25a98a7a8fab258f14	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	369
5e126c25a98a7a8fab258f14	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	118
5e126c25a98a7a8fab258f14	DL_practice	2	da	da	0	left	da	1	1877
5e126c25a98a7a8fab258f14	DL_practice	3	ka	ka	0	left	ka	1	1615
5e126c25a98a7a8fab258f14	DL_practice	4	ka	pa	1	left	ka	1	1565
5e126c25a98a7a8fab258f14	DL_practice	5	ga	ta	1	left	ga	1	1178
5e126c25a98a7a8fab258f14	DL_practice	6	ga	ga	0	left	ga	1	866
5e126c25a98a7a8fab258f14	DL_practice	7	pa	pa	0	other	ka	0	1011
5e126c25a98a7a8fab258f14	DL_practice	8	da	ba	1	left	da	1	1306
5e126c25a98a7a8fab258f14	DL_practice	9	ta	ta	0	left	ta	1	1049
5e126c25a98a7a8fab258f14	DL_practice	10	ba	ba	0	left	ba	1	3053
5e126c25a98a7a8fab258f14	DL_test	1	ga	ga	0	left	ga	1	1149
5e126c25a98a7a8fab258f14	DL_test	2	ga	ba	1	left	ga	1	1032
5e126c25a98a7a8fab258f14	DL_test	3	ga	ka	1	right	ka	1	1320
5e126c25a98a7a8fab258f14	DL_test	4	ga	ta	1	left	ga	1	1549
5e126c25a98a7a8fab258f14	DL_test	5	da	ka	1	other	ga	0	1528
5e126c25a98a7a8fab258f14	DL_test	6	ba	ga	1	other	pa	0	1731
5e126c25a98a7a8fab258f14	DL_test	7	ba	ta	1	left	ba	1	1736
5e126c25a98a7a8fab258f14	DL_test	8	ka	pa	1	left	ka	1	1640
5e126c25a98a7a8fab258f14	DL_test	9	da	ta	1	left	da	1	1824
5e126c25a98a7a8fab258f14	DL_test	10	ga	pa	1	left	ga	1	1361
5e126c25a98a7a8fab258f14	DL_test	11	pa	ga	1	left	pa	1	1523
5e126c25a98a7a8fab258f14	DL_test	12	ta	ga	1	other	ka	0	1362
5e126c25a98a7a8fab258f14	DL_test	13	da	ba	1	left	da	1	1283
5e126c25a98a7a8fab258f14	DL_test	14	pa	ta	1	left	pa	1	1387
5e126c25a98a7a8fab258f14	DL_test	15	ka	ta	1	left	ka	1	1195
5e126c25a98a7a8fab258f14	DL_test	16	da	da	0	left	da	1	1087
5e126c25a98a7a8fab258f14	DL_test	17	ka	ka	0	left	ka	1	1371
5e126c25a98a7a8fab258f14	DL_test	18	da	ga	1	left	da	1	1069
5e126c25a98a7a8fab258f14	DL_test	19	pa	ka	1	left	pa	1	1116
5e126c25a98a7a8fab258f14	DL_test	20	ba	ka	1	right	ka	1	1320
5e126c25a98a7a8fab258f14	DL_test	21	ga	da	1	right	da	1	1183
5e126c25a98a7a8fab258f14	DL_test	22	pa	da	1	left	pa	1	1075
5e126c25a98a7a8fab258f14	DL_test	23	ka	da	1	left	ka	1	979
5e126c25a98a7a8fab258f14	DL_test	24	ta	ta	0	other	ka	0	2241
5e126c25a98a7a8fab258f14	DL_test	25	ka	ba	1	left	ka	1	1345
5e126c25a98a7a8fab258f14	DL_test	26	pa	pa	0	left	pa	1	1391
5e126c25a98a7a8fab258f14	DL_test	27	ba	da	1	right	da	1	1449
5e126c25a98a7a8fab258f14	DL_test	28	da	pa	1	left	da	1	1294
5e126c25a98a7a8fab258f14	DL_test	29	ta	ka	1	right	ka	1	1262
5e126c25a98a7a8fab258f14	DL_test	30	ba	pa	1	right	pa	1	1332
5e126c25a98a7a8fab258f14	DL_test	31	ta	da	1	left	ta	1	1486
5e126c25a98a7a8fab258f14	DL_test	32	ta	pa	1	left	ta	1	1295
5e126c25a98a7a8fab258f14	DL_test	33	ta	ba	1	left	ta	1	1136
5e126c25a98a7a8fab258f14	DL_test	34	pa	ba	1	left	pa	1	1094
5e126c25a98a7a8fab258f14	DL_test	35	ba	ba	0	left	ba	1	1133
5e126c25a98a7a8fab258f14	DL_test	36	ka	ga	1	left	ka	1	1111
5e126c25a98a7a8fab258f14	DL_test	1	ba	ga	1	left	ba	1	2099
5e126c25a98a7a8fab258f14	DL_test	2	da	ba	1	left	da	1	1120
5e126c25a98a7a8fab258f14	DL_test	3	ka	ta	1	left	ka	1	1070
5e126c25a98a7a8fab258f14	DL_test	4	ka	ba	1	left	ka	1	1091
5e126c25a98a7a8fab258f14	DL_test	5	ka	ka	0	left	ka	1	936
5e126c25a98a7a8fab258f14	DL_test	6	pa	ga	1	left	pa	1	1228
5e126c25a98a7a8fab258f14	DL_test	7	ba	ba	0	left	ba	1	1598
5e126c25a98a7a8fab258f14	DL_test	8	da	da	0	left	da	1	1000
5e126c25a98a7a8fab258f14	DL_test	9	ta	ba	1	other	ka	0	1095
5e126c25a98a7a8fab258f14	DL_test	10	da	ta	1	left	da	1	1133
5e126c25a98a7a8fab258f14	DL_test	11	da	ga	1	left	da	1	1153
5e126c25a98a7a8fab258f14	DL_test	12	ga	ka	1	right	ka	1	1411
5e126c25a98a7a8fab258f14	DL_test	13	ta	ka	1	right	ka	1	1207
5e126c25a98a7a8fab258f14	DL_test	14	da	ka	1	left	da	1	1799
5e126c25a98a7a8fab258f14	DL_test	15	ga	da	1	right	da	1	1441
5e126c25a98a7a8fab258f14	DL_test	16	ga	ta	1	left	ga	1	1153
5e126c25a98a7a8fab258f14	DL_test	17	ka	ga	1	left	ka	1	1212
5e126c25a98a7a8fab258f14	DL_test	18	ba	pa	1	left	ba	1	1307
5e126c25a98a7a8fab258f14	DL_test	19	ga	ba	1	left	ga	1	998
5e126c25a98a7a8fab258f14	DL_test	20	ta	da	1	other	ka	0	953
5e126c25a98a7a8fab258f14	DL_test	21	ka	pa	1	left	ka	1	1445
5e126c25a98a7a8fab258f14	DL_test	22	ta	pa	1	left	ta	1	1340
5e126c25a98a7a8fab258f14	DL_test	23	ta	ga	1	other	ka	0	1241
5e126c25a98a7a8fab258f14	DL_test	24	ba	ka	1	left	ba	1	1553
5e126c25a98a7a8fab258f14	DL_test	25	ka	da	1	left	ka	1	1212
5e126c25a98a7a8fab258f14	DL_test	26	ga	ga	0	left	ga	1	1140
