subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5e405a1cfce14d29997364da	headphonecheck_testphase	3	NA	NA	0	NA	first	0	11593
5e405a1cfce14d29997364da	headphonecheck_testphase	6	NA	NA	0	NA	first	1	846
5e405a1cfce14d29997364da	headphonecheck_testphase	9	NA	NA	0	NA	first	1	797
5e405a1cfce14d29997364da	headphonecheck_testphase	12	NA	NA	0	NA	third	1	668
5e405a1cfce14d29997364da	headphonecheck_testphase	15	NA	NA	0	NA	third	1	769
5e405a1cfce14d29997364da	headphonecheck_testphase	18	NA	NA	0	NA	second	1	773
5e405a1cfce14d29997364da	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	843
5e405a1cfce14d29997364da	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	686
5e405a1cfce14d29997364da	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	741
5e405a1cfce14d29997364da	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	647
5e405a1cfce14d29997364da	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	448
5e405a1cfce14d29997364da	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	1300
5e405a1cfce14d29997364da	DL_practice	2	da	ba	1	left	da	1	1665
5e405a1cfce14d29997364da	DL_practice	3	ta	ta	0	left	ta	1	1766
5e405a1cfce14d29997364da	DL_practice	4	ga	ga	0	left	ga	1	1547
5e405a1cfce14d29997364da	DL_practice	5	ba	ba	0	left	ba	1	1706
5e405a1cfce14d29997364da	DL_practice	6	da	da	0	left	da	1	2122
5e405a1cfce14d29997364da	DL_practice	7	pa	pa	0	left	pa	1	1865
5e405a1cfce14d29997364da	DL_practice	8	ka	pa	1	left	ka	1	1746
5e405a1cfce14d29997364da	DL_practice	9	ga	ta	1	left	ga	1	1690
5e405a1cfce14d29997364da	DL_practice	10	ka	ka	0	left	ka	1	2240
5e405a1cfce14d29997364da	DL_test	1	ba	da	1	right	da	1	2332
5e405a1cfce14d29997364da	DL_test	2	pa	da	1	other	ta	0	3322
5e405a1cfce14d29997364da	DL_test	3	ka	pa	1	left	ka	1	1392
5e405a1cfce14d29997364da	DL_test	4	ga	ga	0	left	ga	1	1542
5e405a1cfce14d29997364da	DL_test	5	ka	ta	1	left	ka	1	1575
5e405a1cfce14d29997364da	DL_test	6	ba	pa	1	right	pa	1	1537
5e405a1cfce14d29997364da	DL_test	7	ba	ta	1	other	ka	0	1449
5e405a1cfce14d29997364da	DL_test	8	pa	ba	1	left	pa	1	1588
5e405a1cfce14d29997364da	DL_test	9	da	ta	1	other	ka	0	2265
5e405a1cfce14d29997364da	DL_test	10	pa	pa	0	left	pa	1	1485
5e405a1cfce14d29997364da	DL_test	11	ga	ba	1	other	da	0	4362
