subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5e5c58012272eb4328419f08	headphonecheck_testphase	3	NA	NA	0	NA	third	1	1453
5e5c58012272eb4328419f08	headphonecheck_testphase	6	NA	NA	0	NA	second	1	1048
5e5c58012272eb4328419f08	headphonecheck_testphase	9	NA	NA	0	NA	second	0	980
5e5c58012272eb4328419f08	headphonecheck_testphase	12	NA	NA	0	NA	first	0	493
5e5c58012272eb4328419f08	headphonecheck_testphase	15	NA	NA	0	NA	first	0	1621
5e5c58012272eb4328419f08	headphonecheck_testphase	18	NA	NA	0	NA	first	1	767
5e5c58012272eb4328419f08	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	768
5e5c58012272eb4328419f08	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	683
5e5c58012272eb4328419f08	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	492
5e5c58012272eb4328419f08	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	761
5e5c58012272eb4328419f08	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	689
5e5c58012272eb4328419f08	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	459
5e5c58012272eb4328419f08	DL_practice	2	ga	ta	1	other	ka	0	1645
5e5c58012272eb4328419f08	DL_practice	3	da	da	0	left	da	1	1331
5e5c58012272eb4328419f08	DL_practice	4	da	ba	1	left	da	1	1527
5e5c58012272eb4328419f08	DL_practice	5	ba	ba	0	other	pa	0	1202
5e5c58012272eb4328419f08	DL_practice	6	ta	ta	0	left	ta	1	2090
5e5c58012272eb4328419f08	DL_practice	7	ka	ka	0	left	ka	1	1287
5e5c58012272eb4328419f08	DL_practice	8	ga	ga	0	left	ga	1	1326
5e5c58012272eb4328419f08	DL_practice	9	ka	pa	1	left	ka	1	2245
5e5c58012272eb4328419f08	DL_practice	10	pa	pa	0	left	pa	1	1167
5e5c58012272eb4328419f08	DL_test	1	ka	ka	0	left	ka	1	1521
5e5c58012272eb4328419f08	DL_test	2	da	ba	1	left	da	1	1095
5e5c58012272eb4328419f08	DL_test	3	ta	ga	1	other	da	0	2136
5e5c58012272eb4328419f08	DL_test	4	da	da	0	left	da	1	1143
5e5c58012272eb4328419f08	DL_test	5	pa	ka	1	right	ka	1	1344
5e5c58012272eb4328419f08	DL_test	6	pa	pa	0	left	pa	1	3137
5e5c58012272eb4328419f08	DL_test	7	ta	ba	1	left	ta	1	1377
5e5c58012272eb4328419f08	DL_test	8	ba	ta	1	left	ba	1	1472
5e5c58012272eb4328419f08	DL_test	9	ba	ga	1	left	ba	1	1117
5e5c58012272eb4328419f08	DL_test	10	pa	ga	1	right	ga	1	2439
5e5c58012272eb4328419f08	DL_test	11	ka	ba	1	left	ka	1	1319
5e5c58012272eb4328419f08	DL_test	12	ta	ka	1	right	ka	1	1248
5e5c58012272eb4328419f08	DL_test	13	ta	pa	1	left	ta	1	1493
5e5c58012272eb4328419f08	DL_test	14	ga	ta	1	other	da	0	2193
5e5c58012272eb4328419f08	DL_test	15	ga	ba	1	other	ka	0	1546
5e5c58012272eb4328419f08	DL_test	16	ta	ta	0	left	ta	1	1434
5e5c58012272eb4328419f08	DL_test	17	ka	ga	1	right	ga	1	1640
5e5c58012272eb4328419f08	DL_test	18	ga	ka	1	right	ka	1	914
5e5c58012272eb4328419f08	DL_test	19	da	ta	1	left	da	1	1451
5e5c58012272eb4328419f08	DL_test	20	pa	ta	1	left	pa	1	1324
5e5c58012272eb4328419f08	DL_test	21	pa	da	1	other	ka	0	2887
5e5c58012272eb4328419f08	DL_test	22	pa	ba	1	left	pa	1	1746
5e5c58012272eb4328419f08	DL_test	23	da	ka	1	left	da	1	1467
5e5c58012272eb4328419f08	DL_test	24	ka	ta	1	left	ka	1	1171
5e5c58012272eb4328419f08	DL_test	25	da	ga	1	right	ga	1	954
5e5c58012272eb4328419f08	DL_test	26	ga	da	1	left	ga	1	1110
5e5c58012272eb4328419f08	DL_test	27	ba	ba	0	other	pa	0	1165
5e5c58012272eb4328419f08	DL_test	28	da	pa	1	left	da	1	1753
5e5c58012272eb4328419f08	DL_test	29	ga	pa	1	other	ka	0	1382
5e5c58012272eb4328419f08	DL_test	30	ba	da	1	other	ga	0	1859
5e5c58012272eb4328419f08	DL_test	31	ta	da	1	right	da	1	1234
5e5c58012272eb4328419f08	DL_test	32	ba	pa	1	right	pa	1	1270
5e5c58012272eb4328419f08	DL_test	33	ka	da	1	left	ka	1	1579
5e5c58012272eb4328419f08	DL_test	34	ga	ga	0	left	ga	1	1092
5e5c58012272eb4328419f08	DL_test	35	ba	ka	1	other	da	0	2413
5e5c58012272eb4328419f08	DL_test	36	ka	pa	1	left	ka	1	1220
5e5c58012272eb4328419f08	DL_test	1	ka	ta	1	left	ka	1	885
5e5c58012272eb4328419f08	DL_test	2	ba	pa	1	right	pa	1	996
5e5c58012272eb4328419f08	DL_test	3	ba	ga	1	other	pa	0	641
5e5c58012272eb4328419f08	DL_test	4	ta	ba	1	left	ta	1	2342
5e5c58012272eb4328419f08	DL_test	5	ga	pa	1	other	ka	0	946
5e5c58012272eb4328419f08	DL_test	6	ta	ta	0	left	ta	1	2382
5e5c58012272eb4328419f08	DL_test	7	ba	ba	0	other	pa	0	1187
5e5c58012272eb4328419f08	DL_test	8	da	pa	1	left	da	1	1665
5e5c58012272eb4328419f08	DL_test	9	da	ba	1	left	da	1	1457
5e5c58012272eb4328419f08	DL_test	10	ga	ga	0	left	ga	1	892
5e5c58012272eb4328419f08	DL_test	11	ka	ba	1	left	ka	1	853
5e5c58012272eb4328419f08	DL_test	12	ga	da	1	left	ga	1	1210
5e5c58012272eb4328419f08	DL_test	13	ta	da	1	right	da	1	1919
5e5c58012272eb4328419f08	DL_test	14	ga	ka	1	left	ga	1	2127
5e5c58012272eb4328419f08	DL_test	15	ta	ka	1	right	ka	1	926
5e5c58012272eb4328419f08	DL_test	16	pa	da	1	right	da	1	1507
5e5c58012272eb4328419f08	DL_test	17	pa	ta	1	other	da	0	2470
5e5c58012272eb4328419f08	DL_test	18	da	ka	1	other	ta	0	1592
5e5c58012272eb4328419f08	DL_test	19	ba	ka	1	other	pa	0	992
5e5c58012272eb4328419f08	DL_test	20	ka	da	1	left	ka	1	1075
5e5c58012272eb4328419f08	DL_test	21	ba	da	1	right	da	1	1095
5e5c58012272eb4328419f08	DL_test	22	da	ga	1	other	ka	0	365
5e5c58012272eb4328419f08	DL_test	23	da	ta	1	left	da	1	974
5e5c58012272eb4328419f08	DL_test	24	pa	pa	0	left	pa	1	1047
5e5c58012272eb4328419f08	DL_test	25	ka	ka	0	left	ka	1	716
5e5c58012272eb4328419f08	DL_test	26	ta	pa	1	other	da	0	741
5e5c58012272eb4328419f08	DL_test	27	ba	ta	1	other	pa	0	854
5e5c58012272eb4328419f08	DL_test	28	ga	ta	1	other	ka	0	576
5e5c58012272eb4328419f08	DL_test	29	ga	ba	1	other	ka	0	707
5e5c58012272eb4328419f08	DL_test	30	pa	ga	1	right	ga	1	760
5e5c58012272eb4328419f08	DL_test	31	pa	ba	1	left	pa	1	1254
5e5c58012272eb4328419f08	DL_test	32	ta	ga	1	other	ka	0	624
5e5c58012272eb4328419f08	DL_test	33	ka	ga	1	right	ga	1	1280
5e5c58012272eb4328419f08	DL_test	34	da	da	0	left	da	1	572
5e5c58012272eb4328419f08	DL_test	35	pa	ka	1	left	pa	1	828
5e5c58012272eb4328419f08	DL_test	36	ka	pa	1	left	ka	1	533
5e5c58012272eb4328419f08	DL_test	1	ka	ta	1	left	ka	1	839
5e5c58012272eb4328419f08	DL_test	2	ba	da	1	right	da	1	1102
5e5c58012272eb4328419f08	DL_test	3	pa	pa	0	left	pa	1	828
5e5c58012272eb4328419f08	DL_test	4	ba	ga	1	other	pa	0	882
5e5c58012272eb4328419f08	DL_test	5	da	ta	1	left	da	1	1425
5e5c58012272eb4328419f08	DL_test	6	ka	ba	1	left	ka	1	1111
5e5c58012272eb4328419f08	DL_test	7	ka	da	1	left	ka	1	1691
5e5c58012272eb4328419f08	DL_test	8	ka	ga	1	left	ka	1	1176
5e5c58012272eb4328419f08	DL_test	9	ta	ga	1	other	da	0	973
5e5c58012272eb4328419f08	DL_test	10	pa	ba	1	left	pa	1	1169
5e5c58012272eb4328419f08	DL_test	11	ba	ta	1	other	ga	0	1666
5e5c58012272eb4328419f08	DL_test	12	ta	ba	1	other	ka	0	810
5e5c58012272eb4328419f08	DL_test	13	da	ba	1	left	da	1	770
5e5c58012272eb4328419f08	DL_test	14	pa	ga	1	other	ba	0	1517
5e5c58012272eb4328419f08	DL_test	15	ga	ka	1	left	ga	1	799
5e5c58012272eb4328419f08	DL_test	16	ba	ka	1	left	ba	1	1268
5e5c58012272eb4328419f08	DL_test	17	ta	ka	1	left	ta	1	1214
5e5c58012272eb4328419f08	DL_test	18	ba	pa	1	right	pa	1	883
5e5c58012272eb4328419f08	DL_test	19	da	ga	1	left	da	1	1018
5e5c58012272eb4328419f08	DL_test	20	ka	ka	0	left	ka	1	957
5e5c58012272eb4328419f08	DL_test	21	ga	pa	1	left	ga	1	521
5e5c58012272eb4328419f08	DL_test	22	pa	da	1	other	ba	0	744
5e5c58012272eb4328419f08	DL_test	23	ta	pa	1	left	ta	1	1886
5e5c58012272eb4328419f08	DL_test	24	ga	da	1	other	ka	0	1037
5e5c58012272eb4328419f08	DL_test	25	ga	ba	1	left	ga	1	523
5e5c58012272eb4328419f08	DL_test	26	ga	ga	0	left	ga	1	844
5e5c58012272eb4328419f08	DL_test	27	ta	da	1	right	da	1	1049
5e5c58012272eb4328419f08	DL_test	28	ba	ba	0	other	pa	0	698
5e5c58012272eb4328419f08	DL_test	29	ga	ta	1	other	ka	0	919
5e5c58012272eb4328419f08	DL_test	30	da	pa	1	other	ga	0	423
5e5c58012272eb4328419f08	DL_test	31	pa	ta	1	right	ta	1	1269
5e5c58012272eb4328419f08	DL_test	32	pa	ka	1	other	ta	0	2230
5e5c58012272eb4328419f08	DL_test	33	ta	ta	0	left	ta	1	955
5e5c58012272eb4328419f08	DL_test	34	da	ka	1	left	da	1	1066
5e5c58012272eb4328419f08	DL_test	35	ka	pa	1	left	ka	1	1286
5e5c58012272eb4328419f08	DL_test	36	da	da	0	left	da	1	818
5e5c58012272eb4328419f08	DL_test	1	pa	ba	1	left	pa	1	1132
5e5c58012272eb4328419f08	DL_test	2	da	da	0	left	da	1	918
5e5c58012272eb4328419f08	DL_test	3	ta	pa	1	left	ta	1	1462
5e5c58012272eb4328419f08	DL_test	4	pa	ka	1	right	ka	1	1178
5e5c58012272eb4328419f08	DL_test	5	pa	pa	0	left	pa	1	660
5e5c58012272eb4328419f08	DL_test	6	ka	ta	1	left	ka	1	819
5e5c58012272eb4328419f08	DL_test	7	da	ta	1	left	da	1	1240
5e5c58012272eb4328419f08	DL_test	8	ga	da	1	other	ka	0	1050
5e5c58012272eb4328419f08	DL_test	9	ta	ka	1	other	pa	0	1611
5e5c58012272eb4328419f08	DL_test	10	ba	da	1	other	ga	0	846
5e5c58012272eb4328419f08	DL_test	11	da	ga	1	other	ka	0	460
5e5c58012272eb4328419f08	DL_test	12	da	ba	1	other	ga	0	883
5e5c58012272eb4328419f08	DL_test	13	ga	ta	1	other	ka	0	797
5e5c58012272eb4328419f08	DL_test	14	da	pa	1	left	da	1	745
5e5c58012272eb4328419f08	DL_test	15	ba	pa	1	right	pa	1	476
5e5c58012272eb4328419f08	DL_test	16	ga	ba	1	left	ga	1	1591
5e5c58012272eb4328419f08	DL_test	17	pa	ga	1	other	da	0	1508
5e5c58012272eb4328419f08	DL_test	18	ba	ba	0	other	pa	0	1168
5e5c58012272eb4328419f08	DL_test	19	ba	ga	1	other	pa	0	827
5e5c58012272eb4328419f08	DL_test	20	ta	ba	1	left	ta	1	640
5e5c58012272eb4328419f08	DL_test	21	pa	ta	1	left	pa	1	1388
5e5c58012272eb4328419f08	DL_test	22	ka	da	1	left	ka	1	1122
5e5c58012272eb4328419f08	DL_test	23	ga	ka	1	left	ga	1	715
5e5c58012272eb4328419f08	DL_test	24	ba	ka	1	left	ba	1	1562
5e5c58012272eb4328419f08	DL_test	25	ba	ta	1	left	ba	1	1113
5e5c58012272eb4328419f08	DL_test	26	ka	ka	0	left	ka	1	825
5e5c58012272eb4328419f08	DL_test	27	ta	ta	0	other	da	0	1547
5e5c58012272eb4328419f08	DL_test	28	pa	da	1	other	ba	0	1663
5e5c58012272eb4328419f08	DL_test	29	da	ka	1	other	ga	0	653
5e5c58012272eb4328419f08	DL_test	30	ga	pa	1	other	ta	0	836
5e5c58012272eb4328419f08	DL_test	31	ta	da	1	other	pa	0	221
5e5c58012272eb4328419f08	DL_test	32	ka	ga	1	right	ga	1	637
5e5c58012272eb4328419f08	DL_test	33	ka	pa	1	right	pa	1	844
5e5c58012272eb4328419f08	DL_test	34	ta	ga	1	other	ka	0	33
5e5c58012272eb4328419f08	DL_test	35	ka	ba	1	other	da	0	655
5e5c58012272eb4328419f08	DL_test	36	ga	ga	0	other	ba	0	24
