subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5ea95ca4936cd3035f7e3e3a	headphonecheck_testphase	3	NA	NA	0	NA	third	1	1340
5ea95ca4936cd3035f7e3e3a	headphonecheck_testphase	6	NA	NA	0	NA	third	1	363
5ea95ca4936cd3035f7e3e3a	headphonecheck_testphase	9	NA	NA	0	NA	first	1	925
5ea95ca4936cd3035f7e3e3a	headphonecheck_testphase	12	NA	NA	0	NA	first	1	701
5ea95ca4936cd3035f7e3e3a	headphonecheck_testphase	15	NA	NA	0	NA	second	1	948
5ea95ca4936cd3035f7e3e3a	headphonecheck_testphase	18	NA	NA	0	NA	second	1	965
5ea95ca4936cd3035f7e3e3a	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	1205
5ea95ca4936cd3035f7e3e3a	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	333
5ea95ca4936cd3035f7e3e3a	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	148
5ea95ca4936cd3035f7e3e3a	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	0	4616
5ea95ca4936cd3035f7e3e3a	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	3334
5ea95ca4936cd3035f7e3e3a	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	0	2311
5ea95ca4936cd3035f7e3e3a	DL_practice	2	da	ba	1	right	ba	1	2905
5ea95ca4936cd3035f7e3e3a	DL_practice	3	ka	pa	1	right	pa	1	1578
5ea95ca4936cd3035f7e3e3a	DL_practice	4	ga	ta	1	right	ta	1	1107
5ea95ca4936cd3035f7e3e3a	DL_practice	5	da	da	0	left	da	1	2117
5ea95ca4936cd3035f7e3e3a	DL_practice	6	ta	ta	0	left	ta	1	1556
5ea95ca4936cd3035f7e3e3a	DL_practice	7	ga	ga	0	left	ga	1	1072
5ea95ca4936cd3035f7e3e3a	DL_practice	8	ba	ba	0	left	ba	1	1588
5ea95ca4936cd3035f7e3e3a	DL_practice	9	pa	pa	0	left	pa	1	1208
5ea95ca4936cd3035f7e3e3a	DL_practice	10	ka	ka	0	left	ka	1	886
5ea95ca4936cd3035f7e3e3a	DL_test	1	ba	ba	0	left	ba	1	1539
5ea95ca4936cd3035f7e3e3a	DL_test	2	ga	ga	0	left	ga	1	1266
5ea95ca4936cd3035f7e3e3a	DL_test	3	ga	pa	1	right	pa	1	1099
5ea95ca4936cd3035f7e3e3a	DL_test	4	pa	ka	1	right	ka	1	1042
5ea95ca4936cd3035f7e3e3a	DL_test	5	ga	da	1	right	da	1	1156
5ea95ca4936cd3035f7e3e3a	DL_test	6	pa	da	1	right	da	1	680
5ea95ca4936cd3035f7e3e3a	DL_test	7	ba	ga	1	right	ga	1	893
5ea95ca4936cd3035f7e3e3a	DL_test	8	ga	ka	1	right	ka	1	1028
5ea95ca4936cd3035f7e3e3a	DL_test	9	pa	ba	1	other	da	0	1216
5ea95ca4936cd3035f7e3e3a	DL_test	10	ba	ka	1	right	ka	1	1018
5ea95ca4936cd3035f7e3e3a	DL_test	11	da	ta	1	right	ta	1	1211
5ea95ca4936cd3035f7e3e3a	DL_test	12	ta	ka	1	right	ka	1	844
5ea95ca4936cd3035f7e3e3a	DL_test	13	ga	ta	1	right	ta	1	2220
5ea95ca4936cd3035f7e3e3a	DL_test	14	ta	ta	0	left	ta	1	739
5ea95ca4936cd3035f7e3e3a	DL_test	15	pa	ta	1	right	ta	1	724
5ea95ca4936cd3035f7e3e3a	DL_test	16	da	da	0	left	da	1	1250
5ea95ca4936cd3035f7e3e3a	DL_test	17	ta	pa	1	right	pa	1	1031
5ea95ca4936cd3035f7e3e3a	DL_test	18	ga	ba	1	right	ba	1	1289
5ea95ca4936cd3035f7e3e3a	DL_test	19	pa	pa	0	left	pa	1	1576
5ea95ca4936cd3035f7e3e3a	DL_test	20	ka	ka	0	left	ka	1	929
5ea95ca4936cd3035f7e3e3a	DL_test	21	ta	ba	1	other	da	0	992
5ea95ca4936cd3035f7e3e3a	DL_test	22	ka	pa	1	right	pa	1	1606
5ea95ca4936cd3035f7e3e3a	DL_test	23	ka	ga	1	right	ga	1	1018
5ea95ca4936cd3035f7e3e3a	DL_test	24	ba	da	1	right	da	1	1111
5ea95ca4936cd3035f7e3e3a	DL_test	25	da	ba	1	right	ba	1	1063
5ea95ca4936cd3035f7e3e3a	DL_test	26	ka	da	1	right	da	1	819
5ea95ca4936cd3035f7e3e3a	DL_test	27	pa	ga	1	right	ga	1	914
5ea95ca4936cd3035f7e3e3a	DL_test	28	ba	ta	1	right	ta	1	1782
5ea95ca4936cd3035f7e3e3a	DL_test	29	ka	ba	1	right	ba	1	1503
5ea95ca4936cd3035f7e3e3a	DL_test	30	da	ka	1	other	pa	0	1135
