subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5eb8ff91a1bdb386c80cd7ea	headphonecheck_testphase	3	NA	NA	0	NA	second	1	24360
5eb8ff91a1bdb386c80cd7ea	headphonecheck_testphase	6	NA	NA	0	NA	first	1	462
5eb8ff91a1bdb386c80cd7ea	headphonecheck_testphase	9	NA	NA	0	NA	second	1	474
5eb8ff91a1bdb386c80cd7ea	headphonecheck_testphase	12	NA	NA	0	NA	first	1	376
5eb8ff91a1bdb386c80cd7ea	headphonecheck_testphase	15	NA	NA	0	NA	third	1	395
5eb8ff91a1bdb386c80cd7ea	headphonecheck_testphase	18	NA	NA	0	NA	third	1	415
5eb8ff91a1bdb386c80cd7ea	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	404
5eb8ff91a1bdb386c80cd7ea	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	427
5eb8ff91a1bdb386c80cd7ea	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	375
5eb8ff91a1bdb386c80cd7ea	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	301
5eb8ff91a1bdb386c80cd7ea	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	387
5eb8ff91a1bdb386c80cd7ea	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	407
5eb8ff91a1bdb386c80cd7ea	DL_practice	2	ga	ga	0	left	ga	1	1897
5eb8ff91a1bdb386c80cd7ea	DL_practice	3	ka	ka	0	left	ka	1	790
5eb8ff91a1bdb386c80cd7ea	DL_practice	4	ka	pa	1	right	pa	1	1227
5eb8ff91a1bdb386c80cd7ea	DL_practice	5	da	da	0	left	da	1	2344
5eb8ff91a1bdb386c80cd7ea	DL_practice	6	da	ba	1	left	da	1	1908
5eb8ff91a1bdb386c80cd7ea	DL_practice	7	ta	ta	0	left	ta	1	1745
5eb8ff91a1bdb386c80cd7ea	DL_practice	8	ba	ba	0	left	ba	1	1171
5eb8ff91a1bdb386c80cd7ea	DL_practice	9	ga	ta	1	other	ka	0	1883
5eb8ff91a1bdb386c80cd7ea	DL_practice	10	pa	pa	0	left	pa	1	1132
5eb8ff91a1bdb386c80cd7ea	DL_test	1	da	ka	1	other	pa	0	2070
5eb8ff91a1bdb386c80cd7ea	DL_test	2	ga	ga	0	left	ga	1	1047
5eb8ff91a1bdb386c80cd7ea	DL_test	3	ba	ka	1	right	ka	1	1192
5eb8ff91a1bdb386c80cd7ea	DL_test	4	ta	ta	0	left	ta	1	1810
5eb8ff91a1bdb386c80cd7ea	DL_test	5	ga	pa	1	left	ga	1	2048
5eb8ff91a1bdb386c80cd7ea	DL_test	6	ta	pa	1	left	ta	1	1909
5eb8ff91a1bdb386c80cd7ea	DL_test	7	da	pa	1	other	ta	0	1919
5eb8ff91a1bdb386c80cd7ea	DL_test	8	ka	pa	1	left	ka	1	1701
5eb8ff91a1bdb386c80cd7ea	DL_test	9	ka	da	1	left	ka	1	1467
5eb8ff91a1bdb386c80cd7ea	DL_test	10	ba	ga	1	right	ga	1	1193
5eb8ff91a1bdb386c80cd7ea	DL_test	11	ta	ka	1	right	ka	1	993
5eb8ff91a1bdb386c80cd7ea	DL_test	12	da	ta	1	other	ka	0	1899
5eb8ff91a1bdb386c80cd7ea	DL_test	13	ga	ka	1	right	ka	1	1031
5eb8ff91a1bdb386c80cd7ea	DL_test	14	ka	ka	0	left	ka	1	925
5eb8ff91a1bdb386c80cd7ea	DL_test	15	pa	da	1	left	pa	1	1837
5eb8ff91a1bdb386c80cd7ea	DL_test	16	ga	ta	1	left	ga	1	1821
5eb8ff91a1bdb386c80cd7ea	DL_test	17	da	da	0	left	da	1	2014
5eb8ff91a1bdb386c80cd7ea	DL_test	18	pa	pa	0	left	pa	1	1376
5eb8ff91a1bdb386c80cd7ea	DL_test	19	pa	ka	1	right	ka	1	1203
5eb8ff91a1bdb386c80cd7ea	DL_test	20	pa	ba	1	right	ba	1	2991
5eb8ff91a1bdb386c80cd7ea	DL_test	21	da	ba	1	left	da	1	1157
