subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5ec441b77b846b31db2d328a	headphonecheck_testphase	3	NA	NA	0	NA	second	1	64
5ec441b77b846b31db2d328a	headphonecheck_testphase	6	NA	NA	0	NA	second	0	532
5ec441b77b846b31db2d328a	headphonecheck_testphase	9	NA	NA	0	NA	third	0	725
5ec441b77b846b31db2d328a	headphonecheck_testphase	12	NA	NA	0	NA	first	1	154
5ec441b77b846b31db2d328a	headphonecheck_testphase	15	NA	NA	0	NA	third	1	394
5ec441b77b846b31db2d328a	headphonecheck_testphase	18	NA	NA	0	NA	second	1	389
5ec441b77b846b31db2d328a	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	667
5ec441b77b846b31db2d328a	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	603
5ec441b77b846b31db2d328a	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	298
5ec441b77b846b31db2d328a	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	49
5ec441b77b846b31db2d328a	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	369
5ec441b77b846b31db2d328a	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	372
5ec441b77b846b31db2d328a	DL_practice	2	da	ba	1	right	ba	1	1137
5ec441b77b846b31db2d328a	DL_practice	3	ka	ka	0	left	ka	1	1374
5ec441b77b846b31db2d328a	DL_practice	4	ta	ta	0	left	ta	1	1156
5ec441b77b846b31db2d328a	DL_practice	5	da	da	0	left	da	1	1493
5ec441b77b846b31db2d328a	DL_practice	6	pa	pa	0	left	pa	1	1195
5ec441b77b846b31db2d328a	DL_practice	7	ka	pa	1	left	ka	1	1102
5ec441b77b846b31db2d328a	DL_practice	8	ba	ba	0	left	ba	1	1333
5ec441b77b846b31db2d328a	DL_practice	9	ga	ga	0	left	ga	1	848
5ec441b77b846b31db2d328a	DL_practice	10	ga	ta	1	left	ga	1	889
5ec441b77b846b31db2d328a	DL_test	1	ga	pa	1	left	ga	1	901
5ec441b77b846b31db2d328a	DL_test	2	pa	ta	1	right	ta	1	1070
5ec441b77b846b31db2d328a	DL_test	3	ka	ga	1	left	ka	1	1094
5ec441b77b846b31db2d328a	DL_test	4	ta	ga	1	right	ga	1	733
5ec441b77b846b31db2d328a	DL_test	5	da	ba	1	right	ba	1	1061
5ec441b77b846b31db2d328a	DL_test	6	pa	pa	0	left	pa	1	1135
5ec441b77b846b31db2d328a	DL_test	7	ba	ga	1	left	ba	1	1411
5ec441b77b846b31db2d328a	DL_test	8	ta	ta	0	left	ta	1	941
5ec441b77b846b31db2d328a	DL_test	9	ba	pa	1	right	pa	1	1092
5ec441b77b846b31db2d328a	DL_test	10	ka	da	1	other	ga	0	1108
5ec441b77b846b31db2d328a	DL_test	11	ga	ka	1	left	ga	1	865
5ec441b77b846b31db2d328a	DL_test	12	pa	ga	1	right	ga	1	583
5ec441b77b846b31db2d328a	DL_test	13	da	ka	1	left	da	1	1181
5ec441b77b846b31db2d328a	DL_test	14	ga	ba	1	left	ga	1	983
5ec441b77b846b31db2d328a	DL_test	15	da	da	0	left	da	1	1190
5ec441b77b846b31db2d328a	DL_test	16	ba	da	1	left	ba	1	1475
5ec441b77b846b31db2d328a	DL_test	17	ga	ta	1	left	ga	1	914
5ec441b77b846b31db2d328a	DL_test	18	pa	ba	1	left	pa	1	1210
5ec441b77b846b31db2d328a	DL_test	19	da	ga	1	right	ga	1	775
5ec441b77b846b31db2d328a	DL_test	20	ka	ka	0	left	ka	1	790
