subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5ed1cd25eb6dc1122dbd700f	headphonecheck_testphase	3	NA	NA	0	NA	second	0	467
5ed1cd25eb6dc1122dbd700f	headphonecheck_testphase	6	NA	NA	0	NA	first	0	318
5ed1cd25eb6dc1122dbd700f	headphonecheck_testphase	9	NA	NA	0	NA	third	0	302
5ed1cd25eb6dc1122dbd700f	headphonecheck_testphase	12	NA	NA	0	NA	second	0	3367
5ed1cd25eb6dc1122dbd700f	headphonecheck_testphase	15	NA	NA	0	NA	first	0	413
5ed1cd25eb6dc1122dbd700f	headphonecheck_testphase	18	NA	NA	0	NA	third	0	791
5ed1cd25eb6dc1122dbd700f	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	447
5ed1cd25eb6dc1122dbd700f	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	834
5ed1cd25eb6dc1122dbd700f	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	489
5ed1cd25eb6dc1122dbd700f	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	364
5ed1cd25eb6dc1122dbd700f	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	339
5ed1cd25eb6dc1122dbd700f	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	286
5ed1cd25eb6dc1122dbd700f	DL_practice	2	ta	ta	0	left	ta	1	1829
5ed1cd25eb6dc1122dbd700f	DL_practice	3	ga	ta	1	other	ka	0	1521
5ed1cd25eb6dc1122dbd700f	DL_practice	4	ka	ka	0	left	ka	1	921
5ed1cd25eb6dc1122dbd700f	DL_practice	5	pa	pa	0	left	pa	1	1229
5ed1cd25eb6dc1122dbd700f	DL_practice	6	da	ba	1	other	ta	0	2262
5ed1cd25eb6dc1122dbd700f	DL_practice	7	ba	ba	0	other	pa	0	1991
5ed1cd25eb6dc1122dbd700f	DL_practice	8	ka	pa	1	left	ka	1	1018
5ed1cd25eb6dc1122dbd700f	DL_practice	9	ga	ga	0	left	ga	1	935
5ed1cd25eb6dc1122dbd700f	DL_practice	10	da	da	0	left	da	1	1066
