subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5eecd2e3a38fd009dd9d1f3d	headphonecheck_testphase	3	NA	NA	0	NA	first	1	1186
5eecd2e3a38fd009dd9d1f3d	headphonecheck_testphase	6	NA	NA	0	NA	third	1	243
5eecd2e3a38fd009dd9d1f3d	headphonecheck_testphase	9	NA	NA	0	NA	second	1	86
5eecd2e3a38fd009dd9d1f3d	headphonecheck_testphase	12	NA	NA	0	NA	first	1	575
5eecd2e3a38fd009dd9d1f3d	headphonecheck_testphase	15	NA	NA	0	NA	third	1	485
5eecd2e3a38fd009dd9d1f3d	headphonecheck_testphase	18	NA	NA	0	NA	second	1	238
5eecd2e3a38fd009dd9d1f3d	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	357
5eecd2e3a38fd009dd9d1f3d	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	205
5eecd2e3a38fd009dd9d1f3d	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	457
5eecd2e3a38fd009dd9d1f3d	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	217
5eecd2e3a38fd009dd9d1f3d	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	236
5eecd2e3a38fd009dd9d1f3d	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	322
5eecd2e3a38fd009dd9d1f3d	DL_practice	2	ba	ba	0	left	ba	1	1735
5eecd2e3a38fd009dd9d1f3d	DL_practice	3	ga	ta	1	other	ka	0	1321
5eecd2e3a38fd009dd9d1f3d	DL_practice	4	ka	pa	1	right	pa	1	1038
5eecd2e3a38fd009dd9d1f3d	DL_practice	5	pa	pa	0	left	pa	1	623
5eecd2e3a38fd009dd9d1f3d	DL_practice	6	ka	ka	0	left	ka	1	610
5eecd2e3a38fd009dd9d1f3d	DL_practice	7	da	ba	1	left	da	1	1086
5eecd2e3a38fd009dd9d1f3d	DL_practice	8	ga	ga	0	left	ga	1	702
5eecd2e3a38fd009dd9d1f3d	DL_practice	9	da	da	0	left	da	1	1125
5eecd2e3a38fd009dd9d1f3d	DL_practice	10	ta	ta	0	other	ka	0	1006
5eecd2e3a38fd009dd9d1f3d	DL_test	1	pa	ba	1	left	pa	1	885
5eecd2e3a38fd009dd9d1f3d	DL_test	2	ka	ba	1	left	ka	1	769
5eecd2e3a38fd009dd9d1f3d	DL_test	3	ka	ka	0	left	ka	1	515
5eecd2e3a38fd009dd9d1f3d	DL_test	4	da	da	0	left	da	1	1021
5eecd2e3a38fd009dd9d1f3d	DL_test	5	da	pa	1	right	pa	1	898
5eecd2e3a38fd009dd9d1f3d	DL_test	6	ga	ta	1	other	ka	0	695
5eecd2e3a38fd009dd9d1f3d	DL_test	7	pa	ta	1	left	pa	1	742
5eecd2e3a38fd009dd9d1f3d	DL_test	8	ba	pa	1	right	pa	1	581
