subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5f846dd4e962ce0bf61b95fb	headphonecheck_testphase	3	NA	NA	0	NA	third	0	686
5f846dd4e962ce0bf61b95fb	headphonecheck_testphase	6	NA	NA	0	NA	third	0	3083
5f846dd4e962ce0bf61b95fb	headphonecheck_testphase	9	NA	NA	0	NA	second	0	66
5f846dd4e962ce0bf61b95fb	headphonecheck_testphase	12	NA	NA	0	NA	third	0	233
5f846dd4e962ce0bf61b95fb	headphonecheck_testphase	15	NA	NA	0	NA	second	0	2384
5f846dd4e962ce0bf61b95fb	headphonecheck_testphase	18	NA	NA	0	NA	first	0	318
5f846dd4e962ce0bf61b95fb	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	464
5f846dd4e962ce0bf61b95fb	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	234
5f846dd4e962ce0bf61b95fb	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	250
5f846dd4e962ce0bf61b95fb	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	234
5f846dd4e962ce0bf61b95fb	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	283
5f846dd4e962ce0bf61b95fb	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	268
5f846dd4e962ce0bf61b95fb	DL_practice	2	ka	ka	0	left	ka	1	1101
5f846dd4e962ce0bf61b95fb	DL_practice	3	ba	ba	0	other	da	0	1002
5f846dd4e962ce0bf61b95fb	DL_practice	4	ka	pa	1	left	ka	1	1202
5f846dd4e962ce0bf61b95fb	DL_practice	5	da	da	0	left	da	1	1136
5f846dd4e962ce0bf61b95fb	DL_practice	6	ga	ga	0	left	ga	1	668
5f846dd4e962ce0bf61b95fb	DL_practice	7	ga	ta	1	left	ga	1	653
5f846dd4e962ce0bf61b95fb	DL_practice	8	pa	pa	0	left	pa	1	885
5f846dd4e962ce0bf61b95fb	DL_practice	9	da	ba	1	right	ba	1	1335
5f846dd4e962ce0bf61b95fb	DL_practice	10	ta	ta	0	left	ta	1	952
5f846dd4e962ce0bf61b95fb	DL_test	1	ta	da	1	right	da	1	852
5f846dd4e962ce0bf61b95fb	DL_test	2	da	ta	1	left	da	1	718
5f846dd4e962ce0bf61b95fb	DL_test	3	ba	ta	1	other	da	0	618
5f846dd4e962ce0bf61b95fb	DL_test	4	ga	pa	1	left	ga	1	818
5f846dd4e962ce0bf61b95fb	DL_test	5	ka	ba	1	other	pa	0	951
5f846dd4e962ce0bf61b95fb	DL_test	6	ba	ga	1	other	pa	0	619
5f846dd4e962ce0bf61b95fb	DL_test	7	pa	ba	1	right	ba	1	1351
5f846dd4e962ce0bf61b95fb	DL_test	8	pa	ga	1	right	ga	1	785
5f846dd4e962ce0bf61b95fb	DL_test	9	ga	ga	0	left	ga	1	785
5f846dd4e962ce0bf61b95fb	DL_test	10	ta	ta	0	left	ta	1	785
5f846dd4e962ce0bf61b95fb	DL_test	11	ga	da	1	left	ga	1	1018
5f846dd4e962ce0bf61b95fb	DL_test	12	ba	ba	0	left	ba	1	1218
5f846dd4e962ce0bf61b95fb	DL_test	13	ba	pa	1	left	ba	1	735
5f846dd4e962ce0bf61b95fb	DL_test	14	ga	ba	1	right	ba	1	518
5f846dd4e962ce0bf61b95fb	DL_test	15	ba	ka	1	left	ba	1	485
5f846dd4e962ce0bf61b95fb	DL_test	16	da	ga	1	right	ga	1	819
5f846dd4e962ce0bf61b95fb	DL_test	17	da	da	0	left	da	1	885
5f846dd4e962ce0bf61b95fb	DL_test	18	ta	pa	1	left	ta	1	1135
5f846dd4e962ce0bf61b95fb	DL_test	19	pa	ta	1	right	ta	1	552
5f846dd4e962ce0bf61b95fb	DL_test	20	pa	pa	0	left	pa	1	738
5f846dd4e962ce0bf61b95fb	DL_test	21	ga	ka	1	left	ga	1	1051
5f846dd4e962ce0bf61b95fb	DL_test	22	ta	ka	1	right	ka	1	785
5f846dd4e962ce0bf61b95fb	DL_test	23	ka	pa	1	left	ka	1	519
5f846dd4e962ce0bf61b95fb	DL_test	24	ka	da	1	other	ga	0	768
5f846dd4e962ce0bf61b95fb	DL_test	25	da	pa	1	left	da	1	1102
5f846dd4e962ce0bf61b95fb	DL_test	26	ka	ta	1	left	ka	1	901
5f846dd4e962ce0bf61b95fb	DL_test	27	pa	da	1	right	da	1	835
5f846dd4e962ce0bf61b95fb	DL_test	28	ta	ba	1	right	ba	1	1285
5f846dd4e962ce0bf61b95fb	DL_test	29	da	ba	1	right	ba	1	602
5f846dd4e962ce0bf61b95fb	DL_test	30	ga	ta	1	left	ga	1	668
5f846dd4e962ce0bf61b95fb	DL_test	31	ka	ka	0	left	ka	1	719
5f846dd4e962ce0bf61b95fb	DL_test	32	ka	ga	1	right	ga	1	802
5f846dd4e962ce0bf61b95fb	DL_test	33	ba	da	1	left	ba	1	1002
5f846dd4e962ce0bf61b95fb	DL_test	34	ta	ga	1	right	ga	1	1201
5f846dd4e962ce0bf61b95fb	DL_test	35	pa	ka	1	right	ka	1	1019
5f846dd4e962ce0bf61b95fb	DL_test	36	da	ka	1	left	da	1	1185
5f846dd4e962ce0bf61b95fb	DL_test	1	ga	ka	1	left	ga	1	786
5f846dd4e962ce0bf61b95fb	DL_test	2	ka	ta	1	left	ka	1	1152
5f846dd4e962ce0bf61b95fb	DL_test	3	ta	ta	0	left	ta	1	902
5f846dd4e962ce0bf61b95fb	DL_test	4	pa	ba	1	other	da	0	768
5f846dd4e962ce0bf61b95fb	DL_test	5	da	pa	1	left	da	1	452
5f846dd4e962ce0bf61b95fb	DL_test	6	pa	da	1	right	da	1	385
5f846dd4e962ce0bf61b95fb	DL_test	7	da	ka	1	left	da	1	518
5f846dd4e962ce0bf61b95fb	DL_test	8	ka	da	1	other	ga	0	752
5f846dd4e962ce0bf61b95fb	DL_test	9	ga	ta	1	left	ga	1	535
5f846dd4e962ce0bf61b95fb	DL_test	10	ba	ka	1	left	ba	1	1169
5f846dd4e962ce0bf61b95fb	DL_test	11	ta	da	1	right	da	1	619
5f846dd4e962ce0bf61b95fb	DL_test	12	ta	ga	1	right	ga	1	585
5f846dd4e962ce0bf61b95fb	DL_test	13	pa	ka	1	right	ka	1	585
5f846dd4e962ce0bf61b95fb	DL_test	14	ba	ta	1	other	pa	0	985
5f846dd4e962ce0bf61b95fb	DL_test	15	ka	ka	0	left	ka	1	702
5f846dd4e962ce0bf61b95fb	DL_test	16	ba	pa	1	left	ba	1	902
5f846dd4e962ce0bf61b95fb	DL_test	17	ka	ba	1	right	ba	1	452
5f846dd4e962ce0bf61b95fb	DL_test	18	da	da	0	left	da	1	635
5f846dd4e962ce0bf61b95fb	DL_test	19	da	ta	1	left	da	1	1002
5f846dd4e962ce0bf61b95fb	DL_test	20	da	ga	1	right	ga	1	718
