subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5ff633cda2b5841a81ec5b9a	headphonecheck_testphase	3	NA	NA	0	NA	first	0	31858
5ff633cda2b5841a81ec5b9a	headphonecheck_testphase	6	NA	NA	0	NA	third	0	15159
5ff633cda2b5841a81ec5b9a	headphonecheck_testphase	9	NA	NA	0	NA	third	0	6223
5ff633cda2b5841a81ec5b9a	headphonecheck_testphase	12	NA	NA	0	NA	second	0	5100
5ff633cda2b5841a81ec5b9a	headphonecheck_testphase	15	NA	NA	0	NA	first	0	1541
5ff633cda2b5841a81ec5b9a	headphonecheck_testphase	18	NA	NA	0	NA	second	0	852
5ff633cda2b5841a81ec5b9a	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	430
5ff633cda2b5841a81ec5b9a	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	642
5ff633cda2b5841a81ec5b9a	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	405
5ff633cda2b5841a81ec5b9a	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	369
5ff633cda2b5841a81ec5b9a	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	446
5ff633cda2b5841a81ec5b9a	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	320
5ff633cda2b5841a81ec5b9a	DL_practice	2	da	ba	1	right	ba	1	2476
5ff633cda2b5841a81ec5b9a	DL_practice	3	ga	ga	0	left	ga	1	1406
5ff633cda2b5841a81ec5b9a	DL_practice	4	da	da	0	left	da	1	1537
5ff633cda2b5841a81ec5b9a	DL_practice	5	pa	pa	0	left	pa	1	1238
5ff633cda2b5841a81ec5b9a	DL_practice	6	ga	ta	1	left	ga	1	1814
5ff633cda2b5841a81ec5b9a	DL_practice	7	ba	ba	0	left	ba	1	1519
5ff633cda2b5841a81ec5b9a	DL_practice	8	ka	ka	0	left	ka	1	1387
5ff633cda2b5841a81ec5b9a	DL_practice	9	ta	ta	0	left	ta	1	1168
5ff633cda2b5841a81ec5b9a	DL_practice	10	ka	pa	1	left	ka	1	1764
5ff633cda2b5841a81ec5b9a	DL_test	1	ga	ba	1	right	ba	1	1068
5ff633cda2b5841a81ec5b9a	DL_test	2	da	ga	1	right	ga	1	1368
5ff633cda2b5841a81ec5b9a	DL_test	3	ka	ta	1	left	ka	1	1214
5ff633cda2b5841a81ec5b9a	DL_test	4	da	pa	1	right	pa	1	1288
5ff633cda2b5841a81ec5b9a	DL_test	5	da	ba	1	right	ba	1	1555
5ff633cda2b5841a81ec5b9a	DL_test	6	pa	ka	1	right	ka	1	1174
5ff633cda2b5841a81ec5b9a	DL_test	7	ga	da	1	right	da	1	1148
5ff633cda2b5841a81ec5b9a	DL_test	8	ba	ba	0	left	ba	1	1189
5ff633cda2b5841a81ec5b9a	DL_test	9	ka	pa	1	left	ka	1	1115
5ff633cda2b5841a81ec5b9a	DL_test	10	da	ka	1	right	ka	1	1668
5ff633cda2b5841a81ec5b9a	DL_test	11	ka	da	1	left	ka	1	1108
5ff633cda2b5841a81ec5b9a	DL_test	12	pa	da	1	right	da	1	1143
5ff633cda2b5841a81ec5b9a	DL_test	13	ga	pa	1	left	ga	1	1809
5ff633cda2b5841a81ec5b9a	DL_test	14	ta	ta	0	left	ta	1	1318
5ff633cda2b5841a81ec5b9a	DL_test	15	ga	ka	1	right	ka	1	1135
5ff633cda2b5841a81ec5b9a	DL_test	16	ba	ga	1	left	ba	1	1166
5ff633cda2b5841a81ec5b9a	DL_test	17	da	ta	1	right	ta	1	1220
5ff633cda2b5841a81ec5b9a	DL_test	18	ta	ba	1	left	ta	1	2177
5ff633cda2b5841a81ec5b9a	DL_test	19	pa	ba	1	left	pa	1	1126
5ff633cda2b5841a81ec5b9a	DL_test	20	ba	ka	1	right	ka	1	1087
5ff633cda2b5841a81ec5b9a	DL_test	21	ga	ga	0	left	ga	1	961
5ff633cda2b5841a81ec5b9a	DL_test	22	ka	ka	0	left	ka	1	1108
5ff633cda2b5841a81ec5b9a	DL_test	23	ta	da	1	left	ta	1	1445
5ff633cda2b5841a81ec5b9a	DL_test	24	ta	ga	1	other	ka	0	1678
5ff633cda2b5841a81ec5b9a	DL_test	25	pa	ta	1	right	ta	1	1222
5ff633cda2b5841a81ec5b9a	DL_test	26	ka	ba	1	other	ta	0	1021
5ff633cda2b5841a81ec5b9a	DL_test	27	ga	ta	1	left	ga	1	1263
5ff633cda2b5841a81ec5b9a	DL_test	28	ba	da	1	left	ba	1	1681
5ff633cda2b5841a81ec5b9a	DL_test	29	ba	pa	1	right	pa	1	1692
5ff633cda2b5841a81ec5b9a	DL_test	30	ta	ka	1	right	ka	1	1016
5ff633cda2b5841a81ec5b9a	DL_test	31	pa	pa	0	left	pa	1	1149
5ff633cda2b5841a81ec5b9a	DL_test	32	da	da	0	left	da	1	1151
5ff633cda2b5841a81ec5b9a	DL_test	33	ta	pa	1	left	ta	1	973
5ff633cda2b5841a81ec5b9a	DL_test	34	pa	ga	1	other	ka	0	1141
5ff633cda2b5841a81ec5b9a	DL_test	35	ka	ga	1	left	ka	1	1010
5ff633cda2b5841a81ec5b9a	DL_test	36	ba	ta	1	other	ka	0	1021
5ff633cda2b5841a81ec5b9a	DL_test	1	ka	ga	1	left	ka	1	1167
5ff633cda2b5841a81ec5b9a	DL_test	2	ta	ga	1	right	ga	1	1420
5ff633cda2b5841a81ec5b9a	DL_test	3	ba	ta	1	right	ta	1	1214
5ff633cda2b5841a81ec5b9a	DL_test	4	ga	ga	0	left	ga	1	1219
5ff633cda2b5841a81ec5b9a	DL_test	5	pa	ba	1	left	pa	1	947
5ff633cda2b5841a81ec5b9a	DL_test	6	pa	ga	1	other	ka	0	962
5ff633cda2b5841a81ec5b9a	DL_test	7	ta	ba	1	left	ta	1	1500
5ff633cda2b5841a81ec5b9a	DL_test	8	da	ka	1	other	pa	0	988
5ff633cda2b5841a81ec5b9a	DL_test	9	ka	pa	1	left	ka	1	1594
5ff633cda2b5841a81ec5b9a	DL_test	10	ba	ga	1	left	ba	1	1507
5ff633cda2b5841a81ec5b9a	DL_test	11	pa	ta	1	right	ta	1	1020
5ff633cda2b5841a81ec5b9a	DL_test	12	da	ta	1	right	ta	1	2139
5ff633cda2b5841a81ec5b9a	DL_test	13	ga	pa	1	other	ka	0	1035
5ff633cda2b5841a81ec5b9a	DL_test	14	ka	da	1	right	da	1	1233
5ff633cda2b5841a81ec5b9a	DL_test	15	da	ga	1	right	ga	1	771
5ff633cda2b5841a81ec5b9a	DL_test	16	ta	ta	0	left	ta	1	1172
5ff633cda2b5841a81ec5b9a	DL_test	17	ka	ta	1	right	ta	1	1083
5ff633cda2b5841a81ec5b9a	DL_test	18	da	ba	1	right	ba	1	1719
5ff633cda2b5841a81ec5b9a	DL_test	19	ba	ka	1	right	ka	1	921
5ff633cda2b5841a81ec5b9a	DL_test	20	ba	pa	1	right	pa	1	1201
5ff633cda2b5841a81ec5b9a	DL_test	21	ga	ka	1	right	ka	1	1041
5ff633cda2b5841a81ec5b9a	DL_test	22	ba	da	1	left	ba	1	1657
5ff633cda2b5841a81ec5b9a	DL_test	23	ka	ba	1	left	ka	1	1171
5ff633cda2b5841a81ec5b9a	DL_test	24	pa	pa	0	left	pa	1	1143
5ff633cda2b5841a81ec5b9a	DL_test	25	ta	pa	1	left	ta	1	1085
5ff633cda2b5841a81ec5b9a	DL_test	26	ba	ba	0	left	ba	1	1464
5ff633cda2b5841a81ec5b9a	DL_test	27	ga	ta	1	other	ka	0	1385
5ff633cda2b5841a81ec5b9a	DL_test	28	ga	da	1	right	da	1	982
5ff633cda2b5841a81ec5b9a	DL_test	29	pa	da	1	right	da	1	1264
5ff633cda2b5841a81ec5b9a	DL_test	30	da	da	0	left	da	1	881
5ff633cda2b5841a81ec5b9a	DL_test	31	ga	ba	1	right	ba	1	1180
5ff633cda2b5841a81ec5b9a	DL_test	32	da	pa	1	right	pa	1	1077
5ff633cda2b5841a81ec5b9a	DL_test	33	ka	ka	0	left	ka	1	1121
5ff633cda2b5841a81ec5b9a	DL_test	34	pa	ka	1	right	ka	1	1124
