subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
604c43026c4192103feff6e7	headphonecheck_testphase	3	NA	NA	0	NA	second	1	2309
604c43026c4192103feff6e7	headphonecheck_testphase	6	NA	NA	0	NA	first	1	2580
604c43026c4192103feff6e7	headphonecheck_testphase	9	NA	NA	0	NA	second	1	387
604c43026c4192103feff6e7	headphonecheck_testphase	12	NA	NA	0	NA	third	1	590
604c43026c4192103feff6e7	headphonecheck_testphase	15	NA	NA	0	NA	third	1	348
604c43026c4192103feff6e7	headphonecheck_testphase	18	NA	NA	0	NA	first	1	546
604c43026c4192103feff6e7	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	302
604c43026c4192103feff6e7	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	284
604c43026c4192103feff6e7	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	299
604c43026c4192103feff6e7	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	262
604c43026c4192103feff6e7	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	336
604c43026c4192103feff6e7	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	295
604c43026c4192103feff6e7	DL_practice	2	ta	ta	0	left	ta	1	1280
604c43026c4192103feff6e7	DL_practice	3	pa	pa	0	left	pa	1	708
604c43026c4192103feff6e7	DL_practice	4	ga	ga	0	left	ga	1	973
604c43026c4192103feff6e7	DL_practice	5	da	da	0	left	da	1	692
604c43026c4192103feff6e7	DL_practice	6	ba	ba	0	left	ba	1	1280
604c43026c4192103feff6e7	DL_practice	7	ka	ka	0	left	ka	1	692
604c43026c4192103feff6e7	DL_practice	8	ga	ta	1	left	ga	1	3101
604c43026c4192103feff6e7	DL_practice	9	ka	pa	1	right	pa	1	2000
604c43026c4192103feff6e7	DL_practice	10	da	ba	1	left	da	1	1128
604c43026c4192103feff6e7	DL_test	1	ga	ka	1	right	ka	1	1580
604c43026c4192103feff6e7	DL_test	2	ta	ga	1	right	ga	1	1403
604c43026c4192103feff6e7	DL_test	3	ka	ka	0	left	ka	1	802
604c43026c4192103feff6e7	DL_test	4	ta	pa	1	right	pa	1	1904
604c43026c4192103feff6e7	DL_test	5	da	ga	1	left	da	1	1265
604c43026c4192103feff6e7	DL_test	6	da	ta	1	right	ta	1	1166
604c43026c4192103feff6e7	DL_test	7	ta	ta	0	left	ta	1	846
604c43026c4192103feff6e7	DL_test	8	ta	da	1	right	da	1	1399
604c43026c4192103feff6e7	DL_test	9	ga	ga	0	left	ga	1	1024
604c43026c4192103feff6e7	DL_test	10	ta	ba	1	left	ta	1	1909
604c43026c4192103feff6e7	DL_test	11	ka	pa	1	right	pa	1	1511
604c43026c4192103feff6e7	DL_test	12	ta	ka	1	right	ka	1	1552
604c43026c4192103feff6e7	DL_test	13	pa	ba	1	left	pa	1	1297
604c43026c4192103feff6e7	DL_test	14	ba	pa	1	right	pa	1	1273
604c43026c4192103feff6e7	DL_test	15	pa	ga	1	left	pa	1	1006
604c43026c4192103feff6e7	DL_test	16	ga	ta	1	right	ta	1	2941
604c43026c4192103feff6e7	DL_test	17	ka	da	1	right	da	1	2126
604c43026c4192103feff6e7	DL_test	18	ka	ga	1	other	da	0	1425
604c43026c4192103feff6e7	DL_test	19	pa	ka	1	left	pa	1	1734
604c43026c4192103feff6e7	DL_test	20	ga	pa	1	other	ba	0	1150
604c43026c4192103feff6e7	DL_test	21	ka	ta	1	other	da	0	2134
604c43026c4192103feff6e7	DL_test	22	ba	da	1	right	da	1	3409
604c43026c4192103feff6e7	DL_test	23	pa	pa	0	left	pa	1	1419
604c43026c4192103feff6e7	DL_test	24	pa	ta	1	right	ta	1	3696
604c43026c4192103feff6e7	DL_test	25	ba	ka	1	other	da	0	1932
604c43026c4192103feff6e7	DL_test	26	da	da	0	left	da	1	1151
604c43026c4192103feff6e7	DL_test	27	da	pa	1	left	da	1	1055
604c43026c4192103feff6e7	DL_test	28	ba	ba	0	left	ba	1	1028
604c43026c4192103feff6e7	DL_test	29	ga	da	1	right	da	1	815
604c43026c4192103feff6e7	DL_test	30	ba	ta	1	right	ta	1	1614
604c43026c4192103feff6e7	DL_test	31	pa	da	1	left	pa	1	2587
604c43026c4192103feff6e7	DL_test	32	da	ka	1	other	ba	0	1563
604c43026c4192103feff6e7	DL_test	33	da	ba	1	right	ba	1	1878
604c43026c4192103feff6e7	DL_test	34	ka	ba	1	left	ka	1	1406
604c43026c4192103feff6e7	DL_test	35	ba	ga	1	other	da	0	1130
604c43026c4192103feff6e7	DL_test	36	ga	ba	1	left	ga	1	3977
604c43026c4192103feff6e7	DL_test	1	ba	ka	1	left	ba	1	1006
604c43026c4192103feff6e7	DL_test	2	pa	ga	1	other	da	0	1276
604c43026c4192103feff6e7	DL_test	3	ta	ga	1	left	ta	1	2000
604c43026c4192103feff6e7	DL_test	4	da	da	0	left	da	1	916
604c43026c4192103feff6e7	DL_test	5	ta	ta	0	left	ta	1	942
604c43026c4192103feff6e7	DL_test	6	pa	ka	1	right	ka	1	1375
604c43026c4192103feff6e7	DL_test	7	ta	pa	1	other	ba	0	1237
604c43026c4192103feff6e7	DL_test	8	pa	da	1	right	da	1	841
604c43026c4192103feff6e7	DL_test	9	ba	ta	1	other	ga	0	1551
604c43026c4192103feff6e7	DL_test	10	ba	pa	1	left	ba	1	3455
604c43026c4192103feff6e7	DL_test	11	da	ta	1	left	da	1	1171
604c43026c4192103feff6e7	DL_test	12	ba	ba	0	left	ba	1	947
604c43026c4192103feff6e7	DL_test	13	ga	ba	1	right	ba	1	1147
604c43026c4192103feff6e7	DL_test	14	ba	da	1	right	da	1	924
604c43026c4192103feff6e7	DL_test	15	pa	pa	0	left	pa	1	1061
604c43026c4192103feff6e7	DL_test	16	ta	da	1	left	ta	1	2432
604c43026c4192103feff6e7	DL_test	17	ga	pa	1	right	pa	1	1134
604c43026c4192103feff6e7	DL_test	18	ga	da	1	right	da	1	1030
604c43026c4192103feff6e7	DL_test	19	da	ka	1	left	da	1	803
604c43026c4192103feff6e7	DL_test	20	da	ba	1	left	da	1	649
604c43026c4192103feff6e7	DL_test	21	da	pa	1	left	da	1	619
604c43026c4192103feff6e7	DL_test	22	ka	pa	1	right	pa	1	1554
604c43026c4192103feff6e7	DL_test	23	ka	ka	0	left	ka	1	698
604c43026c4192103feff6e7	DL_test	24	pa	ta	1	right	ta	1	1093
604c43026c4192103feff6e7	DL_test	25	ka	ga	1	right	ga	1	790
604c43026c4192103feff6e7	DL_test	26	ka	da	1	right	da	1	1141
604c43026c4192103feff6e7	DL_test	27	da	ga	1	left	da	1	534
604c43026c4192103feff6e7	DL_test	28	ga	ka	1	left	ga	1	1061
604c43026c4192103feff6e7	DL_test	29	pa	ba	1	left	pa	1	1019
604c43026c4192103feff6e7	DL_test	30	ba	ga	1	right	ga	1	817
604c43026c4192103feff6e7	DL_test	31	ta	ba	1	left	ta	1	1084
604c43026c4192103feff6e7	DL_test	32	ga	ga	0	left	ga	1	799
604c43026c4192103feff6e7	DL_test	33	ka	ba	1	other	ga	0	1588
604c43026c4192103feff6e7	DL_test	34	ta	ka	1	left	ta	1	874
604c43026c4192103feff6e7	DL_test	35	ga	ta	1	left	ga	1	1788
604c43026c4192103feff6e7	DL_test	36	ka	ta	1	right	ta	1	868
604c43026c4192103feff6e7	DL_test	1	ba	ka	1	right	ka	1	2129
604c43026c4192103feff6e7	DL_test	2	ka	pa	1	right	pa	1	858
604c43026c4192103feff6e7	DL_test	3	ka	ga	1	right	ga	1	710
604c43026c4192103feff6e7	DL_test	4	ta	ga	1	other	da	0	975
604c43026c4192103feff6e7	DL_test	5	ta	da	1	left	ta	1	1031
604c43026c4192103feff6e7	DL_test	6	pa	ta	1	left	pa	1	780
604c43026c4192103feff6e7	DL_test	7	da	da	0	left	da	1	962
604c43026c4192103feff6e7	DL_test	8	da	ka	1	other	pa	0	1163
604c43026c4192103feff6e7	DL_test	9	ta	ba	1	left	ta	1	1050
604c43026c4192103feff6e7	DL_test	10	da	ba	1	left	da	1	799
604c43026c4192103feff6e7	DL_test	11	pa	pa	0	left	pa	1	811
604c43026c4192103feff6e7	DL_test	12	pa	ka	1	right	ka	1	810
604c43026c4192103feff6e7	DL_test	13	ka	ta	1	right	ta	1	1064
604c43026c4192103feff6e7	DL_test	14	ga	ka	1	right	ka	1	1418
604c43026c4192103feff6e7	DL_test	15	ga	ba	1	right	ba	1	946
604c43026c4192103feff6e7	DL_test	16	ka	ka	0	left	ka	1	954
604c43026c4192103feff6e7	DL_test	17	ba	da	1	right	da	1	833
604c43026c4192103feff6e7	DL_test	18	ga	da	1	right	da	1	555
604c43026c4192103feff6e7	DL_test	19	da	ga	1	left	da	1	542
604c43026c4192103feff6e7	DL_test	20	ta	ka	1	left	ta	1	903
604c43026c4192103feff6e7	DL_test	21	da	pa	1	right	pa	1	831
604c43026c4192103feff6e7	DL_test	22	ba	ba	0	left	ba	1	964
604c43026c4192103feff6e7	DL_test	23	ga	ta	1	other	ka	0	788
604c43026c4192103feff6e7	DL_test	24	ka	ba	1	left	ka	1	691
604c43026c4192103feff6e7	DL_test	25	ga	ga	0	left	ga	1	1100
604c43026c4192103feff6e7	DL_test	26	ta	ta	0	left	ta	1	944
604c43026c4192103feff6e7	DL_test	27	pa	da	1	other	ba	0	1000
604c43026c4192103feff6e7	DL_test	28	ba	ta	1	right	ta	1	2629
604c43026c4192103feff6e7	DL_test	29	ba	ga	1	right	ga	1	762
604c43026c4192103feff6e7	DL_test	30	pa	ga	1	left	pa	1	779
604c43026c4192103feff6e7	DL_test	31	ba	pa	1	right	pa	1	731
