subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6065d6c60c9d35be7632a6ca	headphonecheck_testphase	3	NA	NA	0	NA	first	0	7346
6065d6c60c9d35be7632a6ca	headphonecheck_testphase	6	NA	NA	0	NA	second	0	875
6065d6c60c9d35be7632a6ca	headphonecheck_testphase	9	NA	NA	0	NA	third	0	483
6065d6c60c9d35be7632a6ca	headphonecheck_testphase	12	NA	NA	0	NA	second	0	551
6065d6c60c9d35be7632a6ca	headphonecheck_testphase	15	NA	NA	0	NA	third	0	365
6065d6c60c9d35be7632a6ca	headphonecheck_testphase	18	NA	NA	0	NA	first	0	423
6065d6c60c9d35be7632a6ca	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1464
6065d6c60c9d35be7632a6ca	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	0	9434
6065d6c60c9d35be7632a6ca	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	910
6065d6c60c9d35be7632a6ca	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	482
6065d6c60c9d35be7632a6ca	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	485
6065d6c60c9d35be7632a6ca	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	985
6065d6c60c9d35be7632a6ca	DL_practice	2	ga	ga	0	left	ga	1	1013
6065d6c60c9d35be7632a6ca	DL_practice	3	ba	ba	0	left	ba	1	1444
6065d6c60c9d35be7632a6ca	DL_practice	4	ta	ta	0	left	ta	1	1302
6065d6c60c9d35be7632a6ca	DL_practice	5	da	ba	1	other	ga	0	2942
6065d6c60c9d35be7632a6ca	DL_practice	6	ka	ka	0	left	ka	1	904
6065d6c60c9d35be7632a6ca	DL_practice	7	ka	pa	1	left	ka	1	843
6065d6c60c9d35be7632a6ca	DL_practice	8	da	da	0	left	da	1	1396
6065d6c60c9d35be7632a6ca	DL_practice	9	ga	ta	1	left	ga	1	900
6065d6c60c9d35be7632a6ca	DL_practice	10	pa	pa	0	left	pa	1	1045
6065d6c60c9d35be7632a6ca	DL_test	1	ga	ka	1	left	ga	1	828
6065d6c60c9d35be7632a6ca	DL_test	2	ka	ka	0	left	ka	1	916
6065d6c60c9d35be7632a6ca	DL_test	3	ka	da	1	other	ga	0	772
6065d6c60c9d35be7632a6ca	DL_test	4	da	ta	1	left	da	1	806
6065d6c60c9d35be7632a6ca	DL_test	5	ta	da	1	right	da	1	703
6065d6c60c9d35be7632a6ca	DL_test	6	ga	ga	0	left	ga	1	766
6065d6c60c9d35be7632a6ca	DL_test	7	ga	ba	1	right	ba	1	962
6065d6c60c9d35be7632a6ca	DL_test	8	ta	pa	1	left	ta	1	936
6065d6c60c9d35be7632a6ca	DL_test	9	pa	ga	1	right	ga	1	888
6065d6c60c9d35be7632a6ca	DL_test	10	da	ga	1	left	da	1	834
6065d6c60c9d35be7632a6ca	DL_test	11	ta	ga	1	right	ga	1	868
6065d6c60c9d35be7632a6ca	DL_test	12	ta	ba	1	right	ba	1	1057
6065d6c60c9d35be7632a6ca	DL_test	13	ka	ga	1	right	ga	1	922
6065d6c60c9d35be7632a6ca	DL_test	14	da	pa	1	left	da	1	976
6065d6c60c9d35be7632a6ca	DL_test	15	da	ka	1	left	da	1	943
6065d6c60c9d35be7632a6ca	DL_test	16	ta	ka	1	right	ka	1	753
6065d6c60c9d35be7632a6ca	DL_test	17	ka	ta	1	left	ka	1	919
6065d6c60c9d35be7632a6ca	DL_test	18	pa	ka	1	right	ka	1	774
6065d6c60c9d35be7632a6ca	DL_test	19	pa	da	1	right	da	1	1017
6065d6c60c9d35be7632a6ca	DL_test	20	ka	ba	1	right	ba	1	905
6065d6c60c9d35be7632a6ca	DL_test	21	ka	pa	1	left	ka	1	1051
6065d6c60c9d35be7632a6ca	DL_test	22	ga	pa	1	other	ba	0	1436
6065d6c60c9d35be7632a6ca	DL_test	23	da	ba	1	right	ba	1	934
6065d6c60c9d35be7632a6ca	DL_test	24	ba	ba	0	left	ba	1	718
6065d6c60c9d35be7632a6ca	DL_test	25	ba	pa	1	left	ba	1	840
6065d6c60c9d35be7632a6ca	DL_test	26	ba	ka	1	other	da	0	1214
6065d6c60c9d35be7632a6ca	DL_test	27	pa	pa	0	left	pa	1	1060
6065d6c60c9d35be7632a6ca	DL_test	28	ba	ta	1	right	ta	1	1189
6065d6c60c9d35be7632a6ca	DL_test	29	ga	da	1	left	ga	1	1071
6065d6c60c9d35be7632a6ca	DL_test	30	ba	da	1	left	ba	1	1410
6065d6c60c9d35be7632a6ca	DL_test	31	ga	ta	1	left	ga	1	745
6065d6c60c9d35be7632a6ca	DL_test	32	pa	ta	1	right	ta	1	1436
6065d6c60c9d35be7632a6ca	DL_test	33	ta	ta	0	left	ta	1	821
6065d6c60c9d35be7632a6ca	DL_test	34	ba	ga	1	left	ba	1	1628
6065d6c60c9d35be7632a6ca	DL_test	35	pa	ba	1	right	ba	1	784
6065d6c60c9d35be7632a6ca	DL_test	36	da	da	0	left	da	1	915
6065d6c60c9d35be7632a6ca	DL_test	1	ta	ta	0	left	ta	1	997
6065d6c60c9d35be7632a6ca	DL_test	2	ka	ta	1	left	ka	1	955
6065d6c60c9d35be7632a6ca	DL_test	3	ta	pa	1	left	ta	1	1213
6065d6c60c9d35be7632a6ca	DL_test	4	ta	ka	1	right	ka	1	1013
6065d6c60c9d35be7632a6ca	DL_test	5	ka	ba	1	right	ba	1	1304
6065d6c60c9d35be7632a6ca	DL_test	6	da	ka	1	left	da	1	881
6065d6c60c9d35be7632a6ca	DL_test	7	ga	ba	1	right	ba	1	712
6065d6c60c9d35be7632a6ca	DL_test	8	ga	da	1	left	ga	1	926
6065d6c60c9d35be7632a6ca	DL_test	9	ba	ta	1	left	ba	1	1338
6065d6c60c9d35be7632a6ca	DL_test	10	ka	ga	1	right	ga	1	1307
6065d6c60c9d35be7632a6ca	DL_test	11	ta	ba	1	right	ba	1	1243
6065d6c60c9d35be7632a6ca	DL_test	12	da	ta	1	left	da	1	791
6065d6c60c9d35be7632a6ca	DL_test	13	ka	ka	0	left	ka	1	959
6065d6c60c9d35be7632a6ca	DL_test	14	da	pa	1	left	da	1	924
6065d6c60c9d35be7632a6ca	DL_test	15	ka	da	1	other	ga	0	817
6065d6c60c9d35be7632a6ca	DL_test	16	ba	ka	1	left	ba	1	1133
6065d6c60c9d35be7632a6ca	DL_test	17	ka	pa	1	left	ka	1	1206
6065d6c60c9d35be7632a6ca	DL_test	18	da	da	0	left	da	1	1081
6065d6c60c9d35be7632a6ca	DL_test	19	pa	ba	1	right	ba	1	1089
6065d6c60c9d35be7632a6ca	DL_test	20	pa	ka	1	right	ka	1	1023
6065d6c60c9d35be7632a6ca	DL_test	21	ba	pa	1	left	ba	1	1120
6065d6c60c9d35be7632a6ca	DL_test	22	ba	da	1	left	ba	1	795
6065d6c60c9d35be7632a6ca	DL_test	23	ta	ga	1	right	ga	1	1001
6065d6c60c9d35be7632a6ca	DL_test	24	pa	pa	0	left	pa	1	906
6065d6c60c9d35be7632a6ca	DL_test	25	ga	ka	1	left	ga	1	912
6065d6c60c9d35be7632a6ca	DL_test	26	da	ba	1	right	ba	1	1416
