subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6080c437c4d7109234489144	headphonecheck_testphase	3	NA	NA	0	NA	first	1	9340
6080c437c4d7109234489144	headphonecheck_testphase	6	NA	NA	0	NA	third	1	2782
6080c437c4d7109234489144	headphonecheck_testphase	9	NA	NA	0	NA	second	1	791
6080c437c4d7109234489144	headphonecheck_testphase	12	NA	NA	0	NA	third	0	752
6080c437c4d7109234489144	headphonecheck_testphase	15	NA	NA	0	NA	third	1	720
6080c437c4d7109234489144	headphonecheck_testphase	18	NA	NA	0	NA	second	1	923
6080c437c4d7109234489144	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	327
6080c437c4d7109234489144	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	361
6080c437c4d7109234489144	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	352
6080c437c4d7109234489144	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	669
6080c437c4d7109234489144	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	491
6080c437c4d7109234489144	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	322
6080c437c4d7109234489144	DL_practice	2	pa	pa	0	left	pa	1	1428
6080c437c4d7109234489144	DL_practice	3	ga	ta	1	left	ga	1	1129
6080c437c4d7109234489144	DL_practice	4	ka	ka	0	left	ka	1	1600
6080c437c4d7109234489144	DL_practice	5	ka	pa	1	left	ka	1	969
6080c437c4d7109234489144	DL_practice	6	ga	ga	0	left	ga	1	1365
6080c437c4d7109234489144	DL_practice	7	da	ba	1	right	ba	1	2132
6080c437c4d7109234489144	DL_practice	8	da	da	0	left	da	1	1507
6080c437c4d7109234489144	DL_practice	9	ta	ta	0	left	ta	1	1348
6080c437c4d7109234489144	DL_practice	10	ba	ba	0	left	ba	1	1996
6080c437c4d7109234489144	DL_test	1	da	ka	1	other	ga	0	1252
6080c437c4d7109234489144	DL_test	2	ta	ka	1	right	ka	1	1266
6080c437c4d7109234489144	DL_test	3	ba	ta	1	left	ba	1	1348
6080c437c4d7109234489144	DL_test	4	ga	ta	1	left	ga	1	971
6080c437c4d7109234489144	DL_test	5	ba	da	1	left	ba	1	1253
6080c437c4d7109234489144	DL_test	6	pa	pa	0	left	pa	1	2217
6080c437c4d7109234489144	DL_test	7	pa	da	1	other	ga	0	1226
6080c437c4d7109234489144	DL_test	8	ka	da	1	other	ga	0	1155
6080c437c4d7109234489144	DL_test	9	ka	pa	1	left	ka	1	1535
6080c437c4d7109234489144	DL_test	10	ba	ga	1	left	ba	1	1664
6080c437c4d7109234489144	DL_test	11	ga	ba	1	right	ba	1	757
6080c437c4d7109234489144	DL_test	12	ka	ga	1	right	ga	1	1146
6080c437c4d7109234489144	DL_test	13	ta	da	1	other	ga	0	781
6080c437c4d7109234489144	DL_test	14	ta	ta	0	left	ta	1	1489
6080c437c4d7109234489144	DL_test	15	ka	ka	0	left	ka	1	1353
6080c437c4d7109234489144	DL_test	16	pa	ka	1	right	ka	1	1406
6080c437c4d7109234489144	DL_test	17	ba	ka	1	other	pa	0	1052
6080c437c4d7109234489144	DL_test	18	ta	ga	1	right	ga	1	1213
6080c437c4d7109234489144	DL_test	19	ta	pa	1	left	ta	1	1342
6080c437c4d7109234489144	DL_test	20	da	pa	1	other	ga	0	1413
6080c437c4d7109234489144	DL_test	21	ka	ta	1	left	ka	1	1517
6080c437c4d7109234489144	DL_test	22	da	ba	1	right	ba	1	1970
6080c437c4d7109234489144	DL_test	23	ga	da	1	left	ga	1	1474
6080c437c4d7109234489144	DL_test	24	pa	ta	1	right	ta	1	1629
6080c437c4d7109234489144	DL_test	25	da	da	0	left	da	1	2275
6080c437c4d7109234489144	DL_test	26	ka	ba	1	right	ba	1	1781
6080c437c4d7109234489144	DL_test	27	ta	ba	1	left	ta	1	2199
6080c437c4d7109234489144	DL_test	28	ga	pa	1	left	ga	1	1525
6080c437c4d7109234489144	DL_test	29	ga	ga	0	left	ga	1	855
6080c437c4d7109234489144	DL_test	30	da	ga	1	other	ba	0	2348
6080c437c4d7109234489144	DL_test	31	pa	ga	1	right	ga	1	1375
6080c437c4d7109234489144	DL_test	32	pa	ba	1	left	pa	1	1356
6080c437c4d7109234489144	DL_test	33	ba	ba	0	left	ba	1	1389
6080c437c4d7109234489144	DL_test	34	da	ta	1	right	ta	1	1433
6080c437c4d7109234489144	DL_test	35	ga	ka	1	left	ga	1	1498
6080c437c4d7109234489144	DL_test	36	ba	pa	1	right	pa	1	2179
6080c437c4d7109234489144	DL_test	1	ka	da	1	other	ga	0	1119
6080c437c4d7109234489144	DL_test	2	ta	da	1	left	ta	1	1141
6080c437c4d7109234489144	DL_test	3	pa	ta	1	right	ta	1	1561
6080c437c4d7109234489144	DL_test	4	ta	ba	1	other	pa	0	1075
6080c437c4d7109234489144	DL_test	5	pa	pa	0	left	pa	1	1120
