subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
60e0687e08d77efdaa4e9aa8	headphonecheck_testphase	3	NA	NA	0	NA	first	1	508
60e0687e08d77efdaa4e9aa8	headphonecheck_testphase	6	NA	NA	0	NA	first	1	1199
60e0687e08d77efdaa4e9aa8	headphonecheck_testphase	9	NA	NA	0	NA	second	1	505
60e0687e08d77efdaa4e9aa8	headphonecheck_testphase	12	NA	NA	0	NA	third	1	615
60e0687e08d77efdaa4e9aa8	headphonecheck_testphase	15	NA	NA	0	NA	third	1	607
60e0687e08d77efdaa4e9aa8	headphonecheck_testphase	18	NA	NA	0	NA	second	1	633
60e0687e08d77efdaa4e9aa8	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	582
60e0687e08d77efdaa4e9aa8	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	369
60e0687e08d77efdaa4e9aa8	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	380
60e0687e08d77efdaa4e9aa8	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	397
60e0687e08d77efdaa4e9aa8	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	567
60e0687e08d77efdaa4e9aa8	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	368
60e0687e08d77efdaa4e9aa8	DL_practice	2	ka	ka	0	left	ka	1	1646
60e0687e08d77efdaa4e9aa8	DL_practice	3	ga	ta	1	other	ka	0	3508
60e0687e08d77efdaa4e9aa8	DL_practice	4	da	ba	1	right	ba	1	2032
60e0687e08d77efdaa4e9aa8	DL_practice	5	pa	pa	0	left	pa	1	1665
60e0687e08d77efdaa4e9aa8	DL_practice	6	ka	pa	1	right	pa	1	2446
60e0687e08d77efdaa4e9aa8	DL_practice	7	ga	ga	0	left	ga	1	1272
60e0687e08d77efdaa4e9aa8	DL_practice	8	ta	ta	0	left	ta	1	1677
60e0687e08d77efdaa4e9aa8	DL_practice	9	da	da	0	left	da	1	1307
60e0687e08d77efdaa4e9aa8	DL_practice	10	ba	ba	0	left	ba	1	1836
60e0687e08d77efdaa4e9aa8	DL_test	1	ta	ga	1	right	ga	1	1353
60e0687e08d77efdaa4e9aa8	DL_test	2	da	ba	1	right	ba	1	1479
60e0687e08d77efdaa4e9aa8	DL_test	3	ba	da	1	right	da	1	1902
60e0687e08d77efdaa4e9aa8	DL_test	4	ka	ga	1	left	ka	1	1621
60e0687e08d77efdaa4e9aa8	DL_test	5	ka	ta	1	right	ta	1	1718
60e0687e08d77efdaa4e9aa8	DL_test	6	ba	ba	0	left	ba	1	1861
60e0687e08d77efdaa4e9aa8	DL_test	7	ka	da	1	right	da	1	1650
60e0687e08d77efdaa4e9aa8	DL_test	8	ba	ga	1	left	ba	1	1664
60e0687e08d77efdaa4e9aa8	DL_test	9	ta	ka	1	right	ka	1	1849
60e0687e08d77efdaa4e9aa8	DL_test	10	ta	ba	1	other	pa	0	2769
60e0687e08d77efdaa4e9aa8	DL_test	11	ta	da	1	right	da	1	1563
60e0687e08d77efdaa4e9aa8	DL_test	12	da	ka	1	other	pa	0	1446
60e0687e08d77efdaa4e9aa8	DL_test	13	ka	ba	1	left	ka	1	2341
60e0687e08d77efdaa4e9aa8	DL_test	14	ga	ba	1	right	ba	1	1437
60e0687e08d77efdaa4e9aa8	DL_test	15	ta	pa	1	right	pa	1	1721
60e0687e08d77efdaa4e9aa8	DL_test	16	pa	pa	0	left	pa	1	1230
60e0687e08d77efdaa4e9aa8	DL_test	17	ga	da	1	right	da	1	1406
60e0687e08d77efdaa4e9aa8	DL_test	18	pa	ga	1	other	ka	0	2764
60e0687e08d77efdaa4e9aa8	DL_test	19	da	ga	1	left	da	1	1333
60e0687e08d77efdaa4e9aa8	DL_test	20	da	ta	1	right	ta	1	1829
60e0687e08d77efdaa4e9aa8	DL_test	21	ga	pa	1	right	pa	1	1338
60e0687e08d77efdaa4e9aa8	DL_test	22	pa	ka	1	right	ka	1	1170
60e0687e08d77efdaa4e9aa8	DL_test	23	ga	ga	0	other	da	0	1275
60e0687e08d77efdaa4e9aa8	DL_test	24	ba	pa	1	right	pa	1	1407
60e0687e08d77efdaa4e9aa8	DL_test	25	ga	ka	1	right	ka	1	1359
60e0687e08d77efdaa4e9aa8	DL_test	26	ka	pa	1	right	pa	1	1364
