subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
60fe0a8295a33168e57c2073	headphonecheck_testphase	3	NA	NA	0	NA	first	1	10606
60fe0a8295a33168e57c2073	headphonecheck_testphase	6	NA	NA	0	NA	second	1	579
60fe0a8295a33168e57c2073	headphonecheck_testphase	9	NA	NA	0	NA	first	1	536
60fe0a8295a33168e57c2073	headphonecheck_testphase	12	NA	NA	0	NA	second	1	478
60fe0a8295a33168e57c2073	headphonecheck_testphase	15	NA	NA	0	NA	third	1	486
60fe0a8295a33168e57c2073	headphonecheck_testphase	18	NA	NA	0	NA	third	1	407
60fe0a8295a33168e57c2073	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	383
60fe0a8295a33168e57c2073	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	327
60fe0a8295a33168e57c2073	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	405
60fe0a8295a33168e57c2073	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	356
60fe0a8295a33168e57c2073	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	325
60fe0a8295a33168e57c2073	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	302
60fe0a8295a33168e57c2073	DL_practice	2	ta	ta	0	other	ka	0	2412
60fe0a8295a33168e57c2073	DL_practice	3	da	da	0	left	da	1	1646
60fe0a8295a33168e57c2073	DL_practice	4	da	ba	1	right	ba	1	1468
60fe0a8295a33168e57c2073	DL_practice	5	ba	ba	0	left	ba	1	1362
60fe0a8295a33168e57c2073	DL_practice	6	ga	ga	0	left	ga	1	1258
60fe0a8295a33168e57c2073	DL_practice	7	pa	pa	0	left	pa	1	1116
60fe0a8295a33168e57c2073	DL_practice	8	ga	ta	1	other	ka	0	1768
60fe0a8295a33168e57c2073	DL_practice	9	ka	ka	0	left	ka	1	1155
60fe0a8295a33168e57c2073	DL_practice	10	ka	pa	1	right	pa	1	2225
60fe0a8295a33168e57c2073	DL_test	1	ga	ka	1	right	ka	1	1392
60fe0a8295a33168e57c2073	DL_test	2	ta	da	1	left	ta	1	2113
60fe0a8295a33168e57c2073	DL_test	3	ba	ta	1	other	ka	0	2359
60fe0a8295a33168e57c2073	DL_test	4	ga	pa	1	right	pa	1	1227
60fe0a8295a33168e57c2073	DL_test	5	da	da	0	left	da	1	1209
60fe0a8295a33168e57c2073	DL_test	6	da	ga	1	right	ga	1	1216
60fe0a8295a33168e57c2073	DL_test	7	pa	pa	0	left	pa	1	1157
60fe0a8295a33168e57c2073	DL_test	8	pa	ga	1	left	pa	1	1436
60fe0a8295a33168e57c2073	DL_test	9	pa	ta	1	right	ta	1	1232
60fe0a8295a33168e57c2073	DL_test	10	ka	ba	1	right	ba	1	1566
60fe0a8295a33168e57c2073	DL_test	11	ba	ga	1	right	ga	1	1248
60fe0a8295a33168e57c2073	DL_test	12	ba	ba	0	left	ba	1	1343
60fe0a8295a33168e57c2073	DL_test	13	pa	da	1	left	pa	1	1399
60fe0a8295a33168e57c2073	DL_test	14	ga	ba	1	left	ga	1	1551
60fe0a8295a33168e57c2073	DL_test	15	pa	ba	1	left	pa	1	1407
60fe0a8295a33168e57c2073	DL_test	16	ba	pa	1	left	ba	1	1530
60fe0a8295a33168e57c2073	DL_test	17	ka	da	1	left	ka	1	1574
60fe0a8295a33168e57c2073	DL_test	18	ta	ga	1	other	ka	0	1823
60fe0a8295a33168e57c2073	DL_test	19	ka	ta	1	left	ka	1	1342
60fe0a8295a33168e57c2073	DL_test	20	ga	da	1	left	ga	1	1399
60fe0a8295a33168e57c2073	DL_test	21	ga	ta	1	other	ka	0	2702
60fe0a8295a33168e57c2073	DL_test	22	ka	ka	0	left	ka	1	1140
60fe0a8295a33168e57c2073	DL_test	23	pa	ka	1	other	ta	0	1696
60fe0a8295a33168e57c2073	DL_test	24	ta	ba	1	other	pa	0	2425
60fe0a8295a33168e57c2073	DL_test	25	ta	pa	1	right	pa	1	1580
60fe0a8295a33168e57c2073	DL_test	26	da	ta	1	other	ga	0	2369
60fe0a8295a33168e57c2073	DL_test	27	ta	ka	1	right	ka	1	2049
60fe0a8295a33168e57c2073	DL_test	28	da	ba	1	right	ba	1	1626
60fe0a8295a33168e57c2073	DL_test	29	da	pa	1	right	pa	1	1206
60fe0a8295a33168e57c2073	DL_test	30	ka	pa	1	right	pa	1	2054
60fe0a8295a33168e57c2073	DL_test	31	da	ka	1	other	pa	0	1381
60fe0a8295a33168e57c2073	DL_test	32	ba	da	1	right	da	1	1868
60fe0a8295a33168e57c2073	DL_test	33	ba	ka	1	right	ka	1	1273
60fe0a8295a33168e57c2073	DL_test	34	ga	ga	0	left	ga	1	1127
60fe0a8295a33168e57c2073	DL_test	35	ka	ga	1	left	ka	1	2854
60fe0a8295a33168e57c2073	DL_test	36	ta	ta	0	other	ka	0	1046
60fe0a8295a33168e57c2073	DL_test	1	da	pa	1	other	ba	0	2321
60fe0a8295a33168e57c2073	DL_test	2	ba	ta	1	other	ka	0	1688
60fe0a8295a33168e57c2073	DL_test	3	da	ka	1	other	pa	0	1277
60fe0a8295a33168e57c2073	DL_test	4	ba	pa	1	right	pa	1	1337
60fe0a8295a33168e57c2073	DL_test	5	pa	pa	0	left	pa	1	1135
60fe0a8295a33168e57c2073	DL_test	6	ga	ga	0	left	ga	1	1393
60fe0a8295a33168e57c2073	DL_test	7	ta	ka	1	right	ka	1	1574
60fe0a8295a33168e57c2073	DL_test	8	da	ga	1	right	ga	1	1597
60fe0a8295a33168e57c2073	DL_test	9	da	da	0	left	da	1	1308
60fe0a8295a33168e57c2073	DL_test	10	da	ta	1	other	ka	0	2046
60fe0a8295a33168e57c2073	DL_test	11	ba	da	1	left	ba	1	2282
60fe0a8295a33168e57c2073	DL_test	12	ga	ta	1	other	ka	0	1807
60fe0a8295a33168e57c2073	DL_test	13	pa	ba	1	left	pa	1	2068
60fe0a8295a33168e57c2073	DL_test	14	ta	ga	1	other	ka	0	1883
60fe0a8295a33168e57c2073	DL_test	15	ka	ta	1	left	ka	1	1737
60fe0a8295a33168e57c2073	DL_test	16	ga	ba	1	right	ba	1	1382
60fe0a8295a33168e57c2073	DL_test	17	ta	da	1	other	ka	0	1884
60fe0a8295a33168e57c2073	DL_test	18	ka	ka	0	left	ka	1	1040
60fe0a8295a33168e57c2073	DL_test	19	pa	da	1	left	pa	1	2699
60fe0a8295a33168e57c2073	DL_test	20	ta	pa	1	right	pa	1	1822
60fe0a8295a33168e57c2073	DL_test	21	pa	ta	1	right	ta	1	1341
60fe0a8295a33168e57c2073	DL_test	22	ba	ka	1	left	ba	1	2103
60fe0a8295a33168e57c2073	DL_test	23	ga	pa	1	left	ga	1	1801
60fe0a8295a33168e57c2073	DL_test	24	ta	ta	0	other	ka	0	1543
60fe0a8295a33168e57c2073	DL_test	25	ga	ka	1	right	ka	1	2365
60fe0a8295a33168e57c2073	DL_test	26	ka	pa	1	right	pa	1	1713
60fe0a8295a33168e57c2073	DL_test	27	ka	da	1	right	da	1	1851
60fe0a8295a33168e57c2073	DL_test	28	pa	ka	1	left	pa	1	2004
60fe0a8295a33168e57c2073	DL_test	29	ka	ga	1	right	ga	1	1874
60fe0a8295a33168e57c2073	DL_test	30	ka	ba	1	other	pa	0	1832
60fe0a8295a33168e57c2073	DL_test	31	ba	ba	0	left	ba	1	1365
60fe0a8295a33168e57c2073	DL_test	32	pa	ga	1	other	da	0	1799
60fe0a8295a33168e57c2073	DL_test	33	ga	da	1	left	ga	1	2153
60fe0a8295a33168e57c2073	DL_test	34	ba	ga	1	right	ga	1	1643
60fe0a8295a33168e57c2073	DL_test	35	da	ba	1	right	ba	1	1334
60fe0a8295a33168e57c2073	DL_test	36	ta	ba	1	other	ka	0	1855
60fe0a8295a33168e57c2073	DL_test	1	ba	ba	0	left	ba	1	2103
60fe0a8295a33168e57c2073	DL_test	2	pa	ka	1	right	ka	1	1824
60fe0a8295a33168e57c2073	DL_test	3	ka	ka	0	left	ka	1	1093
60fe0a8295a33168e57c2073	DL_test	4	da	ga	1	right	ga	1	1509
60fe0a8295a33168e57c2073	DL_test	5	pa	pa	0	left	pa	1	1236
60fe0a8295a33168e57c2073	DL_test	6	ka	pa	1	right	pa	1	1731
60fe0a8295a33168e57c2073	DL_test	7	ka	ba	1	right	ba	1	1921
60fe0a8295a33168e57c2073	DL_test	8	ba	pa	1	right	pa	1	1597
60fe0a8295a33168e57c2073	DL_test	9	pa	ga	1	left	pa	1	1271
60fe0a8295a33168e57c2073	DL_test	10	ta	ka	1	right	ka	1	1499
60fe0a8295a33168e57c2073	DL_test	11	pa	ba	1	left	pa	1	1489
60fe0a8295a33168e57c2073	DL_test	12	ta	pa	1	left	ta	1	1479
60fe0a8295a33168e57c2073	DL_test	13	ga	ta	1	other	ka	0	1919
60fe0a8295a33168e57c2073	DL_test	14	ga	ga	0	left	ga	1	1610
60fe0a8295a33168e57c2073	DL_test	15	ga	ka	1	other	da	0	1854
60fe0a8295a33168e57c2073	DL_test	16	ba	ga	1	left	ba	1	1657
60fe0a8295a33168e57c2073	DL_test	17	ta	ta	0	other	ka	0	2113
60fe0a8295a33168e57c2073	DL_test	18	ka	ta	1	left	ka	1	1936
60fe0a8295a33168e57c2073	DL_test	19	pa	ta	1	right	ta	1	1351
60fe0a8295a33168e57c2073	DL_test	20	ba	ta	1	other	ka	0	2770
60fe0a8295a33168e57c2073	DL_test	21	da	ta	1	other	ka	0	1182
60fe0a8295a33168e57c2073	DL_test	22	ka	ga	1	right	ga	1	1414
60fe0a8295a33168e57c2073	DL_test	23	ka	da	1	left	ka	1	1392
60fe0a8295a33168e57c2073	DL_test	24	da	pa	1	left	da	1	1945
60fe0a8295a33168e57c2073	DL_test	25	ta	ba	1	left	ta	1	1877
60fe0a8295a33168e57c2073	DL_test	26	pa	da	1	left	pa	1	1382
60fe0a8295a33168e57c2073	DL_test	27	ta	da	1	other	ka	0	1519
60fe0a8295a33168e57c2073	DL_test	28	ba	da	1	right	da	1	1634
60fe0a8295a33168e57c2073	DL_test	29	da	ka	1	left	da	1	2032
60fe0a8295a33168e57c2073	DL_test	30	ba	ka	1	other	pa	0	1443
60fe0a8295a33168e57c2073	DL_test	31	ga	ba	1	right	ba	1	2260
60fe0a8295a33168e57c2073	DL_test	32	ga	da	1	right	da	1	1407
60fe0a8295a33168e57c2073	DL_test	33	ga	pa	1	right	pa	1	1349
