subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
61005ada2ffbf75efed5deb5	headphonecheck_testphase	3	NA	NA	0	NA	first	0	1941
61005ada2ffbf75efed5deb5	headphonecheck_testphase	6	NA	NA	0	NA	first	0	1092
61005ada2ffbf75efed5deb5	headphonecheck_testphase	9	NA	NA	0	NA	third	0	249
61005ada2ffbf75efed5deb5	headphonecheck_testphase	12	NA	NA	0	NA	third	0	437
61005ada2ffbf75efed5deb5	headphonecheck_testphase	15	NA	NA	0	NA	second	0	470
61005ada2ffbf75efed5deb5	headphonecheck_testphase	18	NA	NA	0	NA	second	0	311
61005ada2ffbf75efed5deb5	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	888
61005ada2ffbf75efed5deb5	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	289
61005ada2ffbf75efed5deb5	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	310
61005ada2ffbf75efed5deb5	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	294
61005ada2ffbf75efed5deb5	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	294
61005ada2ffbf75efed5deb5	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	275
61005ada2ffbf75efed5deb5	DL_practice	2	ka	ka	0	left	ka	1	1108
61005ada2ffbf75efed5deb5	DL_practice	3	ta	ta	0	left	ta	1	8161
61005ada2ffbf75efed5deb5	DL_practice	4	ga	ta	1	right	ta	1	31438
61005ada2ffbf75efed5deb5	DL_practice	5	ga	ga	0	left	ga	1	1083
61005ada2ffbf75efed5deb5	DL_practice	6	ba	ba	0	left	ba	1	2370
61005ada2ffbf75efed5deb5	DL_practice	7	ka	pa	1	left	ka	1	1069
61005ada2ffbf75efed5deb5	DL_practice	8	da	da	0	left	da	1	993
61005ada2ffbf75efed5deb5	DL_practice	9	da	ba	1	other	ga	0	1797
61005ada2ffbf75efed5deb5	DL_practice	10	pa	pa	0	left	pa	1	960
61005ada2ffbf75efed5deb5	DL_test	1	ka	da	1	other	ga	0	823
61005ada2ffbf75efed5deb5	DL_test	2	da	da	0	left	da	1	970
61005ada2ffbf75efed5deb5	DL_test	3	ta	ka	1	right	ka	1	1177
61005ada2ffbf75efed5deb5	DL_test	4	ga	ta	1	left	ga	1	998
61005ada2ffbf75efed5deb5	DL_test	5	ba	da	1	left	ba	1	1621
61005ada2ffbf75efed5deb5	DL_test	6	pa	da	1	right	da	1	757
61005ada2ffbf75efed5deb5	DL_test	7	ga	ba	1	right	ba	1	1389
61005ada2ffbf75efed5deb5	DL_test	8	pa	ka	1	right	ka	1	876
61005ada2ffbf75efed5deb5	DL_test	9	ka	ga	1	right	ga	1	755
61005ada2ffbf75efed5deb5	DL_test	10	ga	pa	1	left	ga	1	717
61005ada2ffbf75efed5deb5	DL_test	11	da	ka	1	left	da	1	994
61005ada2ffbf75efed5deb5	DL_test	12	ba	ta	1	right	ta	1	1098
61005ada2ffbf75efed5deb5	DL_test	13	da	pa	1	left	da	1	1269
61005ada2ffbf75efed5deb5	DL_test	14	ka	ba	1	right	ba	1	757
61005ada2ffbf75efed5deb5	DL_test	15	da	ta	1	left	da	1	781
61005ada2ffbf75efed5deb5	DL_test	16	da	ga	1	right	ga	1	720
61005ada2ffbf75efed5deb5	DL_test	17	ta	ta	0	left	ta	1	1139
61005ada2ffbf75efed5deb5	DL_test	18	pa	pa	0	left	pa	1	1007
61005ada2ffbf75efed5deb5	DL_test	19	ga	ka	1	left	ga	1	840
61005ada2ffbf75efed5deb5	DL_test	20	ta	pa	1	left	ta	1	1579
61005ada2ffbf75efed5deb5	DL_test	21	ba	pa	1	left	ba	1	1053
61005ada2ffbf75efed5deb5	DL_test	22	ga	ga	0	left	ga	1	851
61005ada2ffbf75efed5deb5	DL_test	23	pa	ba	1	right	ba	1	1516
61005ada2ffbf75efed5deb5	DL_test	24	ka	pa	1	left	ka	1	989
61005ada2ffbf75efed5deb5	DL_test	25	ka	ka	0	left	ka	1	136
61005ada2ffbf75efed5deb5	DL_test	26	da	ba	1	right	ba	1	1184
61005ada2ffbf75efed5deb5	DL_test	27	pa	ga	1	right	ga	1	1690
61005ada2ffbf75efed5deb5	DL_test	28	ga	da	1	right	da	1	2052
61005ada2ffbf75efed5deb5	DL_test	29	ba	ga	1	left	ba	1	1016
61005ada2ffbf75efed5deb5	DL_test	30	ba	ba	0	left	ba	1	908
61005ada2ffbf75efed5deb5	DL_test	31	ta	ba	1	other	da	0	1035
61005ada2ffbf75efed5deb5	DL_test	32	pa	ta	1	right	ta	1	1563
61005ada2ffbf75efed5deb5	DL_test	33	ba	ka	1	right	ka	1	989
61005ada2ffbf75efed5deb5	DL_test	34	ka	ta	1	left	ka	1	560
61005ada2ffbf75efed5deb5	DL_test	35	ta	ga	1	right	ga	1	839
61005ada2ffbf75efed5deb5	DL_test	36	ta	da	1	right	da	1	808
