subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6105758d070f9b350cea24ba	headphonecheck_testphase	3	NA	NA	0	NA	third	0	2558
6105758d070f9b350cea24ba	headphonecheck_testphase	6	NA	NA	0	NA	third	0	404
6105758d070f9b350cea24ba	headphonecheck_testphase	9	NA	NA	0	NA	first	0	892
6105758d070f9b350cea24ba	headphonecheck_testphase	12	NA	NA	0	NA	second	0	410
6105758d070f9b350cea24ba	headphonecheck_testphase	15	NA	NA	0	NA	second	0	213
6105758d070f9b350cea24ba	headphonecheck_testphase	18	NA	NA	0	NA	second	0	353
6105758d070f9b350cea24ba	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	0	128
6105758d070f9b350cea24ba	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	0	208
6105758d070f9b350cea24ba	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	0	170
6105758d070f9b350cea24ba	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	0	366
6105758d070f9b350cea24ba	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	0	196
6105758d070f9b350cea24ba	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	0	287
6105758d070f9b350cea24ba	DL_practice	2	pa	pa	0	left	pa	1	1599
6105758d070f9b350cea24ba	DL_practice	3	ka	ka	0	left	ka	1	924
6105758d070f9b350cea24ba	DL_practice	4	da	da	0	left	da	1	1382
6105758d070f9b350cea24ba	DL_practice	5	da	ba	1	left	da	1	1032
6105758d070f9b350cea24ba	DL_practice	6	ta	ta	0	left	ta	1	1657
6105758d070f9b350cea24ba	DL_practice	7	ba	ba	0	left	ba	1	1537
6105758d070f9b350cea24ba	DL_practice	8	ka	pa	1	left	ka	1	1054
6105758d070f9b350cea24ba	DL_practice	9	ga	ta	1	left	ga	1	974
6105758d070f9b350cea24ba	DL_practice	10	ga	ga	0	left	ga	1	707
6105758d070f9b350cea24ba	DL_test	1	pa	da	1	left	pa	1	2315
6105758d070f9b350cea24ba	DL_test	2	ga	ta	1	left	ga	1	1161
6105758d070f9b350cea24ba	DL_test	3	pa	ba	1	left	pa	1	1723
6105758d070f9b350cea24ba	DL_test	4	ka	ka	0	left	ka	1	671
6105758d070f9b350cea24ba	DL_test	5	ta	ba	1	left	ta	1	2062
6105758d070f9b350cea24ba	DL_test	6	da	ta	1	left	da	1	1812
6105758d070f9b350cea24ba	DL_test	7	ga	pa	1	left	ga	1	944
6105758d070f9b350cea24ba	DL_test	8	pa	ka	1	right	ka	1	1516
6105758d070f9b350cea24ba	DL_test	9	ka	ta	1	left	ka	1	728
6105758d070f9b350cea24ba	DL_test	10	ka	ba	1	other	ga	0	1027
6105758d070f9b350cea24ba	DL_test	11	pa	ga	1	other	ba	0	1869
6105758d070f9b350cea24ba	DL_test	12	ta	pa	1	left	ta	1	1302
6105758d070f9b350cea24ba	DL_test	13	ga	ga	0	left	ga	1	1027
6105758d070f9b350cea24ba	DL_test	14	ba	ta	1	other	ka	0	1769
6105758d070f9b350cea24ba	DL_test	15	pa	ta	1	right	ta	1	2133
6105758d070f9b350cea24ba	DL_test	16	ta	ka	1	right	ka	1	923
6105758d070f9b350cea24ba	DL_test	17	da	da	0	left	da	1	1120
6105758d070f9b350cea24ba	DL_test	18	ba	pa	1	right	pa	1	1306
6105758d070f9b350cea24ba	DL_test	19	ba	ga	1	other	da	0	1883
6105758d070f9b350cea24ba	DL_test	20	da	pa	1	other	ba	0	2337
6105758d070f9b350cea24ba	DL_test	21	ga	ba	1	other	ka	0	1190
6105758d070f9b350cea24ba	DL_test	22	ta	ga	1	right	ga	1	1049
6105758d070f9b350cea24ba	DL_test	23	ba	ka	1	right	ka	1	1102
6105758d070f9b350cea24ba	DL_test	24	ga	ka	1	left	ga	1	957
6105758d070f9b350cea24ba	DL_test	25	da	ga	1	right	ga	1	778
6105758d070f9b350cea24ba	DL_test	26	ka	pa	1	right	pa	1	2018
6105758d070f9b350cea24ba	DL_test	27	ba	ba	0	left	ba	1	1549
6105758d070f9b350cea24ba	DL_test	28	ta	da	1	right	da	1	2210
6105758d070f9b350cea24ba	DL_test	29	ka	ga	1	right	ga	1	1507
6105758d070f9b350cea24ba	DL_test	30	da	ba	1	left	da	1	1194
6105758d070f9b350cea24ba	DL_test	31	ka	da	1	left	ka	1	858
6105758d070f9b350cea24ba	DL_test	32	pa	pa	0	left	pa	1	1064
6105758d070f9b350cea24ba	DL_test	33	ba	da	1	right	da	1	1815
6105758d070f9b350cea24ba	DL_test	34	ta	ta	0	left	ta	1	1202
6105758d070f9b350cea24ba	DL_test	35	da	ka	1	other	pa	0	1228
6105758d070f9b350cea24ba	DL_test	36	ga	da	1	left	ga	1	1573
6105758d070f9b350cea24ba	DL_test	1	ba	ta	1	right	ta	1	2457
6105758d070f9b350cea24ba	DL_test	2	da	da	0	left	da	1	1186
6105758d070f9b350cea24ba	DL_test	3	ga	ka	1	right	ka	1	1052
6105758d070f9b350cea24ba	DL_test	4	da	pa	1	right	pa	1	794
6105758d070f9b350cea24ba	DL_test	5	ga	da	1	left	ga	1	806
6105758d070f9b350cea24ba	DL_test	6	pa	pa	0	left	pa	1	1512
6105758d070f9b350cea24ba	DL_test	7	ba	pa	1	right	pa	1	1931
6105758d070f9b350cea24ba	DL_test	8	pa	ba	1	left	pa	1	699
6105758d070f9b350cea24ba	DL_test	9	ka	ka	0	left	ka	1	928
6105758d070f9b350cea24ba	DL_test	10	ga	ba	1	left	ga	1	1877
