subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6108d6efa698e3dbe3b313d3	headphonecheck_testphase	3	NA	NA	0	NA	third	1	13674
6108d6efa698e3dbe3b313d3	headphonecheck_testphase	6	NA	NA	0	NA	first	1	1240
6108d6efa698e3dbe3b313d3	headphonecheck_testphase	9	NA	NA	0	NA	second	1	23104
6108d6efa698e3dbe3b313d3	headphonecheck_testphase	12	NA	NA	0	NA	third	1	514
6108d6efa698e3dbe3b313d3	headphonecheck_testphase	15	NA	NA	0	NA	second	1	4852
6108d6efa698e3dbe3b313d3	headphonecheck_testphase	18	NA	NA	0	NA	third	0	4165
6108d6efa698e3dbe3b313d3	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	376
6108d6efa698e3dbe3b313d3	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	378
6108d6efa698e3dbe3b313d3	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	319
6108d6efa698e3dbe3b313d3	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	334
6108d6efa698e3dbe3b313d3	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	76
6108d6efa698e3dbe3b313d3	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	404
6108d6efa698e3dbe3b313d3	DL_practice	2	da	da	0	left	da	1	1461
6108d6efa698e3dbe3b313d3	DL_practice	3	ga	ta	1	other	da	0	2711
6108d6efa698e3dbe3b313d3	DL_practice	4	ga	ga	0	other	ka	0	1994
6108d6efa698e3dbe3b313d3	DL_practice	5	ba	ba	0	other	pa	0	2534
6108d6efa698e3dbe3b313d3	DL_practice	6	ka	ka	0	left	ka	1	1206
6108d6efa698e3dbe3b313d3	DL_practice	7	ta	ta	0	left	ta	1	2212
6108d6efa698e3dbe3b313d3	DL_practice	8	da	ba	1	other	ta	0	5601
6108d6efa698e3dbe3b313d3	DL_practice	9	ka	pa	1	other	ba	0	305
6108d6efa698e3dbe3b313d3	DL_practice	10	pa	pa	0	left	pa	1	1576
6108d6efa698e3dbe3b313d3	DL_test	1	ka	ta	1	left	ka	1	1817
6108d6efa698e3dbe3b313d3	DL_test	2	ta	ka	1	right	ka	1	1926
6108d6efa698e3dbe3b313d3	DL_test	3	pa	ga	1	other	da	0	2592
6108d6efa698e3dbe3b313d3	DL_test	4	ba	ga	1	right	ga	1	2044
6108d6efa698e3dbe3b313d3	DL_test	5	ta	ba	1	other	pa	0	1827
6108d6efa698e3dbe3b313d3	DL_test	6	ga	ta	1	other	da	0	3813
6108d6efa698e3dbe3b313d3	DL_test	7	ga	ga	0	left	ga	1	1800
6108d6efa698e3dbe3b313d3	DL_test	8	ga	da	1	right	da	1	2243
6108d6efa698e3dbe3b313d3	DL_test	9	da	pa	1	right	pa	1	1480
6108d6efa698e3dbe3b313d3	DL_test	10	pa	da	1	right	da	1	2651
6108d6efa698e3dbe3b313d3	DL_test	11	ba	ta	1	other	ka	0	1565
6108d6efa698e3dbe3b313d3	DL_test	12	ba	da	1	right	da	1	1478
6108d6efa698e3dbe3b313d3	DL_test	13	pa	ta	1	other	ka	0	2554
6108d6efa698e3dbe3b313d3	DL_test	14	pa	pa	0	left	pa	1	1433
6108d6efa698e3dbe3b313d3	DL_test	15	pa	ba	1	left	pa	1	1168
6108d6efa698e3dbe3b313d3	DL_test	16	ga	ba	1	other	pa	0	1161
6108d6efa698e3dbe3b313d3	DL_test	17	ta	ta	0	left	ta	1	1636
6108d6efa698e3dbe3b313d3	DL_test	18	da	ga	1	left	da	1	1421
