subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
610acf76d33d448b391eb588	headphonecheck_testphase	3	NA	NA	0	NA	third	1	2223
610acf76d33d448b391eb588	headphonecheck_testphase	6	NA	NA	0	NA	third	1	1775
610acf76d33d448b391eb588	headphonecheck_testphase	9	NA	NA	0	NA	second	1	519
610acf76d33d448b391eb588	headphonecheck_testphase	12	NA	NA	0	NA	first	1	663
610acf76d33d448b391eb588	headphonecheck_testphase	15	NA	NA	0	NA	second	1	1016
610acf76d33d448b391eb588	headphonecheck_testphase	18	NA	NA	0	NA	first	1	424
610acf76d33d448b391eb588	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	431
610acf76d33d448b391eb588	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	506
610acf76d33d448b391eb588	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	349
610acf76d33d448b391eb588	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	351
610acf76d33d448b391eb588	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	416
610acf76d33d448b391eb588	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	462
610acf76d33d448b391eb588	DL_practice	2	ba	ba	0	left	ba	1	1380
610acf76d33d448b391eb588	DL_practice	3	ka	pa	1	left	ka	1	1637
610acf76d33d448b391eb588	DL_practice	4	da	ba	1	left	da	1	1021
610acf76d33d448b391eb588	DL_practice	5	pa	pa	0	left	pa	1	894
610acf76d33d448b391eb588	DL_practice	6	ta	ta	0	other	ka	0	1095
610acf76d33d448b391eb588	DL_practice	7	ga	ta	1	left	ga	1	612
610acf76d33d448b391eb588	DL_practice	8	ka	ka	0	left	ka	1	1160
610acf76d33d448b391eb588	DL_practice	9	da	da	0	left	da	1	921
610acf76d33d448b391eb588	DL_practice	10	ga	ga	0	left	ga	1	969
610acf76d33d448b391eb588	DL_test	1	ga	ba	1	right	ba	1	1177
610acf76d33d448b391eb588	DL_test	2	ka	ta	1	left	ka	1	802
610acf76d33d448b391eb588	DL_test	3	da	ba	1	left	da	1	1458
610acf76d33d448b391eb588	DL_test	4	ka	ba	1	right	ba	1	1054
