subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
611409d13bdb227076c9426b	headphonecheck_testphase	3	NA	NA	0	NA	third	1	4230
611409d13bdb227076c9426b	headphonecheck_testphase	6	NA	NA	0	NA	first	1	495
611409d13bdb227076c9426b	headphonecheck_testphase	9	NA	NA	0	NA	second	0	421
611409d13bdb227076c9426b	headphonecheck_testphase	12	NA	NA	0	NA	third	0	312
611409d13bdb227076c9426b	headphonecheck_testphase	15	NA	NA	0	NA	first	0	370
611409d13bdb227076c9426b	headphonecheck_testphase	18	NA	NA	0	NA	third	0	719
611409d13bdb227076c9426b	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	204
611409d13bdb227076c9426b	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	410
611409d13bdb227076c9426b	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	362
611409d13bdb227076c9426b	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	316
611409d13bdb227076c9426b	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	367
611409d13bdb227076c9426b	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	341
611409d13bdb227076c9426b	DL_practice	2	ba	ba	0	left	ba	1	1045
611409d13bdb227076c9426b	DL_practice	3	ga	ta	1	other	da	0	1319
611409d13bdb227076c9426b	DL_practice	4	pa	pa	0	left	pa	1	1486
611409d13bdb227076c9426b	DL_practice	5	ga	ga	0	left	ga	1	1386
611409d13bdb227076c9426b	DL_practice	6	da	ba	1	right	ba	1	1312
611409d13bdb227076c9426b	DL_practice	7	ka	pa	1	right	pa	1	1315
611409d13bdb227076c9426b	DL_practice	8	ka	ka	0	left	ka	1	1014
611409d13bdb227076c9426b	DL_practice	9	da	da	0	left	da	1	1125
611409d13bdb227076c9426b	DL_practice	10	ta	ta	0	left	ta	1	1043
611409d13bdb227076c9426b	DL_test	1	da	ka	1	left	da	1	1092
611409d13bdb227076c9426b	DL_test	2	da	pa	1	left	da	1	852
611409d13bdb227076c9426b	DL_test	3	pa	da	1	right	da	1	947
611409d13bdb227076c9426b	DL_test	4	ba	da	1	right	da	1	1609
611409d13bdb227076c9426b	DL_test	5	ka	pa	1	left	ka	1	999
611409d13bdb227076c9426b	DL_test	6	pa	ba	1	right	ba	1	1212
611409d13bdb227076c9426b	DL_test	7	pa	pa	0	left	pa	1	728
611409d13bdb227076c9426b	DL_test	8	ba	ta	1	other	da	0	2084
