subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6129cc7a565c9c03752802fa	headphonecheck_testphase	3	NA	NA	0	NA	third	1	272
6129cc7a565c9c03752802fa	headphonecheck_testphase	6	NA	NA	0	NA	first	1	4461
6129cc7a565c9c03752802fa	headphonecheck_testphase	9	NA	NA	0	NA	second	1	606
6129cc7a565c9c03752802fa	headphonecheck_testphase	12	NA	NA	0	NA	third	1	186
6129cc7a565c9c03752802fa	headphonecheck_testphase	15	NA	NA	0	NA	first	1	442
6129cc7a565c9c03752802fa	headphonecheck_testphase	18	NA	NA	0	NA	second	1	1029
6129cc7a565c9c03752802fa	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	0	29959
6129cc7a565c9c03752802fa	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	0	646
6129cc7a565c9c03752802fa	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	0	253
6129cc7a565c9c03752802fa	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	0	3090
6129cc7a565c9c03752802fa	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	0	395
6129cc7a565c9c03752802fa	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	0	327
6129cc7a565c9c03752802fa	DL_practice	2	pa	pa	0	left	pa	1	1036
6129cc7a565c9c03752802fa	DL_practice	3	ba	ba	0	left	ba	1	1003
6129cc7a565c9c03752802fa	DL_practice	4	ga	ta	1	other	da	0	642
6129cc7a565c9c03752802fa	DL_practice	5	ka	ka	0	other	ta	0	117
6129cc7a565c9c03752802fa	DL_practice	6	da	ba	1	right	ba	1	1581
6129cc7a565c9c03752802fa	DL_practice	7	ga	ga	0	left	ga	1	540
6129cc7a565c9c03752802fa	DL_practice	8	ka	pa	1	right	pa	1	1006
6129cc7a565c9c03752802fa	DL_practice	9	ta	ta	0	left	ta	1	807
6129cc7a565c9c03752802fa	DL_practice	10	da	da	0	other	ga	0	1060
6129cc7a565c9c03752802fa	DL_test	1	pa	ba	1	right	ba	1	945
6129cc7a565c9c03752802fa	DL_test	2	da	ba	1	right	ba	1	637
6129cc7a565c9c03752802fa	DL_test	3	ka	da	1	right	da	1	580
6129cc7a565c9c03752802fa	DL_test	4	ta	ka	1	right	ka	1	832
6129cc7a565c9c03752802fa	DL_test	5	ga	ga	0	left	ga	1	790
6129cc7a565c9c03752802fa	DL_test	6	pa	da	1	right	da	1	1613
6129cc7a565c9c03752802fa	DL_test	7	ga	da	1	right	da	1	478
6129cc7a565c9c03752802fa	DL_test	8	ba	ba	0	left	ba	1	1141
6129cc7a565c9c03752802fa	DL_test	9	da	da	0	left	da	1	677
6129cc7a565c9c03752802fa	DL_test	10	ka	ka	0	left	ka	1	768
6129cc7a565c9c03752802fa	DL_test	11	ba	ka	1	right	ka	1	424
6129cc7a565c9c03752802fa	DL_test	12	ka	ta	1	right	ta	1	999
6129cc7a565c9c03752802fa	DL_test	13	ka	pa	1	right	pa	1	736
6129cc7a565c9c03752802fa	DL_test	14	ka	ba	1	right	ba	1	1081
6129cc7a565c9c03752802fa	DL_test	15	ga	ta	1	right	ta	1	1178
6129cc7a565c9c03752802fa	DL_test	16	ba	ga	1	right	ga	1	746
6129cc7a565c9c03752802fa	DL_test	17	da	ka	1	other	pa	0	834
6129cc7a565c9c03752802fa	DL_test	18	da	pa	1	right	pa	1	748
6129cc7a565c9c03752802fa	DL_test	19	ga	ba	1	right	ba	1	1032
6129cc7a565c9c03752802fa	DL_test	20	pa	ta	1	right	ta	1	922
6129cc7a565c9c03752802fa	DL_test	21	ta	pa	1	right	pa	1	740
6129cc7a565c9c03752802fa	DL_test	22	ba	da	1	right	da	1	957
6129cc7a565c9c03752802fa	DL_test	23	pa	ga	1	right	ga	1	1004
6129cc7a565c9c03752802fa	DL_test	24	da	ta	1	right	ta	1	848
6129cc7a565c9c03752802fa	DL_test	25	ta	ga	1	right	ga	1	863
6129cc7a565c9c03752802fa	DL_test	26	ga	ka	1	right	ka	1	679
6129cc7a565c9c03752802fa	DL_test	27	da	ga	1	right	ga	1	1108
6129cc7a565c9c03752802fa	DL_test	28	ba	pa	1	right	pa	1	1116
6129cc7a565c9c03752802fa	DL_test	29	ka	ga	1	right	ga	1	678
6129cc7a565c9c03752802fa	DL_test	30	ga	pa	1	right	pa	1	882
6129cc7a565c9c03752802fa	DL_test	31	pa	ka	1	right	ka	1	688
6129cc7a565c9c03752802fa	DL_test	32	ta	ba	1	right	ba	1	904
6129cc7a565c9c03752802fa	DL_test	33	ta	da	1	right	da	1	513
6129cc7a565c9c03752802fa	DL_test	34	ba	ta	1	right	ta	1	1010
6129cc7a565c9c03752802fa	DL_test	35	ta	ta	0	left	ta	1	457
6129cc7a565c9c03752802fa	DL_test	36	pa	pa	0	left	pa	1	896
6129cc7a565c9c03752802fa	DL_test	1	da	ga	1	right	ga	1	812
6129cc7a565c9c03752802fa	DL_test	2	ba	ba	0	left	ba	1	1579
6129cc7a565c9c03752802fa	DL_test	3	ka	da	1	right	da	1	831
6129cc7a565c9c03752802fa	DL_test	4	pa	ta	1	right	ta	1	1460
6129cc7a565c9c03752802fa	DL_test	5	ba	ta	1	right	ta	1	1254
6129cc7a565c9c03752802fa	DL_test	6	da	da	0	left	da	1	1385
6129cc7a565c9c03752802fa	DL_test	7	ka	ka	0	left	ka	1	841
6129cc7a565c9c03752802fa	DL_test	8	ka	ga	1	right	ga	1	1051
6129cc7a565c9c03752802fa	DL_test	9	ga	da	1	right	da	1	1205
6129cc7a565c9c03752802fa	DL_test	10	da	ta	1	right	ta	1	1195
6129cc7a565c9c03752802fa	DL_test	11	ga	ga	0	left	ga	1	890
6129cc7a565c9c03752802fa	DL_test	12	ta	ka	1	right	ka	1	794
6129cc7a565c9c03752802fa	DL_test	13	ka	ta	1	right	ta	1	1256
6129cc7a565c9c03752802fa	DL_test	14	pa	ba	1	right	ba	1	823
6129cc7a565c9c03752802fa	DL_test	15	ta	ga	1	right	ga	1	637
6129cc7a565c9c03752802fa	DL_test	16	ba	da	1	right	da	1	1180
6129cc7a565c9c03752802fa	DL_test	17	ta	pa	1	other	ba	0	1607
6129cc7a565c9c03752802fa	DL_test	18	ba	ka	1	right	ka	1	699
6129cc7a565c9c03752802fa	DL_test	19	ga	ta	1	right	ta	1	812
6129cc7a565c9c03752802fa	DL_test	20	pa	ga	1	right	ga	1	793
6129cc7a565c9c03752802fa	DL_test	21	da	ba	1	right	ba	1	865
6129cc7a565c9c03752802fa	DL_test	22	ta	da	1	right	da	1	1068
6129cc7a565c9c03752802fa	DL_test	23	ka	pa	1	right	pa	1	985
6129cc7a565c9c03752802fa	DL_test	24	pa	da	1	right	da	1	1038
6129cc7a565c9c03752802fa	DL_test	25	ga	ba	1	right	ba	1	801
6129cc7a565c9c03752802fa	DL_test	26	ka	ba	1	right	ba	1	486
