subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
613b94b83b5cb4c72904f8b3	headphonecheck_testphase	3	NA	NA	0	NA	first	1	20495
613b94b83b5cb4c72904f8b3	headphonecheck_testphase	6	NA	NA	0	NA	second	1	701
613b94b83b5cb4c72904f8b3	headphonecheck_testphase	9	NA	NA	0	NA	second	1	907
613b94b83b5cb4c72904f8b3	headphonecheck_testphase	12	NA	NA	0	NA	third	1	208
613b94b83b5cb4c72904f8b3	headphonecheck_testphase	15	NA	NA	0	NA	third	1	274
613b94b83b5cb4c72904f8b3	headphonecheck_testphase	18	NA	NA	0	NA	second	0	381
613b94b83b5cb4c72904f8b3	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	0	3225
613b94b83b5cb4c72904f8b3	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	0	1918
613b94b83b5cb4c72904f8b3	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	0	1228
613b94b83b5cb4c72904f8b3	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	0	943
613b94b83b5cb4c72904f8b3	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	521
613b94b83b5cb4c72904f8b3	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	254
613b94b83b5cb4c72904f8b3	DL_practice	2	ga	ga	0	left	ga	1	1200
613b94b83b5cb4c72904f8b3	DL_practice	3	ka	pa	1	left	ka	1	1303
613b94b83b5cb4c72904f8b3	DL_practice	4	da	da	0	left	da	1	1301
613b94b83b5cb4c72904f8b3	DL_practice	5	ka	ka	0	left	ka	1	1167
613b94b83b5cb4c72904f8b3	DL_practice	6	ba	ba	0	left	ba	1	1274
613b94b83b5cb4c72904f8b3	DL_practice	7	ta	ta	0	other	ka	0	1514
613b94b83b5cb4c72904f8b3	DL_practice	8	ga	ta	1	left	ga	1	1175
613b94b83b5cb4c72904f8b3	DL_practice	9	da	ba	1	right	ba	1	1055
613b94b83b5cb4c72904f8b3	DL_practice	10	pa	pa	0	left	pa	1	1243
613b94b83b5cb4c72904f8b3	DL_test	1	ta	ta	0	left	ta	1	1497
613b94b83b5cb4c72904f8b3	DL_test	2	da	ta	1	left	da	1	1252
613b94b83b5cb4c72904f8b3	DL_test	3	pa	ga	1	right	ga	1	793
613b94b83b5cb4c72904f8b3	DL_test	4	da	ba	1	right	ba	1	1056
613b94b83b5cb4c72904f8b3	DL_test	5	ta	pa	1	right	pa	1	1257
613b94b83b5cb4c72904f8b3	DL_test	6	pa	da	1	right	da	1	1227
613b94b83b5cb4c72904f8b3	DL_test	7	ka	ba	1	right	ba	1	1027
613b94b83b5cb4c72904f8b3	DL_test	8	ga	da	1	left	ga	1	872
613b94b83b5cb4c72904f8b3	DL_test	9	ka	ka	0	left	ka	1	805
613b94b83b5cb4c72904f8b3	DL_test	10	ba	ga	1	left	ba	1	909
613b94b83b5cb4c72904f8b3	DL_test	11	ta	ga	1	right	ga	1	755
613b94b83b5cb4c72904f8b3	DL_test	12	da	ka	1	other	ba	0	928
613b94b83b5cb4c72904f8b3	DL_test	13	ka	pa	1	right	pa	1	1334
613b94b83b5cb4c72904f8b3	DL_test	14	ka	ga	1	right	ga	1	937
613b94b83b5cb4c72904f8b3	DL_test	15	ta	da	1	right	da	1	1122
613b94b83b5cb4c72904f8b3	DL_test	16	da	ga	1	right	ga	1	1175
613b94b83b5cb4c72904f8b3	DL_test	17	ka	ta	1	left	ka	1	988
613b94b83b5cb4c72904f8b3	DL_test	18	pa	ka	1	right	ka	1	920
613b94b83b5cb4c72904f8b3	DL_test	19	pa	pa	0	left	pa	1	855
613b94b83b5cb4c72904f8b3	DL_test	20	ba	ta	1	left	ba	1	1184
613b94b83b5cb4c72904f8b3	DL_test	21	ba	pa	1	left	ba	1	837
613b94b83b5cb4c72904f8b3	DL_test	22	pa	ta	1	right	ta	1	1273
613b94b83b5cb4c72904f8b3	DL_test	23	ba	da	1	left	ba	1	1006
613b94b83b5cb4c72904f8b3	DL_test	24	ba	ba	0	left	ba	1	836
613b94b83b5cb4c72904f8b3	DL_test	25	ga	ga	0	left	ga	1	940
613b94b83b5cb4c72904f8b3	DL_test	26	da	pa	1	other	ga	0	944
613b94b83b5cb4c72904f8b3	DL_test	27	da	da	0	left	da	1	823
613b94b83b5cb4c72904f8b3	DL_test	28	ta	ka	1	right	ka	1	1513
613b94b83b5cb4c72904f8b3	DL_test	29	ta	ba	1	right	ba	1	1117
613b94b83b5cb4c72904f8b3	DL_test	30	ga	ka	1	left	ga	1	794
613b94b83b5cb4c72904f8b3	DL_test	31	ka	da	1	right	da	1	1039
613b94b83b5cb4c72904f8b3	DL_test	32	ga	ba	1	other	ta	0	1193
613b94b83b5cb4c72904f8b3	DL_test	33	ga	ta	1	left	ga	1	1140
613b94b83b5cb4c72904f8b3	DL_test	34	ba	ka	1	left	ba	1	1172
