subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6290d930eb8f73a88e290de6	headphonecheck_testphase	3	NA	NA	0	NA	second	1	760
6290d930eb8f73a88e290de6	headphonecheck_testphase	6	NA	NA	0	NA	first	1	254
6290d930eb8f73a88e290de6	headphonecheck_testphase	9	NA	NA	0	NA	first	1	297
6290d930eb8f73a88e290de6	headphonecheck_testphase	12	NA	NA	0	NA	third	1	206
6290d930eb8f73a88e290de6	headphonecheck_testphase	15	NA	NA	0	NA	third	1	245
6290d930eb8f73a88e290de6	headphonecheck_testphase	18	NA	NA	0	NA	second	1	217
6290d930eb8f73a88e290de6	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	484
6290d930eb8f73a88e290de6	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	150
6290d930eb8f73a88e290de6	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	225
6290d930eb8f73a88e290de6	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	164
6290d930eb8f73a88e290de6	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	169
6290d930eb8f73a88e290de6	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	220
6290d930eb8f73a88e290de6	DL_practice	2	pa	pa	0	left	pa	1	1665
6290d930eb8f73a88e290de6	DL_practice	3	ta	ta	0	left	ta	1	817
6290d930eb8f73a88e290de6	DL_practice	4	da	ba	1	other	ga	0	3998
6290d930eb8f73a88e290de6	DL_practice	5	ka	ka	0	left	ka	1	778
6290d930eb8f73a88e290de6	DL_practice	6	ga	ta	1	other	ka	0	2166
6290d930eb8f73a88e290de6	DL_practice	7	ka	pa	1	left	ka	1	1577
6290d930eb8f73a88e290de6	DL_practice	8	ga	ga	0	left	ga	1	1019
6290d930eb8f73a88e290de6	DL_practice	9	da	da	0	left	da	1	1116
6290d930eb8f73a88e290de6	DL_practice	10	ba	ba	0	left	ba	1	1946
6290d930eb8f73a88e290de6	DL_test	1	ga	ta	1	other	ka	0	1245
6290d930eb8f73a88e290de6	DL_test	2	pa	ka	1	right	ka	1	914
6290d930eb8f73a88e290de6	DL_test	3	ga	ga	0	left	ga	1	1349
6290d930eb8f73a88e290de6	DL_test	4	ba	da	1	right	da	1	1085
6290d930eb8f73a88e290de6	DL_test	5	pa	pa	0	left	pa	1	939
6290d930eb8f73a88e290de6	DL_test	6	ta	ta	0	left	ta	1	1282
6290d930eb8f73a88e290de6	DL_test	7	ta	ga	1	right	ga	1	2752
6290d930eb8f73a88e290de6	DL_test	8	da	da	0	left	da	1	1014
6290d930eb8f73a88e290de6	DL_test	9	ka	ta	1	left	ka	1	1171
6290d930eb8f73a88e290de6	DL_test	10	ba	ga	1	right	ga	1	1170
6290d930eb8f73a88e290de6	DL_test	11	ba	pa	1	right	pa	1	1021
6290d930eb8f73a88e290de6	DL_test	12	ta	ka	1	right	ka	1	763
6290d930eb8f73a88e290de6	DL_test	13	da	ba	1	left	da	1	1218
6290d930eb8f73a88e290de6	DL_test	14	ga	ka	1	right	ka	1	905
6290d930eb8f73a88e290de6	DL_test	15	pa	ba	1	left	pa	1	1654
6290d930eb8f73a88e290de6	DL_test	16	da	ta	1	right	ta	1	900
