subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
62a2648755dec7ce4164f875	headphonecheck_testphase	3	NA	NA	0	NA	third	0	1327
62a2648755dec7ce4164f875	headphonecheck_testphase	6	NA	NA	0	NA	second	0	535
62a2648755dec7ce4164f875	headphonecheck_testphase	9	NA	NA	0	NA	second	0	468
62a2648755dec7ce4164f875	headphonecheck_testphase	12	NA	NA	0	NA	first	0	402
62a2648755dec7ce4164f875	headphonecheck_testphase	15	NA	NA	0	NA	first	0	6260
62a2648755dec7ce4164f875	headphonecheck_testphase	18	NA	NA	0	NA	third	0	344
62a2648755dec7ce4164f875	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	88944
62a2648755dec7ce4164f875	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	544
62a2648755dec7ce4164f875	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	361
62a2648755dec7ce4164f875	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	344
62a2648755dec7ce4164f875	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	452
62a2648755dec7ce4164f875	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	310
62a2648755dec7ce4164f875	DL_practice	2	ka	ka	0	left	ka	1	1118
62a2648755dec7ce4164f875	DL_practice	3	da	da	0	left	da	1	1278
62a2648755dec7ce4164f875	DL_practice	4	ga	ga	0	left	ga	1	927
62a2648755dec7ce4164f875	DL_practice	5	da	ba	1	left	da	1	1936
62a2648755dec7ce4164f875	DL_practice	6	ba	ba	0	left	ba	1	1410
62a2648755dec7ce4164f875	DL_practice	7	ga	ta	1	right	ta	1	2660
62a2648755dec7ce4164f875	DL_practice	8	ka	pa	1	other	ta	0	1593
62a2648755dec7ce4164f875	DL_practice	9	ta	ta	0	left	ta	1	702
62a2648755dec7ce4164f875	DL_practice	10	pa	pa	0	left	pa	1	852
62a2648755dec7ce4164f875	DL_test	1	da	da	0	left	da	1	1466
62a2648755dec7ce4164f875	DL_test	2	ka	ga	1	left	ka	1	1019
62a2648755dec7ce4164f875	DL_test	3	ka	pa	1	right	pa	1	768
62a2648755dec7ce4164f875	DL_test	4	ta	da	1	left	ta	1	919
62a2648755dec7ce4164f875	DL_test	5	da	ka	1	left	da	1	1085
62a2648755dec7ce4164f875	DL_test	6	da	ga	1	left	da	1	761
62a2648755dec7ce4164f875	DL_test	7	ga	ga	0	left	ga	1	543
62a2648755dec7ce4164f875	DL_test	8	ba	ta	1	right	ta	1	1344
62a2648755dec7ce4164f875	DL_test	9	ka	da	1	left	ka	1	1269
62a2648755dec7ce4164f875	DL_test	10	ta	ga	1	left	ta	1	1210
62a2648755dec7ce4164f875	DL_test	11	pa	pa	0	left	pa	1	810
62a2648755dec7ce4164f875	DL_test	12	ka	ka	0	left	ka	1	1002
62a2648755dec7ce4164f875	DL_test	13	da	pa	1	left	da	1	1203
62a2648755dec7ce4164f875	DL_test	14	pa	ta	1	right	ta	1	1194
62a2648755dec7ce4164f875	DL_test	15	ga	pa	1	other	da	0	1085
62a2648755dec7ce4164f875	DL_test	16	da	ba	1	right	ba	1	1094
62a2648755dec7ce4164f875	DL_test	17	ga	ta	1	right	ta	1	1927
62a2648755dec7ce4164f875	DL_test	18	ba	ga	1	right	ga	1	868
62a2648755dec7ce4164f875	DL_test	19	da	ta	1	right	ta	1	835
