subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
62bc3401dc67c7598dbba4a6	headphonecheck_testphase	3	NA	NA	0	NA	second	1	4885
62bc3401dc67c7598dbba4a6	headphonecheck_testphase	6	NA	NA	0	NA	first	1	1153
62bc3401dc67c7598dbba4a6	headphonecheck_testphase	9	NA	NA	0	NA	third	1	150
62bc3401dc67c7598dbba4a6	headphonecheck_testphase	12	NA	NA	0	NA	third	1	111
62bc3401dc67c7598dbba4a6	headphonecheck_testphase	15	NA	NA	0	NA	second	1	167
62bc3401dc67c7598dbba4a6	headphonecheck_testphase	18	NA	NA	0	NA	first	1	0
62bc3401dc67c7598dbba4a6	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	0	85
62bc3401dc67c7598dbba4a6	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	0	1182
62bc3401dc67c7598dbba4a6	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	0	78
62bc3401dc67c7598dbba4a6	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	0	96
62bc3401dc67c7598dbba4a6	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	0	80
62bc3401dc67c7598dbba4a6	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	0	73
62bc3401dc67c7598dbba4a6	DL_practice	2	ta	ta	0	left	ta	1	1052
62bc3401dc67c7598dbba4a6	DL_practice	3	ka	pa	1	other	ta	0	711
62bc3401dc67c7598dbba4a6	DL_practice	4	da	ba	1	other	ga	0	824
62bc3401dc67c7598dbba4a6	DL_practice	5	ga	ta	1	left	ga	1	621
62bc3401dc67c7598dbba4a6	DL_practice	6	pa	pa	0	left	pa	1	832
62bc3401dc67c7598dbba4a6	DL_practice	7	ga	ga	0	left	ga	1	709
62bc3401dc67c7598dbba4a6	DL_practice	8	ba	ba	0	left	ba	1	1751
62bc3401dc67c7598dbba4a6	DL_practice	9	da	da	0	left	da	1	621
62bc3401dc67c7598dbba4a6	DL_practice	10	ka	ka	0	left	ka	1	961
62bc3401dc67c7598dbba4a6	DL_test	1	ba	ba	0	left	ba	1	1424
62bc3401dc67c7598dbba4a6	DL_test	2	ga	ba	1	right	ba	1	660
62bc3401dc67c7598dbba4a6	DL_test	3	ba	da	1	right	da	1	936
62bc3401dc67c7598dbba4a6	DL_test	4	ba	ka	1	right	ka	1	1079
62bc3401dc67c7598dbba4a6	DL_test	5	pa	ka	1	left	pa	1	985
62bc3401dc67c7598dbba4a6	DL_test	6	ta	ta	0	left	ta	1	943
62bc3401dc67c7598dbba4a6	DL_test	7	ka	pa	1	left	ka	1	1358
62bc3401dc67c7598dbba4a6	DL_test	8	ta	ka	1	right	ka	1	725
62bc3401dc67c7598dbba4a6	DL_test	9	ba	pa	1	right	pa	1	599
62bc3401dc67c7598dbba4a6	DL_test	10	da	ta	1	left	da	1	659
62bc3401dc67c7598dbba4a6	DL_test	11	ga	ta	1	left	ga	1	1061
62bc3401dc67c7598dbba4a6	DL_test	12	ka	ga	1	left	ka	1	768
62bc3401dc67c7598dbba4a6	DL_test	13	ga	ga	0	left	ga	1	511
62bc3401dc67c7598dbba4a6	DL_test	14	da	ka	1	other	pa	0	817
62bc3401dc67c7598dbba4a6	DL_test	15	da	ba	1	left	da	1	1210
62bc3401dc67c7598dbba4a6	DL_test	16	ka	ka	0	left	ka	1	1167
62bc3401dc67c7598dbba4a6	DL_test	17	ka	ba	1	left	ka	1	734
62bc3401dc67c7598dbba4a6	DL_test	18	pa	ba	1	left	pa	1	838
62bc3401dc67c7598dbba4a6	DL_test	19	pa	da	1	left	pa	1	994
62bc3401dc67c7598dbba4a6	DL_test	20	pa	ga	1	left	pa	1	664
62bc3401dc67c7598dbba4a6	DL_test	21	ta	pa	1	left	ta	1	747
62bc3401dc67c7598dbba4a6	DL_test	22	ka	da	1	left	ka	1	1490
62bc3401dc67c7598dbba4a6	DL_test	23	ta	da	1	left	ta	1	1499
62bc3401dc67c7598dbba4a6	DL_test	24	da	pa	1	other	ta	0	955
62bc3401dc67c7598dbba4a6	DL_test	25	da	ga	1	right	ga	1	921
62bc3401dc67c7598dbba4a6	DL_test	26	ka	ta	1	left	ka	1	2608
62bc3401dc67c7598dbba4a6	DL_test	27	da	da	0	left	da	1	1180
62bc3401dc67c7598dbba4a6	DL_test	28	ba	ga	1	left	ba	1	1370
62bc3401dc67c7598dbba4a6	DL_test	29	pa	pa	0	left	pa	1	1512
62bc3401dc67c7598dbba4a6	DL_test	30	ga	da	1	left	ga	1	817
62bc3401dc67c7598dbba4a6	DL_test	31	ta	ga	1	other	ka	0	1196
