subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
62c0ccde4bd16c7f96a2959f	headphonecheck_testphase	3	NA	NA	0	NA	first	0	143
62c0ccde4bd16c7f96a2959f	headphonecheck_testphase	6	NA	NA	0	NA	second	0	133
62c0ccde4bd16c7f96a2959f	headphonecheck_testphase	9	NA	NA	0	NA	third	1	90
62c0ccde4bd16c7f96a2959f	headphonecheck_testphase	12	NA	NA	0	NA	first	0	91
62c0ccde4bd16c7f96a2959f	headphonecheck_testphase	15	NA	NA	0	NA	second	1	13827
62c0ccde4bd16c7f96a2959f	headphonecheck_testphase	18	NA	NA	0	NA	third	0	101
62c0ccde4bd16c7f96a2959f	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	0	195
62c0ccde4bd16c7f96a2959f	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	7892
62c0ccde4bd16c7f96a2959f	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	0	236
62c0ccde4bd16c7f96a2959f	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	0	126
62c0ccde4bd16c7f96a2959f	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	0	173
62c0ccde4bd16c7f96a2959f	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	0	182
62c0ccde4bd16c7f96a2959f	DL_practice	2	pa	pa	0	left	pa	1	996
62c0ccde4bd16c7f96a2959f	DL_practice	3	ka	ka	0	left	ka	1	647
62c0ccde4bd16c7f96a2959f	DL_practice	4	da	ba	1	other	ga	0	1085
62c0ccde4bd16c7f96a2959f	DL_practice	5	ba	ba	0	other	ga	0	911
62c0ccde4bd16c7f96a2959f	DL_practice	6	da	da	0	left	da	1	784
62c0ccde4bd16c7f96a2959f	DL_practice	7	ta	ta	0	left	ta	1	1190
62c0ccde4bd16c7f96a2959f	DL_practice	8	ga	ta	1	other	da	0	1242
62c0ccde4bd16c7f96a2959f	DL_practice	9	ga	ga	0	other	da	0	1278
62c0ccde4bd16c7f96a2959f	DL_practice	10	ka	pa	1	other	ta	0	1185
62c0ccde4bd16c7f96a2959f	DL_test	1	pa	ga	1	right	ga	1	1997
62c0ccde4bd16c7f96a2959f	DL_test	2	ga	ba	1	left	ga	1	1025
62c0ccde4bd16c7f96a2959f	DL_test	3	ka	ga	1	left	ka	1	999
62c0ccde4bd16c7f96a2959f	DL_test	4	pa	ka	1	right	ka	1	1203
