subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
62fb7a1e911792cb94b547c6	headphonecheck_testphase	3	NA	NA	0	NA	third	1	1252
62fb7a1e911792cb94b547c6	headphonecheck_testphase	6	NA	NA	0	NA	second	1	496
62fb7a1e911792cb94b547c6	headphonecheck_testphase	9	NA	NA	0	NA	third	1	243
62fb7a1e911792cb94b547c6	headphonecheck_testphase	12	NA	NA	0	NA	first	1	332
62fb7a1e911792cb94b547c6	headphonecheck_testphase	15	NA	NA	0	NA	first	1	864
62fb7a1e911792cb94b547c6	headphonecheck_testphase	18	NA	NA	0	NA	second	1	156
62fb7a1e911792cb94b547c6	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1352
62fb7a1e911792cb94b547c6	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	0	1345
62fb7a1e911792cb94b547c6	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	851
62fb7a1e911792cb94b547c6	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	0	1013
62fb7a1e911792cb94b547c6	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	454
62fb7a1e911792cb94b547c6	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	441
62fb7a1e911792cb94b547c6	DL_practice	2	ga	ta	1	other	ka	0	2706
62fb7a1e911792cb94b547c6	DL_practice	3	pa	pa	0	left	pa	1	2401
62fb7a1e911792cb94b547c6	DL_practice	4	da	da	0	left	da	1	2002
62fb7a1e911792cb94b547c6	DL_practice	5	ka	pa	1	left	ka	1	2513
62fb7a1e911792cb94b547c6	DL_practice	6	ba	ba	0	left	ba	1	2494
62fb7a1e911792cb94b547c6	DL_practice	7	da	ba	1	left	da	1	2196
62fb7a1e911792cb94b547c6	DL_practice	8	ga	ga	0	left	ga	1	2439
62fb7a1e911792cb94b547c6	DL_practice	9	ka	ka	0	left	ka	1	1993
62fb7a1e911792cb94b547c6	DL_practice	10	ta	ta	0	left	ta	1	2139
62fb7a1e911792cb94b547c6	DL_test	1	ga	da	1	other	ka	0	2706
62fb7a1e911792cb94b547c6	DL_test	2	ta	pa	1	left	ta	1	2357
62fb7a1e911792cb94b547c6	DL_test	3	ga	ba	1	other	da	0	1937
62fb7a1e911792cb94b547c6	DL_test	4	ba	ga	1	other	da	0	1600
62fb7a1e911792cb94b547c6	DL_test	5	ta	ta	0	other	ka	0	2076
62fb7a1e911792cb94b547c6	DL_test	6	da	da	0	left	da	1	2100
62fb7a1e911792cb94b547c6	DL_test	7	pa	pa	0	left	pa	1	2145
62fb7a1e911792cb94b547c6	DL_test	8	ka	ta	1	left	ka	1	2103
62fb7a1e911792cb94b547c6	DL_test	9	ba	da	1	other	ga	0	2009
62fb7a1e911792cb94b547c6	DL_test	10	da	ba	1	left	da	1	2380
62fb7a1e911792cb94b547c6	DL_test	11	ta	da	1	other	pa	0	2789
62fb7a1e911792cb94b547c6	DL_test	12	pa	ga	1	other	ta	0	2411
62fb7a1e911792cb94b547c6	DL_test	13	pa	ba	1	right	ba	1	2624
62fb7a1e911792cb94b547c6	DL_test	14	ka	ka	0	left	ka	1	1891
62fb7a1e911792cb94b547c6	DL_test	15	da	pa	1	other	ga	0	3281
62fb7a1e911792cb94b547c6	DL_test	16	ga	ga	0	other	da	0	2376
62fb7a1e911792cb94b547c6	DL_test	17	da	ga	1	other	ta	0	1864
62fb7a1e911792cb94b547c6	DL_test	18	ka	ba	1	left	ka	1	2094
62fb7a1e911792cb94b547c6	DL_test	19	pa	ta	1	left	pa	1	1935
62fb7a1e911792cb94b547c6	DL_test	20	pa	ka	1	left	pa	1	1940
62fb7a1e911792cb94b547c6	DL_test	21	da	ta	1	other	ka	0	1895
62fb7a1e911792cb94b547c6	DL_test	22	ba	ta	1	other	ga	0	2865
62fb7a1e911792cb94b547c6	DL_test	23	ba	pa	1	left	ba	1	3024
62fb7a1e911792cb94b547c6	DL_test	24	ta	ba	1	right	ba	1	2440
62fb7a1e911792cb94b547c6	DL_test	25	ga	ta	1	other	ka	0	2415
62fb7a1e911792cb94b547c6	DL_test	26	ka	ga	1	left	ka	1	1663
62fb7a1e911792cb94b547c6	DL_test	27	ta	ka	1	right	ka	1	2019
62fb7a1e911792cb94b547c6	DL_test	28	ka	pa	1	left	ka	1	2265
62fb7a1e911792cb94b547c6	DL_test	29	ka	da	1	left	ka	1	2371
