subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
62fcabf17fc3d7ef0952fb6c	headphonecheck_testphase	3	NA	NA	0	NA	third	1	656
62fcabf17fc3d7ef0952fb6c	headphonecheck_testphase	6	NA	NA	0	NA	third	0	318
62fcabf17fc3d7ef0952fb6c	headphonecheck_testphase	9	NA	NA	0	NA	second	0	289
62fcabf17fc3d7ef0952fb6c	headphonecheck_testphase	12	NA	NA	0	NA	second	0	427
62fcabf17fc3d7ef0952fb6c	headphonecheck_testphase	15	NA	NA	0	NA	third	0	320
62fcabf17fc3d7ef0952fb6c	headphonecheck_testphase	18	NA	NA	0	NA	first	0	253
62fcabf17fc3d7ef0952fb6c	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	528
62fcabf17fc3d7ef0952fb6c	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	243
62fcabf17fc3d7ef0952fb6c	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	229
62fcabf17fc3d7ef0952fb6c	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	223
62fcabf17fc3d7ef0952fb6c	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	221
62fcabf17fc3d7ef0952fb6c	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	201
62fcabf17fc3d7ef0952fb6c	DL_practice	2	ga	ga	0	left	ga	1	1452
62fcabf17fc3d7ef0952fb6c	DL_practice	3	ka	ka	0	left	ka	1	694
62fcabf17fc3d7ef0952fb6c	DL_practice	4	ga	ta	1	left	ga	1	1213
62fcabf17fc3d7ef0952fb6c	DL_practice	5	da	ba	1	right	ba	1	1483
62fcabf17fc3d7ef0952fb6c	DL_practice	6	ba	ba	0	left	ba	1	768
62fcabf17fc3d7ef0952fb6c	DL_practice	7	da	da	0	left	da	1	659
62fcabf17fc3d7ef0952fb6c	DL_practice	8	ta	ta	0	left	ta	1	1008
62fcabf17fc3d7ef0952fb6c	DL_practice	9	ka	pa	1	left	ka	1	793
62fcabf17fc3d7ef0952fb6c	DL_practice	10	pa	pa	0	left	pa	1	1065
62fcabf17fc3d7ef0952fb6c	DL_test	1	ba	da	1	left	ba	1	1224
62fcabf17fc3d7ef0952fb6c	DL_test	2	ga	ga	0	left	ga	1	796
62fcabf17fc3d7ef0952fb6c	DL_test	3	da	da	0	left	da	1	894
62fcabf17fc3d7ef0952fb6c	DL_test	4	ta	pa	1	left	ta	1	1235
62fcabf17fc3d7ef0952fb6c	DL_test	5	pa	ba	1	left	pa	1	802
62fcabf17fc3d7ef0952fb6c	DL_test	6	ba	ka	1	right	ka	1	974
62fcabf17fc3d7ef0952fb6c	DL_test	7	ba	ga	1	left	ba	1	1088
62fcabf17fc3d7ef0952fb6c	DL_test	8	ka	ta	1	left	ka	1	1025
62fcabf17fc3d7ef0952fb6c	DL_test	9	pa	ka	1	right	ka	1	768
62fcabf17fc3d7ef0952fb6c	DL_test	10	ta	da	1	left	ta	1	1242
62fcabf17fc3d7ef0952fb6c	DL_test	11	ta	ga	1	right	ga	1	876
62fcabf17fc3d7ef0952fb6c	DL_test	12	da	ka	1	right	ka	1	1018
62fcabf17fc3d7ef0952fb6c	DL_test	13	ka	pa	1	left	ka	1	721
62fcabf17fc3d7ef0952fb6c	DL_test	14	da	ba	1	right	ba	1	989
62fcabf17fc3d7ef0952fb6c	DL_test	15	ga	ka	1	right	ka	1	1138
62fcabf17fc3d7ef0952fb6c	DL_test	16	ta	ta	0	left	ta	1	877
62fcabf17fc3d7ef0952fb6c	DL_test	17	pa	da	1	other	ka	0	1082
62fcabf17fc3d7ef0952fb6c	DL_test	18	ga	ta	1	left	ga	1	745
62fcabf17fc3d7ef0952fb6c	DL_test	19	ta	ba	1	other	pa	0	834
62fcabf17fc3d7ef0952fb6c	DL_test	20	ga	pa	1	right	pa	1	2072
62fcabf17fc3d7ef0952fb6c	DL_test	21	ka	ga	1	left	ka	1	1286
62fcabf17fc3d7ef0952fb6c	DL_test	22	ga	ba	1	right	ba	1	1252
62fcabf17fc3d7ef0952fb6c	DL_test	23	ba	ba	0	left	ba	1	817
62fcabf17fc3d7ef0952fb6c	DL_test	24	ta	ka	1	right	ka	1	902
62fcabf17fc3d7ef0952fb6c	DL_test	25	ga	da	1	left	ga	1	1146
62fcabf17fc3d7ef0952fb6c	DL_test	26	pa	pa	0	left	pa	1	798
62fcabf17fc3d7ef0952fb6c	DL_test	27	da	pa	1	other	ka	0	1071
62fcabf17fc3d7ef0952fb6c	DL_test	28	pa	ta	1	right	ta	1	874
62fcabf17fc3d7ef0952fb6c	DL_test	29	ka	da	1	left	ka	1	1037
62fcabf17fc3d7ef0952fb6c	DL_test	30	ba	ta	1	other	pa	0	1150
62fcabf17fc3d7ef0952fb6c	DL_test	31	ka	ka	0	left	ka	1	832
62fcabf17fc3d7ef0952fb6c	DL_test	32	ka	ba	1	other	pa	0	1010
62fcabf17fc3d7ef0952fb6c	DL_test	33	da	ta	1	left	da	1	1766
62fcabf17fc3d7ef0952fb6c	DL_test	34	pa	ga	1	other	ka	0	1064
62fcabf17fc3d7ef0952fb6c	DL_test	35	da	ga	1	right	ga	1	1268
62fcabf17fc3d7ef0952fb6c	DL_test	36	ba	pa	1	right	pa	1	1296
62fcabf17fc3d7ef0952fb6c	DL_test	1	pa	ga	1	other	ka	0	993
62fcabf17fc3d7ef0952fb6c	DL_test	2	da	ka	1	other	ga	0	2165
62fcabf17fc3d7ef0952fb6c	DL_test	3	da	pa	1	other	ka	0	872
62fcabf17fc3d7ef0952fb6c	DL_test	4	ba	pa	1	right	pa	1	764
62fcabf17fc3d7ef0952fb6c	DL_test	5	ta	da	1	other	ga	0	1403
62fcabf17fc3d7ef0952fb6c	DL_test	6	ga	ta	1	other	ka	0	3204
62fcabf17fc3d7ef0952fb6c	DL_test	7	ka	ta	1	left	ka	1	1112
62fcabf17fc3d7ef0952fb6c	DL_test	8	pa	ta	1	right	ta	1	1283
62fcabf17fc3d7ef0952fb6c	DL_test	9	ga	ka	1	right	ka	1	1109
62fcabf17fc3d7ef0952fb6c	DL_test	10	ka	pa	1	left	ka	1	737
62fcabf17fc3d7ef0952fb6c	DL_test	11	ta	ta	0	left	ta	1	1308
62fcabf17fc3d7ef0952fb6c	DL_test	12	ka	ka	0	left	ka	1	1167
62fcabf17fc3d7ef0952fb6c	DL_test	13	pa	ka	1	right	ka	1	795
62fcabf17fc3d7ef0952fb6c	DL_test	14	da	da	0	left	da	1	1596
62fcabf17fc3d7ef0952fb6c	DL_test	15	ba	ta	1	other	pa	0	1569
