subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d00e3cea3280c3ed8a340c	headphonecheck_testphase	3	NA	NA	0	NA	first	1	2663
63d00e3cea3280c3ed8a340c	headphonecheck_testphase	6	NA	NA	0	NA	first	1	489
63d00e3cea3280c3ed8a340c	headphonecheck_testphase	9	NA	NA	0	NA	second	1	340
63d00e3cea3280c3ed8a340c	headphonecheck_testphase	12	NA	NA	0	NA	third	1	189
63d00e3cea3280c3ed8a340c	headphonecheck_testphase	15	NA	NA	0	NA	third	1	422
63d00e3cea3280c3ed8a340c	headphonecheck_testphase	18	NA	NA	0	NA	second	1	360
63d00e3cea3280c3ed8a340c	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	1192
63d00e3cea3280c3ed8a340c	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	436
63d00e3cea3280c3ed8a340c	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	287
63d00e3cea3280c3ed8a340c	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	302
63d00e3cea3280c3ed8a340c	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	373
63d00e3cea3280c3ed8a340c	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	347
63d00e3cea3280c3ed8a340c	DL_practice	2	ta	ta	0	left	ta	1	1185
63d00e3cea3280c3ed8a340c	DL_practice	3	da	da	0	left	da	1	1433
63d00e3cea3280c3ed8a340c	DL_practice	4	ka	ka	0	left	ka	1	958
63d00e3cea3280c3ed8a340c	DL_practice	5	pa	pa	0	left	pa	1	1006
63d00e3cea3280c3ed8a340c	DL_practice	6	ka	pa	1	left	ka	1	842
63d00e3cea3280c3ed8a340c	DL_practice	7	ga	ta	1	other	ka	0	1184
63d00e3cea3280c3ed8a340c	DL_practice	8	ga	ga	0	left	ga	1	894
63d00e3cea3280c3ed8a340c	DL_practice	9	ba	ba	0	left	ba	1	1113
63d00e3cea3280c3ed8a340c	DL_practice	10	da	ba	1	left	da	1	1738
63d00e3cea3280c3ed8a340c	DL_test	1	ga	ga	0	left	ga	1	598
63d00e3cea3280c3ed8a340c	DL_test	2	ta	ka	1	right	ka	1	612
63d00e3cea3280c3ed8a340c	DL_test	3	ba	ka	1	right	ka	1	634
63d00e3cea3280c3ed8a340c	DL_test	4	ba	pa	1	right	pa	1	822
63d00e3cea3280c3ed8a340c	DL_test	5	ka	ba	1	left	ka	1	787
63d00e3cea3280c3ed8a340c	DL_test	6	ka	ta	1	left	ka	1	513
63d00e3cea3280c3ed8a340c	DL_test	7	da	ba	1	left	da	1	1572
63d00e3cea3280c3ed8a340c	DL_test	8	pa	pa	0	left	pa	1	1282
63d00e3cea3280c3ed8a340c	DL_test	9	pa	ta	1	right	ta	1	1269
63d00e3cea3280c3ed8a340c	DL_test	10	ka	ga	1	left	ka	1	888
63d00e3cea3280c3ed8a340c	DL_test	11	ta	ga	1	other	ka	0	890
63d00e3cea3280c3ed8a340c	DL_test	12	pa	ga	1	other	ka	0	902
63d00e3cea3280c3ed8a340c	DL_test	13	ta	pa	1	other	ka	0	535
63d00e3cea3280c3ed8a340c	DL_test	14	da	pa	1	other	ka	0	678
63d00e3cea3280c3ed8a340c	DL_test	15	ga	da	1	left	ga	1	1161
63d00e3cea3280c3ed8a340c	DL_test	16	ba	da	1	right	da	1	1057
63d00e3cea3280c3ed8a340c	DL_test	17	ba	ga	1	other	da	0	748
63d00e3cea3280c3ed8a340c	DL_test	18	da	ta	1	other	ka	0	963
63d00e3cea3280c3ed8a340c	DL_test	19	ta	ba	1	other	ka	0	514
63d00e3cea3280c3ed8a340c	DL_test	20	da	da	0	left	da	1	1012
63d00e3cea3280c3ed8a340c	DL_test	21	ba	ta	1	other	ka	0	938
63d00e3cea3280c3ed8a340c	DL_test	22	ga	ba	1	left	ga	1	674
63d00e3cea3280c3ed8a340c	DL_test	23	pa	ba	1	left	pa	1	1013
63d00e3cea3280c3ed8a340c	DL_test	24	pa	da	1	left	pa	1	658
63d00e3cea3280c3ed8a340c	DL_test	25	ka	ka	0	left	ka	1	759
63d00e3cea3280c3ed8a340c	DL_test	26	da	ga	1	right	ga	1	1046
63d00e3cea3280c3ed8a340c	DL_test	27	ka	da	1	left	ka	1	834
63d00e3cea3280c3ed8a340c	DL_test	28	ga	ta	1	other	ka	0	1047
63d00e3cea3280c3ed8a340c	DL_test	29	ba	ba	0	left	ba	1	1429
63d00e3cea3280c3ed8a340c	DL_test	30	da	ka	1	other	pa	0	1113
63d00e3cea3280c3ed8a340c	DL_test	31	ga	ka	1	right	ka	1	1123
63d00e3cea3280c3ed8a340c	DL_test	32	ta	da	1	other	ka	0	812
63d00e3cea3280c3ed8a340c	DL_test	33	ka	pa	1	left	ka	1	538
63d00e3cea3280c3ed8a340c	DL_test	34	ta	ta	0	left	ta	1	1025
63d00e3cea3280c3ed8a340c	DL_test	35	pa	ka	1	left	pa	1	1719
63d00e3cea3280c3ed8a340c	DL_test	36	ga	pa	1	right	pa	1	904
63d00e3cea3280c3ed8a340c	DL_test	1	ka	pa	1	left	ka	1	966
63d00e3cea3280c3ed8a340c	DL_test	2	ba	ga	1	right	ga	1	1221
63d00e3cea3280c3ed8a340c	DL_test	3	ga	ta	1	other	ka	0	1179
63d00e3cea3280c3ed8a340c	DL_test	4	ta	da	1	other	ka	0	673
63d00e3cea3280c3ed8a340c	DL_test	5	ba	pa	1	right	pa	1	1053
63d00e3cea3280c3ed8a340c	DL_test	6	ba	da	1	right	da	1	1346
63d00e3cea3280c3ed8a340c	DL_test	7	ka	da	1	left	ka	1	1155
63d00e3cea3280c3ed8a340c	DL_test	8	da	ta	1	other	ka	0	691
63d00e3cea3280c3ed8a340c	DL_test	9	da	ga	1	left	da	1	1005
63d00e3cea3280c3ed8a340c	DL_test	10	pa	pa	0	left	pa	1	1156
63d00e3cea3280c3ed8a340c	DL_test	11	pa	ga	1	left	pa	1	1196
63d00e3cea3280c3ed8a340c	DL_test	12	da	pa	1	right	pa	1	651
63d00e3cea3280c3ed8a340c	DL_test	13	ka	ga	1	left	ka	1	720
63d00e3cea3280c3ed8a340c	DL_test	14	ka	ta	1	left	ka	1	537
63d00e3cea3280c3ed8a340c	DL_test	15	ga	ga	0	left	ga	1	914
63d00e3cea3280c3ed8a340c	DL_test	16	ta	ga	1	other	ka	0	1075
63d00e3cea3280c3ed8a340c	DL_test	17	da	ba	1	left	da	1	1263
63d00e3cea3280c3ed8a340c	DL_test	18	ta	pa	1	right	pa	1	1369
63d00e3cea3280c3ed8a340c	DL_test	19	ta	ka	1	right	ka	1	760
63d00e3cea3280c3ed8a340c	DL_test	20	ga	ba	1	left	ga	1	881
63d00e3cea3280c3ed8a340c	DL_test	21	ka	ba	1	left	ka	1	1076
63d00e3cea3280c3ed8a340c	DL_test	22	pa	ta	1	other	ka	0	951
63d00e3cea3280c3ed8a340c	DL_test	23	da	ka	1	other	pa	0	992
63d00e3cea3280c3ed8a340c	DL_test	24	ka	ka	0	left	ka	1	847
63d00e3cea3280c3ed8a340c	DL_test	25	ta	ta	0	left	ta	1	1347
63d00e3cea3280c3ed8a340c	DL_test	26	pa	da	1	left	pa	1	1075
63d00e3cea3280c3ed8a340c	DL_test	27	ba	ka	1	right	ka	1	1078
63d00e3cea3280c3ed8a340c	DL_test	28	ta	ba	1	other	ka	0	586
63d00e3cea3280c3ed8a340c	DL_test	29	pa	ka	1	right	ka	1	556
63d00e3cea3280c3ed8a340c	DL_test	30	ba	ba	0	left	ba	1	1160
63d00e3cea3280c3ed8a340c	DL_test	31	ba	ta	1	other	pa	0	1330
63d00e3cea3280c3ed8a340c	DL_test	32	pa	ba	1	left	pa	1	930
63d00e3cea3280c3ed8a340c	DL_test	33	ga	da	1	right	da	1	1050
63d00e3cea3280c3ed8a340c	DL_test	34	ga	pa	1	right	pa	1	1719
63d00e3cea3280c3ed8a340c	DL_test	35	ga	ka	1	right	ka	1	719
63d00e3cea3280c3ed8a340c	DL_test	36	da	da	0	left	da	1	1082
63d00e3cea3280c3ed8a340c	DL_test	1	pa	ga	1	left	pa	1	1127
63d00e3cea3280c3ed8a340c	DL_test	2	da	ba	1	left	da	1	1305
63d00e3cea3280c3ed8a340c	DL_test	3	pa	ta	1	left	pa	1	1491
63d00e3cea3280c3ed8a340c	DL_test	4	ta	pa	1	other	ka	0	829
63d00e3cea3280c3ed8a340c	DL_test	5	ka	da	1	left	ka	1	570
63d00e3cea3280c3ed8a340c	DL_test	6	ka	ta	1	left	ka	1	777
63d00e3cea3280c3ed8a340c	DL_test	7	ba	ba	0	left	ba	1	1464
63d00e3cea3280c3ed8a340c	DL_test	8	ga	ka	1	right	ka	1	1108
63d00e3cea3280c3ed8a340c	DL_test	9	ba	ka	1	right	ka	1	598
63d00e3cea3280c3ed8a340c	DL_test	10	ba	pa	1	right	pa	1	923
63d00e3cea3280c3ed8a340c	DL_test	11	ba	ta	1	other	pa	0	597
63d00e3cea3280c3ed8a340c	DL_test	12	da	ka	1	other	pa	0	1316
63d00e3cea3280c3ed8a340c	DL_test	13	ta	da	1	other	ka	0	997
63d00e3cea3280c3ed8a340c	DL_test	14	ga	da	1	left	ga	1	740
63d00e3cea3280c3ed8a340c	DL_test	15	da	da	0	left	da	1	1141
63d00e3cea3280c3ed8a340c	DL_test	16	ba	da	1	right	da	1	757
63d00e3cea3280c3ed8a340c	DL_test	17	ga	ta	1	other	ka	0	894
63d00e3cea3280c3ed8a340c	DL_test	18	ga	ba	1	left	ga	1	928
63d00e3cea3280c3ed8a340c	DL_test	19	pa	ba	1	other	ta	0	937
63d00e3cea3280c3ed8a340c	DL_test	20	ka	pa	1	right	pa	1	649
63d00e3cea3280c3ed8a340c	DL_test	21	ta	ta	0	left	ta	1	870
63d00e3cea3280c3ed8a340c	DL_test	22	ta	ka	1	right	ka	1	1138
63d00e3cea3280c3ed8a340c	DL_test	23	pa	da	1	left	pa	1	1026
63d00e3cea3280c3ed8a340c	DL_test	24	ba	ga	1	right	ga	1	1183
63d00e3cea3280c3ed8a340c	DL_test	25	da	ta	1	other	ka	0	1246
63d00e3cea3280c3ed8a340c	DL_test	26	ta	ga	1	other	ka	0	594
63d00e3cea3280c3ed8a340c	DL_test	27	pa	ka	1	right	ka	1	836
63d00e3cea3280c3ed8a340c	DL_test	28	ka	ga	1	left	ka	1	694
63d00e3cea3280c3ed8a340c	DL_test	29	da	ga	1	right	ga	1	769
63d00e3cea3280c3ed8a340c	DL_test	30	pa	pa	0	left	pa	1	969
63d00e3cea3280c3ed8a340c	DL_test	31	ka	ba	1	left	ka	1	785
63d00e3cea3280c3ed8a340c	DL_test	32	ga	pa	1	right	pa	1	1248
63d00e3cea3280c3ed8a340c	DL_test	33	ta	ba	1	other	pa	0	1397
63d00e3cea3280c3ed8a340c	DL_test	34	ga	ga	0	left	ga	1	938
63d00e3cea3280c3ed8a340c	DL_test	35	da	pa	1	right	pa	1	979
63d00e3cea3280c3ed8a340c	DL_test	36	ka	ka	0	left	ka	1	860
63d00e3cea3280c3ed8a340c	DL_test	1	ta	ka	1	right	ka	1	789
63d00e3cea3280c3ed8a340c	DL_test	2	da	ba	1	left	da	1	906
63d00e3cea3280c3ed8a340c	DL_test	3	ta	ba	1	left	ta	1	1949
63d00e3cea3280c3ed8a340c	DL_test	4	ka	ga	1	left	ka	1	765
63d00e3cea3280c3ed8a340c	DL_test	5	ga	ta	1	other	ka	0	468
63d00e3cea3280c3ed8a340c	DL_test	6	ta	ta	0	left	ta	1	888
63d00e3cea3280c3ed8a340c	DL_test	7	da	da	0	left	da	1	1012
63d00e3cea3280c3ed8a340c	DL_test	8	ta	pa	1	right	pa	1	1218
63d00e3cea3280c3ed8a340c	DL_test	9	ba	ga	1	right	ga	1	871
