subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d2a4b549eb02187fd40092	headphonecheck_testphase	3	NA	NA	0	NA	first	1	7339
63d2a4b549eb02187fd40092	headphonecheck_testphase	6	NA	NA	0	NA	second	1	784
63d2a4b549eb02187fd40092	headphonecheck_testphase	9	NA	NA	0	NA	third	1	865
63d2a4b549eb02187fd40092	headphonecheck_testphase	12	NA	NA	0	NA	second	1	1148
63d2a4b549eb02187fd40092	headphonecheck_testphase	15	NA	NA	0	NA	first	1	724
63d2a4b549eb02187fd40092	headphonecheck_testphase	18	NA	NA	0	NA	third	1	570
63d2a4b549eb02187fd40092	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	696
63d2a4b549eb02187fd40092	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	2935
63d2a4b549eb02187fd40092	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	679
63d2a4b549eb02187fd40092	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	539
63d2a4b549eb02187fd40092	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	416
63d2a4b549eb02187fd40092	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	354
63d2a4b549eb02187fd40092	DL_practice	2	ga	ta	1	left	ga	1	4341
63d2a4b549eb02187fd40092	DL_practice	3	da	ba	1	left	da	1	1412
63d2a4b549eb02187fd40092	DL_practice	4	da	da	0	left	da	1	1165
63d2a4b549eb02187fd40092	DL_practice	5	ka	pa	1	right	pa	1	1577
63d2a4b549eb02187fd40092	DL_practice	6	pa	pa	0	left	pa	1	1215
63d2a4b549eb02187fd40092	DL_practice	7	ka	ka	0	left	ka	1	1226
63d2a4b549eb02187fd40092	DL_practice	8	ta	ta	0	left	ta	1	1400
63d2a4b549eb02187fd40092	DL_practice	9	ga	ga	0	other	da	0	2261
63d2a4b549eb02187fd40092	DL_practice	10	ba	ba	0	left	ba	1	1242
63d2a4b549eb02187fd40092	DL_test	1	ta	da	1	left	ta	1	3126
63d2a4b549eb02187fd40092	DL_test	2	ga	ta	1	right	ta	1	1313
63d2a4b549eb02187fd40092	DL_test	3	ka	ga	1	left	ka	1	4219
63d2a4b549eb02187fd40092	DL_test	4	ta	ga	1	other	da	0	3498
63d2a4b549eb02187fd40092	DL_test	5	ba	da	1	left	ba	1	3179
63d2a4b549eb02187fd40092	DL_test	6	ka	ba	1	other	pa	0	2356
63d2a4b549eb02187fd40092	DL_test	7	pa	ka	1	other	ta	0	2833
63d2a4b549eb02187fd40092	DL_test	8	ga	ga	0	other	da	0	1615
63d2a4b549eb02187fd40092	DL_test	9	pa	ga	1	left	pa	1	2995
63d2a4b549eb02187fd40092	DL_test	10	pa	pa	0	left	pa	1	1398
63d2a4b549eb02187fd40092	DL_test	11	ga	ba	1	other	da	0	2428
63d2a4b549eb02187fd40092	DL_test	12	pa	ta	1	right	ta	1	1546
63d2a4b549eb02187fd40092	DL_test	13	ba	ka	1	other	ta	0	1466
63d2a4b549eb02187fd40092	DL_test	14	pa	da	1	other	ga	0	3815
63d2a4b549eb02187fd40092	DL_test	15	ba	ga	1	left	ba	1	1897
63d2a4b549eb02187fd40092	DL_test	16	ga	pa	1	right	pa	1	1298
63d2a4b549eb02187fd40092	DL_test	17	ta	ba	1	other	pa	0	2685
63d2a4b549eb02187fd40092	DL_test	18	ba	ta	1	right	ta	1	1514
63d2a4b549eb02187fd40092	DL_test	19	ba	ba	0	left	ba	1	1535
63d2a4b549eb02187fd40092	DL_test	20	da	ba	1	left	da	1	2393
63d2a4b549eb02187fd40092	DL_test	21	ka	ta	1	left	ka	1	2109
63d2a4b549eb02187fd40092	DL_test	22	pa	ba	1	left	pa	1	1312
63d2a4b549eb02187fd40092	DL_test	23	ka	pa	1	right	pa	1	2048
63d2a4b549eb02187fd40092	DL_test	24	ta	ka	1	left	ta	1	1216
