subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d3f99eac52371a49e65825	headphonecheck_testphase	3	NA	NA	0	NA	first	1	1878
63d3f99eac52371a49e65825	headphonecheck_testphase	6	NA	NA	0	NA	third	1	644
63d3f99eac52371a49e65825	headphonecheck_testphase	9	NA	NA	0	NA	first	1	251
63d3f99eac52371a49e65825	headphonecheck_testphase	12	NA	NA	0	NA	second	1	448
63d3f99eac52371a49e65825	headphonecheck_testphase	15	NA	NA	0	NA	second	1	194
63d3f99eac52371a49e65825	headphonecheck_testphase	18	NA	NA	0	NA	third	1	692
63d3f99eac52371a49e65825	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1943
63d3f99eac52371a49e65825	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	68
63d3f99eac52371a49e65825	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	346
63d3f99eac52371a49e65825	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	152
63d3f99eac52371a49e65825	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	1127
63d3f99eac52371a49e65825	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	169
63d3f99eac52371a49e65825	DL_practice	2	da	ba	1	left	da	1	969
63d3f99eac52371a49e65825	DL_practice	3	ka	ka	0	other	ga	0	1095
63d3f99eac52371a49e65825	DL_practice	4	ta	ta	0	left	ta	1	1523
63d3f99eac52371a49e65825	DL_practice	5	da	da	0	left	da	1	1020
63d3f99eac52371a49e65825	DL_practice	6	pa	pa	0	left	pa	1	1326
63d3f99eac52371a49e65825	DL_practice	7	ba	ba	0	left	ba	1	1325
63d3f99eac52371a49e65825	DL_practice	8	ga	ta	1	other	ka	0	1133
63d3f99eac52371a49e65825	DL_practice	9	ka	pa	1	left	ka	1	1003
63d3f99eac52371a49e65825	DL_practice	10	ga	ga	0	left	ga	1	893
63d3f99eac52371a49e65825	DL_test	1	ta	ba	1	other	ga	0	992
63d3f99eac52371a49e65825	DL_test	2	pa	ta	1	left	pa	1	2066
63d3f99eac52371a49e65825	DL_test	3	da	ba	1	left	da	1	1041
63d3f99eac52371a49e65825	DL_test	4	ga	ta	1	other	ka	0	1454
63d3f99eac52371a49e65825	DL_test	5	ta	ka	1	right	ka	1	996
63d3f99eac52371a49e65825	DL_test	6	ka	ka	0	left	ka	1	585
63d3f99eac52371a49e65825	DL_test	7	ka	pa	1	right	pa	1	956
63d3f99eac52371a49e65825	DL_test	8	ga	da	1	right	da	1	1146
63d3f99eac52371a49e65825	DL_test	9	da	da	0	left	da	1	843
63d3f99eac52371a49e65825	DL_test	10	pa	da	1	right	da	1	1197
63d3f99eac52371a49e65825	DL_test	11	ta	ga	1	right	ga	1	1126
63d3f99eac52371a49e65825	DL_test	12	ba	ga	1	right	ga	1	671
63d3f99eac52371a49e65825	DL_test	13	ka	ba	1	left	ka	1	941
63d3f99eac52371a49e65825	DL_test	14	ga	pa	1	right	pa	1	1231
63d3f99eac52371a49e65825	DL_test	15	ba	ba	0	other	pa	0	2336
63d3f99eac52371a49e65825	DL_test	16	pa	ka	1	right	ka	1	1150
63d3f99eac52371a49e65825	DL_test	17	pa	ga	1	right	ga	1	1807
63d3f99eac52371a49e65825	DL_test	18	ba	da	1	right	da	1	690
63d3f99eac52371a49e65825	DL_test	19	ba	pa	1	right	pa	1	1265
63d3f99eac52371a49e65825	DL_test	20	da	ta	1	other	ka	0	705
63d3f99eac52371a49e65825	DL_test	21	ka	ta	1	left	ka	1	755
63d3f99eac52371a49e65825	DL_test	22	pa	pa	0	left	pa	1	1323
63d3f99eac52371a49e65825	DL_test	23	da	ka	1	right	ka	1	794
63d3f99eac52371a49e65825	DL_test	24	ta	ta	0	other	ka	0	628
63d3f99eac52371a49e65825	DL_test	25	pa	ba	1	left	pa	1	1046
63d3f99eac52371a49e65825	DL_test	26	da	pa	1	left	da	1	1064
63d3f99eac52371a49e65825	DL_test	27	ta	pa	1	left	ta	1	2423
63d3f99eac52371a49e65825	DL_test	28	ga	ba	1	left	ga	1	870
63d3f99eac52371a49e65825	DL_test	29	ta	da	1	right	da	1	1430
63d3f99eac52371a49e65825	DL_test	30	da	ga	1	right	ga	1	1261
63d3f99eac52371a49e65825	DL_test	31	ka	ga	1	right	ga	1	1257
63d3f99eac52371a49e65825	DL_test	32	ga	ka	1	right	ka	1	1231
