subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d40b7d3c7f92ff15ef6b67	headphonecheck_testphase	3	NA	NA	0	NA	third	1	627
63d40b7d3c7f92ff15ef6b67	headphonecheck_testphase	6	NA	NA	0	NA	first	1	596
63d40b7d3c7f92ff15ef6b67	headphonecheck_testphase	9	NA	NA	0	NA	third	1	412
63d40b7d3c7f92ff15ef6b67	headphonecheck_testphase	12	NA	NA	0	NA	second	1	586
63d40b7d3c7f92ff15ef6b67	headphonecheck_testphase	15	NA	NA	0	NA	second	1	579
63d40b7d3c7f92ff15ef6b67	headphonecheck_testphase	18	NA	NA	0	NA	first	1	623
63d40b7d3c7f92ff15ef6b67	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	505
63d40b7d3c7f92ff15ef6b67	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	506
63d40b7d3c7f92ff15ef6b67	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	623
63d40b7d3c7f92ff15ef6b67	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	528
63d40b7d3c7f92ff15ef6b67	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	819
63d40b7d3c7f92ff15ef6b67	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	657
63d40b7d3c7f92ff15ef6b67	DL_practice	2	pa	pa	0	left	pa	1	2095
63d40b7d3c7f92ff15ef6b67	DL_practice	3	ga	ta	1	left	ga	1	1289
63d40b7d3c7f92ff15ef6b67	DL_practice	4	ba	ba	0	left	ba	1	1845
63d40b7d3c7f92ff15ef6b67	DL_practice	5	ka	ka	0	left	ka	1	980
63d40b7d3c7f92ff15ef6b67	DL_practice	6	da	ba	1	left	da	1	1380
63d40b7d3c7f92ff15ef6b67	DL_practice	7	ka	pa	1	left	ka	1	1052
63d40b7d3c7f92ff15ef6b67	DL_practice	8	ga	ga	0	left	ga	1	1012
63d40b7d3c7f92ff15ef6b67	DL_practice	9	da	da	0	left	da	1	1689
63d40b7d3c7f92ff15ef6b67	DL_practice	10	ta	ta	0	left	ta	1	1807
63d40b7d3c7f92ff15ef6b67	DL_test	1	pa	ka	1	left	pa	1	1999
63d40b7d3c7f92ff15ef6b67	DL_test	2	da	da	0	left	da	1	1011
63d40b7d3c7f92ff15ef6b67	DL_test	3	ga	ga	0	left	ga	1	998
63d40b7d3c7f92ff15ef6b67	DL_test	4	da	ka	1	other	pa	0	2454
63d40b7d3c7f92ff15ef6b67	DL_test	5	ga	pa	1	left	ga	1	1314
63d40b7d3c7f92ff15ef6b67	DL_test	6	ga	ta	1	left	ga	1	971
63d40b7d3c7f92ff15ef6b67	DL_test	7	ta	ba	1	left	ta	1	1592
63d40b7d3c7f92ff15ef6b67	DL_test	8	pa	ba	1	left	pa	1	1441
63d40b7d3c7f92ff15ef6b67	DL_test	9	ta	pa	1	left	ta	1	1653
63d40b7d3c7f92ff15ef6b67	DL_test	10	ga	da	1	left	ga	1	940
63d40b7d3c7f92ff15ef6b67	DL_test	11	ta	ka	1	right	ka	1	1210
63d40b7d3c7f92ff15ef6b67	DL_test	12	da	ga	1	left	da	1	2034
63d40b7d3c7f92ff15ef6b67	DL_test	13	pa	pa	0	left	pa	1	1311
63d40b7d3c7f92ff15ef6b67	DL_test	14	ba	da	1	left	ba	1	2097
63d40b7d3c7f92ff15ef6b67	DL_test	15	ga	ka	1	left	ga	1	1244
63d40b7d3c7f92ff15ef6b67	DL_test	16	pa	da	1	other	ta	0	1454
63d40b7d3c7f92ff15ef6b67	DL_test	17	ka	ka	0	left	ka	1	958
63d40b7d3c7f92ff15ef6b67	DL_test	18	ka	da	1	left	ka	1	1549
63d40b7d3c7f92ff15ef6b67	DL_test	19	ba	ka	1	left	ba	1	2861
63d40b7d3c7f92ff15ef6b67	DL_test	20	ka	pa	1	left	ka	1	786
63d40b7d3c7f92ff15ef6b67	DL_test	21	ta	da	1	left	ta	1	1534
63d40b7d3c7f92ff15ef6b67	DL_test	22	da	ba	1	left	da	1	1059
63d40b7d3c7f92ff15ef6b67	DL_test	23	pa	ga	1	left	pa	1	1404
63d40b7d3c7f92ff15ef6b67	DL_test	24	ba	ga	1	left	ba	1	1948
63d40b7d3c7f92ff15ef6b67	DL_test	25	ba	ta	1	right	ta	1	1259
63d40b7d3c7f92ff15ef6b67	DL_test	26	da	pa	1	left	da	1	1145
63d40b7d3c7f92ff15ef6b67	DL_test	27	pa	ta	1	right	ta	1	1432
63d40b7d3c7f92ff15ef6b67	DL_test	28	da	ta	1	left	da	1	1267
63d40b7d3c7f92ff15ef6b67	DL_test	29	ka	ga	1	left	ka	1	1089
63d40b7d3c7f92ff15ef6b67	DL_test	30	ka	ba	1	left	ka	1	1423
63d40b7d3c7f92ff15ef6b67	DL_test	31	ta	ta	0	left	ta	1	1060
