subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d79d065189719c8393e3eb	headphonecheck_testphase	3	NA	NA	0	NA	first	1	550
63d79d065189719c8393e3eb	headphonecheck_testphase	6	NA	NA	0	NA	third	1	184
63d79d065189719c8393e3eb	headphonecheck_testphase	9	NA	NA	0	NA	first	1	190
63d79d065189719c8393e3eb	headphonecheck_testphase	12	NA	NA	0	NA	third	1	194
63d79d065189719c8393e3eb	headphonecheck_testphase	15	NA	NA	0	NA	second	1	229
63d79d065189719c8393e3eb	headphonecheck_testphase	18	NA	NA	0	NA	second	1	279
63d79d065189719c8393e3eb	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	751
63d79d065189719c8393e3eb	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	389
63d79d065189719c8393e3eb	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	263
63d79d065189719c8393e3eb	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	241
63d79d065189719c8393e3eb	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	232
63d79d065189719c8393e3eb	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	421
63d79d065189719c8393e3eb	DL_practice	2	ga	ga	0	left	ga	1	1048
63d79d065189719c8393e3eb	DL_practice	3	ka	pa	1	left	ka	1	2970
63d79d065189719c8393e3eb	DL_practice	4	da	da	0	left	da	1	1078
63d79d065189719c8393e3eb	DL_practice	5	pa	pa	0	left	pa	1	1124
63d79d065189719c8393e3eb	DL_practice	6	ta	ta	0	left	ta	1	1683
63d79d065189719c8393e3eb	DL_practice	7	ga	ta	1	left	ga	1	3786
63d79d065189719c8393e3eb	DL_practice	8	ka	ka	0	left	ka	1	866
63d79d065189719c8393e3eb	DL_practice	9	da	ba	1	left	da	1	994
63d79d065189719c8393e3eb	DL_practice	10	ba	ba	0	left	ba	1	1120
63d79d065189719c8393e3eb	DL_test	1	ga	ka	1	right	ka	1	1182
63d79d065189719c8393e3eb	DL_test	2	da	da	0	left	da	1	893
63d79d065189719c8393e3eb	DL_test	3	ka	ta	1	left	ka	1	823
63d79d065189719c8393e3eb	DL_test	4	ga	ga	0	left	ga	1	949
63d79d065189719c8393e3eb	DL_test	5	da	ka	1	other	pa	0	1379
63d79d065189719c8393e3eb	DL_test	6	ta	da	1	left	ta	1	2618
63d79d065189719c8393e3eb	DL_test	7	ba	ka	1	right	ka	1	925
63d79d065189719c8393e3eb	DL_test	8	ba	pa	1	right	pa	1	1354
63d79d065189719c8393e3eb	DL_test	9	ga	ba	1	right	ba	1	2198
63d79d065189719c8393e3eb	DL_test	10	da	ta	1	right	ta	1	1524
63d79d065189719c8393e3eb	DL_test	11	ga	ta	1	left	ga	1	4280
63d79d065189719c8393e3eb	DL_test	12	pa	pa	0	left	pa	1	1065
63d79d065189719c8393e3eb	DL_test	13	ba	ta	1	right	ta	1	1434
63d79d065189719c8393e3eb	DL_test	14	da	ba	1	left	da	1	910
63d79d065189719c8393e3eb	DL_test	15	ka	ka	0	left	ka	1	983
63d79d065189719c8393e3eb	DL_test	16	ka	da	1	right	da	1	3357
63d79d065189719c8393e3eb	DL_test	17	da	pa	1	right	pa	1	1096
63d79d065189719c8393e3eb	DL_test	18	ka	pa	1	left	ka	1	4421
63d79d065189719c8393e3eb	DL_test	19	ka	ba	1	other	pa	0	3663
63d79d065189719c8393e3eb	DL_test	20	ta	ka	1	right	ka	1	824
63d79d065189719c8393e3eb	DL_test	21	ba	da	1	right	da	1	916
63d79d065189719c8393e3eb	DL_test	22	da	ga	1	left	da	1	987
63d79d065189719c8393e3eb	DL_test	23	pa	ka	1	right	ka	1	948
63d79d065189719c8393e3eb	DL_test	24	ba	ba	0	left	ba	1	1290
63d79d065189719c8393e3eb	DL_test	25	ta	pa	1	left	ta	1	1467
63d79d065189719c8393e3eb	DL_test	26	ka	ga	1	right	ga	1	1293
63d79d065189719c8393e3eb	DL_test	27	pa	da	1	left	pa	1	1009
63d79d065189719c8393e3eb	DL_test	28	pa	ba	1	left	pa	1	869
63d79d065189719c8393e3eb	DL_test	29	pa	ta	1	right	ta	1	1024
63d79d065189719c8393e3eb	DL_test	30	ba	ga	1	right	ga	1	1167
63d79d065189719c8393e3eb	DL_test	31	ta	ga	1	other	ka	0	1613
63d79d065189719c8393e3eb	DL_test	32	pa	ga	1	left	pa	1	1168
63d79d065189719c8393e3eb	DL_test	33	ga	pa	1	right	pa	1	843
63d79d065189719c8393e3eb	DL_test	34	ta	ta	0	left	ta	1	1246
63d79d065189719c8393e3eb	DL_test	35	ga	da	1	right	da	1	750
63d79d065189719c8393e3eb	DL_test	36	ta	ba	1	other	pa	0	1581
63d79d065189719c8393e3eb	DL_test	1	da	ga	1	left	da	1	696
63d79d065189719c8393e3eb	DL_test	2	pa	pa	0	left	pa	1	1014
