subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d7a79e2606216262545e75	headphonecheck_testphase	3	NA	NA	0	NA	first	1	2215
63d7a79e2606216262545e75	headphonecheck_testphase	6	NA	NA	0	NA	third	1	466
63d7a79e2606216262545e75	headphonecheck_testphase	9	NA	NA	0	NA	first	1	502
63d7a79e2606216262545e75	headphonecheck_testphase	12	NA	NA	0	NA	third	1	809
63d7a79e2606216262545e75	headphonecheck_testphase	15	NA	NA	0	NA	first	0	386
63d7a79e2606216262545e75	headphonecheck_testphase	18	NA	NA	0	NA	second	1	369
63d7a79e2606216262545e75	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	702
63d7a79e2606216262545e75	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	327
63d7a79e2606216262545e75	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	307
63d7a79e2606216262545e75	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	352
63d7a79e2606216262545e75	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	325
63d7a79e2606216262545e75	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	281
63d7a79e2606216262545e75	DL_practice	2	pa	pa	0	left	pa	1	1349
63d7a79e2606216262545e75	DL_practice	3	ga	ta	1	left	ga	1	950
63d7a79e2606216262545e75	DL_practice	4	ba	ba	0	left	ba	1	1527
63d7a79e2606216262545e75	DL_practice	5	ga	ga	0	left	ga	1	925
63d7a79e2606216262545e75	DL_practice	6	ka	pa	1	left	ka	1	667
63d7a79e2606216262545e75	DL_practice	7	ka	ka	0	left	ka	1	817
63d7a79e2606216262545e75	DL_practice	8	da	da	0	left	da	1	838
63d7a79e2606216262545e75	DL_practice	9	ta	ta	0	left	ta	1	1333
63d7a79e2606216262545e75	DL_practice	10	da	ba	1	left	da	1	1510
63d7a79e2606216262545e75	DL_test	1	ka	ga	1	right	ga	1	1406
63d7a79e2606216262545e75	DL_test	2	da	ka	1	left	da	1	802
63d7a79e2606216262545e75	DL_test	3	ba	ba	0	left	ba	1	618
63d7a79e2606216262545e75	DL_test	4	pa	pa	0	left	pa	1	1069
63d7a79e2606216262545e75	DL_test	5	ta	ka	1	right	ka	1	942
63d7a79e2606216262545e75	DL_test	6	ga	da	1	left	ga	1	697
63d7a79e2606216262545e75	DL_test	7	da	pa	1	left	da	1	1008
63d7a79e2606216262545e75	DL_test	8	ta	ba	1	left	ta	1	1395
63d7a79e2606216262545e75	DL_test	9	pa	ga	1	other	ka	0	1165
