subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
640116c8ac12a41ff02a9a2d	headphonecheck_testphase	3	NA	NA	0	NA	third	1	14247
640116c8ac12a41ff02a9a2d	headphonecheck_testphase	6	NA	NA	0	NA	first	1	548
640116c8ac12a41ff02a9a2d	headphonecheck_testphase	9	NA	NA	0	NA	second	1	287
640116c8ac12a41ff02a9a2d	headphonecheck_testphase	12	NA	NA	0	NA	second	1	184
640116c8ac12a41ff02a9a2d	headphonecheck_testphase	15	NA	NA	0	NA	third	1	228
640116c8ac12a41ff02a9a2d	headphonecheck_testphase	18	NA	NA	0	NA	first	1	164
640116c8ac12a41ff02a9a2d	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	290
640116c8ac12a41ff02a9a2d	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	260
640116c8ac12a41ff02a9a2d	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	189
640116c8ac12a41ff02a9a2d	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	229
640116c8ac12a41ff02a9a2d	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	223
640116c8ac12a41ff02a9a2d	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	186
640116c8ac12a41ff02a9a2d	DL_practice	2	ga	ta	1	other	ka	0	2196
640116c8ac12a41ff02a9a2d	DL_practice	3	ba	ba	0	other	da	0	1129
640116c8ac12a41ff02a9a2d	DL_practice	4	da	ba	1	left	da	1	1100
640116c8ac12a41ff02a9a2d	DL_practice	5	ga	ga	0	left	ga	1	861
640116c8ac12a41ff02a9a2d	DL_practice	6	ka	ka	0	left	ka	1	1023
640116c8ac12a41ff02a9a2d	DL_practice	7	ka	pa	1	left	ka	1	973
640116c8ac12a41ff02a9a2d	DL_practice	8	pa	pa	0	left	pa	1	1469
640116c8ac12a41ff02a9a2d	DL_practice	9	ta	ta	0	left	ta	1	2718
640116c8ac12a41ff02a9a2d	DL_practice	10	da	da	0	left	da	1	901
640116c8ac12a41ff02a9a2d	DL_test	1	ta	ta	0	left	ta	1	1627
640116c8ac12a41ff02a9a2d	DL_test	2	ba	ka	1	right	ka	1	1164
640116c8ac12a41ff02a9a2d	DL_test	3	da	pa	1	other	ta	0	2474
640116c8ac12a41ff02a9a2d	DL_test	4	ga	ba	1	left	ga	1	1021
640116c8ac12a41ff02a9a2d	DL_test	5	ka	da	1	left	ka	1	1126
640116c8ac12a41ff02a9a2d	DL_test	6	ba	da	1	right	da	1	970
640116c8ac12a41ff02a9a2d	DL_test	7	ka	ga	1	left	ka	1	1081
640116c8ac12a41ff02a9a2d	DL_test	8	da	ga	1	right	ga	1	858
640116c8ac12a41ff02a9a2d	DL_test	9	pa	ta	1	other	ka	0	755
640116c8ac12a41ff02a9a2d	DL_test	10	ka	ka	0	left	ka	1	901
640116c8ac12a41ff02a9a2d	DL_test	11	pa	pa	0	left	pa	1	785
640116c8ac12a41ff02a9a2d	DL_test	12	ga	ta	1	other	ka	0	795
640116c8ac12a41ff02a9a2d	DL_test	13	ga	ka	1	right	ka	1	855
640116c8ac12a41ff02a9a2d	DL_test	14	pa	ka	1	right	ka	1	591
640116c8ac12a41ff02a9a2d	DL_test	15	da	ka	1	other	pa	0	1071
640116c8ac12a41ff02a9a2d	DL_test	16	ka	pa	1	left	ka	1	692
640116c8ac12a41ff02a9a2d	DL_test	17	ga	da	1	left	ga	1	705
640116c8ac12a41ff02a9a2d	DL_test	18	ba	ta	1	other	pa	0	1619
640116c8ac12a41ff02a9a2d	DL_test	19	da	ba	1	right	ba	1	1170
640116c8ac12a41ff02a9a2d	DL_test	20	ka	ba	1	other	pa	0	2272
640116c8ac12a41ff02a9a2d	DL_test	21	da	ta	1	other	ka	0	1243
640116c8ac12a41ff02a9a2d	DL_test	22	ta	ga	1	right	ga	1	667
640116c8ac12a41ff02a9a2d	DL_test	23	ba	ba	0	left	ba	1	1246
640116c8ac12a41ff02a9a2d	DL_test	24	ta	ba	1	other	pa	0	1845
640116c8ac12a41ff02a9a2d	DL_test	25	da	da	0	left	da	1	845
640116c8ac12a41ff02a9a2d	DL_test	26	ga	pa	1	right	pa	1	1107
640116c8ac12a41ff02a9a2d	DL_test	27	ta	pa	1	left	ta	1	1383
640116c8ac12a41ff02a9a2d	DL_test	28	ba	ga	1	right	ga	1	965
640116c8ac12a41ff02a9a2d	DL_test	29	ba	pa	1	right	pa	1	1544
640116c8ac12a41ff02a9a2d	DL_test	30	ga	ga	0	left	ga	1	738
640116c8ac12a41ff02a9a2d	DL_test	31	ka	ta	1	left	ka	1	648
640116c8ac12a41ff02a9a2d	DL_test	32	ta	ka	1	other	ga	0	583
640116c8ac12a41ff02a9a2d	DL_test	33	pa	da	1	right	da	1	1167
640116c8ac12a41ff02a9a2d	DL_test	34	pa	ga	1	left	pa	1	790
640116c8ac12a41ff02a9a2d	DL_test	35	ta	da	1	other	ga	0	1595
640116c8ac12a41ff02a9a2d	DL_test	36	pa	ba	1	left	pa	1	1264
640116c8ac12a41ff02a9a2d	DL_test	1	pa	ba	1	right	ba	1	2169
640116c8ac12a41ff02a9a2d	DL_test	2	ta	da	1	right	da	1	988
640116c8ac12a41ff02a9a2d	DL_test	3	ba	ba	0	left	ba	1	1046
640116c8ac12a41ff02a9a2d	DL_test	4	ta	ba	1	other	pa	0	1576
640116c8ac12a41ff02a9a2d	DL_test	5	da	ta	1	other	ka	0	947
640116c8ac12a41ff02a9a2d	DL_test	6	da	pa	1	other	ta	0	1695
640116c8ac12a41ff02a9a2d	DL_test	7	da	ka	1	other	ta	0	1352
640116c8ac12a41ff02a9a2d	DL_test	8	ta	ka	1	right	ka	1	913
640116c8ac12a41ff02a9a2d	DL_test	9	ka	da	1	left	ka	1	1136
640116c8ac12a41ff02a9a2d	DL_test	10	ka	pa	1	left	ka	1	991
640116c8ac12a41ff02a9a2d	DL_test	11	da	ba	1	left	da	1	1254
640116c8ac12a41ff02a9a2d	DL_test	12	ga	ba	1	other	da	0	1450
640116c8ac12a41ff02a9a2d	DL_test	13	ta	ta	0	left	ta	1	1246
640116c8ac12a41ff02a9a2d	DL_test	14	pa	ga	1	left	pa	1	2198
640116c8ac12a41ff02a9a2d	DL_test	15	ka	ka	0	left	ka	1	658
640116c8ac12a41ff02a9a2d	DL_test	16	pa	ta	1	right	ta	1	1065
640116c8ac12a41ff02a9a2d	DL_test	17	ta	pa	1	left	ta	1	645
640116c8ac12a41ff02a9a2d	DL_test	18	ga	da	1	left	ga	1	729
640116c8ac12a41ff02a9a2d	DL_test	19	ka	ta	1	left	ka	1	650
640116c8ac12a41ff02a9a2d	DL_test	20	ba	ka	1	right	ka	1	1276
640116c8ac12a41ff02a9a2d	DL_test	21	ka	ga	1	left	ka	1	997
640116c8ac12a41ff02a9a2d	DL_test	22	ba	da	1	right	da	1	1013
640116c8ac12a41ff02a9a2d	DL_test	23	pa	da	1	right	da	1	715
640116c8ac12a41ff02a9a2d	DL_test	24	pa	pa	0	left	pa	1	1051
640116c8ac12a41ff02a9a2d	DL_test	25	ga	ga	0	left	ga	1	1001
640116c8ac12a41ff02a9a2d	DL_test	26	da	ga	1	left	da	1	1377
640116c8ac12a41ff02a9a2d	DL_test	27	ga	ka	1	right	ka	1	1035
640116c8ac12a41ff02a9a2d	DL_test	28	pa	ka	1	right	ka	1	666
640116c8ac12a41ff02a9a2d	DL_test	29	ga	ta	1	other	ka	0	1002
640116c8ac12a41ff02a9a2d	DL_test	30	ba	ta	1	other	ka	0	1270
640116c8ac12a41ff02a9a2d	DL_test	31	ba	ga	1	other	da	0	1608
640116c8ac12a41ff02a9a2d	DL_test	32	ga	pa	1	other	da	0	1050
640116c8ac12a41ff02a9a2d	DL_test	33	ta	ga	1	left	ta	1	1885
640116c8ac12a41ff02a9a2d	DL_test	34	ba	pa	1	right	pa	1	1214
640116c8ac12a41ff02a9a2d	DL_test	35	da	da	0	left	da	1	1227
640116c8ac12a41ff02a9a2d	DL_test	36	ka	ba	1	left	ka	1	926
640116c8ac12a41ff02a9a2d	DL_test	1	ga	da	1	left	ga	1	904
640116c8ac12a41ff02a9a2d	DL_test	2	ka	ka	0	left	ka	1	577
640116c8ac12a41ff02a9a2d	DL_test	3	pa	da	1	other	ta	0	2031
640116c8ac12a41ff02a9a2d	DL_test	4	pa	pa	0	left	pa	1	1675
640116c8ac12a41ff02a9a2d	DL_test	5	ta	ga	1	right	ga	1	755
640116c8ac12a41ff02a9a2d	DL_test	6	pa	ga	1	right	ga	1	1243
640116c8ac12a41ff02a9a2d	DL_test	7	ga	ga	0	left	ga	1	663
640116c8ac12a41ff02a9a2d	DL_test	8	ta	ka	1	right	ka	1	637
640116c8ac12a41ff02a9a2d	DL_test	9	pa	ka	1	other	ga	0	4500
640116c8ac12a41ff02a9a2d	DL_test	10	da	ga	1	right	ga	1	906
640116c8ac12a41ff02a9a2d	DL_test	11	ba	ka	1	right	ka	1	786
640116c8ac12a41ff02a9a2d	DL_test	12	da	ka	1	other	pa	0	1037
640116c8ac12a41ff02a9a2d	DL_test	13	ba	pa	1	right	pa	1	717
640116c8ac12a41ff02a9a2d	DL_test	14	ta	da	1	right	da	1	934
640116c8ac12a41ff02a9a2d	DL_test	15	da	pa	1	right	pa	1	1190
640116c8ac12a41ff02a9a2d	DL_test	16	ka	ga	1	right	ga	1	728
640116c8ac12a41ff02a9a2d	DL_test	17	ka	pa	1	other	ta	0	2042
640116c8ac12a41ff02a9a2d	DL_test	18	ka	da	1	right	da	1	838
640116c8ac12a41ff02a9a2d	DL_test	19	ba	ba	0	left	ba	1	946
640116c8ac12a41ff02a9a2d	DL_test	20	ga	ba	1	right	ba	1	1027
640116c8ac12a41ff02a9a2d	DL_test	21	ka	ta	1	left	ka	1	872
640116c8ac12a41ff02a9a2d	DL_test	22	ba	ta	1	other	ka	0	702
640116c8ac12a41ff02a9a2d	DL_test	23	ga	ka	1	right	ka	1	1035
640116c8ac12a41ff02a9a2d	DL_test	24	ka	ba	1	right	ba	1	1944
640116c8ac12a41ff02a9a2d	DL_test	25	ta	ta	0	left	ta	1	895
640116c8ac12a41ff02a9a2d	DL_test	26	ba	ga	1	right	ga	1	944
640116c8ac12a41ff02a9a2d	DL_test	27	ga	pa	1	right	pa	1	1289
640116c8ac12a41ff02a9a2d	DL_test	28	da	da	0	left	da	1	928
640116c8ac12a41ff02a9a2d	DL_test	29	da	ba	1	left	da	1	635
640116c8ac12a41ff02a9a2d	DL_test	30	da	ta	1	left	da	1	732
640116c8ac12a41ff02a9a2d	DL_test	31	ba	da	1	right	da	1	633
640116c8ac12a41ff02a9a2d	DL_test	32	ta	ba	1	right	ba	1	1003
640116c8ac12a41ff02a9a2d	DL_test	33	ga	ta	1	other	ka	0	726
640116c8ac12a41ff02a9a2d	DL_test	34	ta	pa	1	right	pa	1	1102
640116c8ac12a41ff02a9a2d	DL_test	35	pa	ta	1	right	ta	1	1016
640116c8ac12a41ff02a9a2d	DL_test	36	pa	ba	1	other	da	0	1007
640116c8ac12a41ff02a9a2d	DL_test	1	ka	ka	0	left	ka	1	665
640116c8ac12a41ff02a9a2d	DL_test	2	ba	da	1	left	ba	1	4881
640116c8ac12a41ff02a9a2d	DL_test	3	ka	ta	1	left	ka	1	736
640116c8ac12a41ff02a9a2d	DL_test	4	ba	ta	1	other	ka	0	602
640116c8ac12a41ff02a9a2d	DL_test	5	ta	pa	1	right	pa	1	917
640116c8ac12a41ff02a9a2d	DL_test	6	ga	ga	0	left	ga	1	724
640116c8ac12a41ff02a9a2d	DL_test	7	pa	ka	1	right	ka	1	638
640116c8ac12a41ff02a9a2d	DL_test	8	pa	ga	1	other	ka	0	1082
640116c8ac12a41ff02a9a2d	DL_test	9	ka	ba	1	right	ba	1	3064
640116c8ac12a41ff02a9a2d	DL_test	10	ba	ba	0	left	ba	1	11557
640116c8ac12a41ff02a9a2d	DL_test	11	ta	da	1	right	da	1	1473
640116c8ac12a41ff02a9a2d	DL_test	12	da	pa	1	right	pa	1	928
640116c8ac12a41ff02a9a2d	DL_test	13	ka	pa	1	left	ka	1	908
640116c8ac12a41ff02a9a2d	DL_test	14	ga	ka	1	right	ka	1	867
640116c8ac12a41ff02a9a2d	DL_test	15	ba	pa	1	right	pa	1	705
