subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6401dc189a0c39635de7ebab	headphonecheck_testphase	3	NA	NA	0	NA	third	1	1388
6401dc189a0c39635de7ebab	headphonecheck_testphase	6	NA	NA	0	NA	second	1	703
6401dc189a0c39635de7ebab	headphonecheck_testphase	9	NA	NA	0	NA	first	1	371
6401dc189a0c39635de7ebab	headphonecheck_testphase	12	NA	NA	0	NA	third	1	1048
6401dc189a0c39635de7ebab	headphonecheck_testphase	15	NA	NA	0	NA	first	1	496
6401dc189a0c39635de7ebab	headphonecheck_testphase	18	NA	NA	0	NA	second	1	280
6401dc189a0c39635de7ebab	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	529
6401dc189a0c39635de7ebab	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	6040
6401dc189a0c39635de7ebab	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	445
6401dc189a0c39635de7ebab	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	551
6401dc189a0c39635de7ebab	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	863
6401dc189a0c39635de7ebab	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	649
6401dc189a0c39635de7ebab	DL_practice	2	ka	ka	0	left	ka	1	1413
6401dc189a0c39635de7ebab	DL_practice	3	da	ba	1	left	da	1	1412
6401dc189a0c39635de7ebab	DL_practice	4	ta	ta	0	left	ta	1	1565
6401dc189a0c39635de7ebab	DL_practice	5	ba	ba	0	left	ba	1	1630
6401dc189a0c39635de7ebab	DL_practice	6	ka	pa	1	right	pa	1	1401
6401dc189a0c39635de7ebab	DL_practice	7	da	da	0	left	da	1	1436
6401dc189a0c39635de7ebab	DL_practice	8	pa	pa	0	left	pa	1	1959
6401dc189a0c39635de7ebab	DL_practice	9	ga	ga	0	left	ga	1	1219
6401dc189a0c39635de7ebab	DL_practice	10	ga	ta	1	other	ka	0	1028
6401dc189a0c39635de7ebab	DL_test	1	da	ga	1	left	da	1	2490
6401dc189a0c39635de7ebab	DL_test	2	ga	pa	1	right	pa	1	1675
6401dc189a0c39635de7ebab	DL_test	3	ba	pa	1	right	pa	1	1370
6401dc189a0c39635de7ebab	DL_test	4	pa	ga	1	other	ka	0	1293
6401dc189a0c39635de7ebab	DL_test	5	pa	da	1	right	da	1	1538
6401dc189a0c39635de7ebab	DL_test	6	ka	ta	1	left	ka	1	1239
6401dc189a0c39635de7ebab	DL_test	7	ba	ba	0	left	ba	1	1739
6401dc189a0c39635de7ebab	DL_test	8	da	ka	1	left	da	1	2117
6401dc189a0c39635de7ebab	DL_test	9	ta	ta	0	left	ta	1	1946
6401dc189a0c39635de7ebab	DL_test	10	ta	da	1	left	ta	1	2355
6401dc189a0c39635de7ebab	DL_test	11	pa	ta	1	left	pa	1	2426
6401dc189a0c39635de7ebab	DL_test	12	da	da	0	left	da	1	1313
6401dc189a0c39635de7ebab	DL_test	13	da	ba	1	left	da	1	1772
6401dc189a0c39635de7ebab	DL_test	14	ka	ka	0	left	ka	1	1186
6401dc189a0c39635de7ebab	DL_test	15	ga	ta	1	left	ga	1	1218
6401dc189a0c39635de7ebab	DL_test	16	ta	ba	1	left	ta	1	2245
6401dc189a0c39635de7ebab	DL_test	17	ta	ka	1	right	ka	1	1111
6401dc189a0c39635de7ebab	DL_test	18	da	pa	1	right	pa	1	1549
6401dc189a0c39635de7ebab	DL_test	19	ka	da	1	left	ka	1	1682
6401dc189a0c39635de7ebab	DL_test	20	ga	ba	1	right	ba	1	2733
6401dc189a0c39635de7ebab	DL_test	21	ga	ka	1	right	ka	1	1363
6401dc189a0c39635de7ebab	DL_test	22	pa	pa	0	left	pa	1	1451
6401dc189a0c39635de7ebab	DL_test	23	ta	pa	1	left	ta	1	1443
6401dc189a0c39635de7ebab	DL_test	24	ba	ka	1	right	ka	1	1321
