subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
640785ce903930be7597e7c1	headphonecheck_testphase	3	NA	NA	0	NA	second	1	1085
640785ce903930be7597e7c1	headphonecheck_testphase	6	NA	NA	0	NA	second	1	973
640785ce903930be7597e7c1	headphonecheck_testphase	9	NA	NA	0	NA	first	1	1080
640785ce903930be7597e7c1	headphonecheck_testphase	12	NA	NA	0	NA	first	1	938
640785ce903930be7597e7c1	headphonecheck_testphase	15	NA	NA	0	NA	third	1	1142
640785ce903930be7597e7c1	headphonecheck_testphase	18	NA	NA	0	NA	third	1	993
640785ce903930be7597e7c1	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	850
640785ce903930be7597e7c1	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	626
640785ce903930be7597e7c1	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	599
640785ce903930be7597e7c1	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	722
640785ce903930be7597e7c1	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	465
640785ce903930be7597e7c1	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	640
640785ce903930be7597e7c1	DL_practice	2	pa	pa	0	left	pa	1	1749
640785ce903930be7597e7c1	DL_practice	3	da	ba	1	left	da	1	1656
640785ce903930be7597e7c1	DL_practice	4	ta	ta	0	left	ta	1	1713
640785ce903930be7597e7c1	DL_practice	5	ga	ta	1	right	ta	1	1710
640785ce903930be7597e7c1	DL_practice	6	ka	pa	1	left	ka	1	1633
640785ce903930be7597e7c1	DL_practice	7	ga	ga	0	left	ga	1	1305
640785ce903930be7597e7c1	DL_practice	8	ka	ka	0	left	ka	1	2938
640785ce903930be7597e7c1	DL_practice	9	da	da	0	left	da	1	1411
640785ce903930be7597e7c1	DL_practice	10	ba	ba	0	left	ba	1	1356
640785ce903930be7597e7c1	DL_test	1	da	da	0	left	da	1	1708
640785ce903930be7597e7c1	DL_test	2	ga	ga	0	left	ga	1	1192
640785ce903930be7597e7c1	DL_test	3	ba	pa	1	right	pa	1	1648
640785ce903930be7597e7c1	DL_test	4	da	ba	1	left	da	1	1764
640785ce903930be7597e7c1	DL_test	5	ba	ka	1	right	ka	1	1419
640785ce903930be7597e7c1	DL_test	6	ga	ka	1	right	ka	1	993
640785ce903930be7597e7c1	DL_test	7	ga	ta	1	other	ka	0	1332
640785ce903930be7597e7c1	DL_test	8	pa	ta	1	right	ta	1	1549
640785ce903930be7597e7c1	DL_test	9	ka	ka	0	left	ka	1	1613
640785ce903930be7597e7c1	DL_test	10	ba	ta	1	other	pa	0	2991
640785ce903930be7597e7c1	DL_test	11	pa	ga	1	left	pa	1	1311
640785ce903930be7597e7c1	DL_test	12	da	pa	1	right	pa	1	1545
640785ce903930be7597e7c1	DL_test	13	ba	da	1	right	da	1	1995
640785ce903930be7597e7c1	DL_test	14	ba	ga	1	other	da	0	1202
640785ce903930be7597e7c1	DL_test	15	ga	pa	1	right	pa	1	1800
640785ce903930be7597e7c1	DL_test	16	ka	da	1	left	ka	1	1343
640785ce903930be7597e7c1	DL_test	17	ta	da	1	left	ta	1	1841
640785ce903930be7597e7c1	DL_test	18	pa	ba	1	left	pa	1	1250
640785ce903930be7597e7c1	DL_test	19	pa	da	1	left	pa	1	1242
640785ce903930be7597e7c1	DL_test	20	ta	ta	0	left	ta	1	1180
640785ce903930be7597e7c1	DL_test	21	ba	ba	0	left	ba	1	1919
640785ce903930be7597e7c1	DL_test	22	ka	ba	1	left	ka	1	1677
640785ce903930be7597e7c1	DL_test	23	ta	ga	1	other	ka	0	1637
640785ce903930be7597e7c1	DL_test	24	ta	ba	1	left	ta	1	1770
640785ce903930be7597e7c1	DL_test	25	ka	ta	1	right	ta	1	1180
640785ce903930be7597e7c1	DL_test	26	da	ga	1	left	da	1	1581
640785ce903930be7597e7c1	DL_test	27	pa	pa	0	left	pa	1	2337
640785ce903930be7597e7c1	DL_test	28	da	ka	1	other	pa	0	2674
640785ce903930be7597e7c1	DL_test	29	ka	pa	1	right	pa	1	3091
640785ce903930be7597e7c1	DL_test	30	ga	da	1	right	da	1	1714
640785ce903930be7597e7c1	DL_test	31	pa	ka	1	right	ka	1	1559
640785ce903930be7597e7c1	DL_test	32	ka	ga	1	left	ka	1	1218
640785ce903930be7597e7c1	DL_test	33	ga	ba	1	other	da	0	1666
640785ce903930be7597e7c1	DL_test	34	ta	ka	1	right	ka	1	1472
640785ce903930be7597e7c1	DL_test	35	ta	pa	1	left	ta	1	1604
640785ce903930be7597e7c1	DL_test	36	da	ta	1	right	ta	1	1048
640785ce903930be7597e7c1	DL_test	1	da	ta	1	right	ta	1	1772
640785ce903930be7597e7c1	DL_test	2	ta	ta	0	left	ta	1	1042
640785ce903930be7597e7c1	DL_test	3	ka	ta	1	right	ta	1	1310
640785ce903930be7597e7c1	DL_test	4	pa	ta	1	left	pa	1	1518
640785ce903930be7597e7c1	DL_test	5	pa	ba	1	left	pa	1	1030
640785ce903930be7597e7c1	DL_test	6	ga	da	1	right	da	1	1679
640785ce903930be7597e7c1	DL_test	7	ta	da	1	left	ta	1	2054
640785ce903930be7597e7c1	DL_test	8	ta	ba	1	other	pa	0	1980
640785ce903930be7597e7c1	DL_test	9	ga	pa	1	right	pa	1	2514
640785ce903930be7597e7c1	DL_test	10	ba	pa	1	right	pa	1	1093
640785ce903930be7597e7c1	DL_test	11	ba	da	1	right	da	1	1912
640785ce903930be7597e7c1	DL_test	12	ka	pa	1	right	pa	1	2021
640785ce903930be7597e7c1	DL_test	13	da	da	0	left	da	1	1292
640785ce903930be7597e7c1	DL_test	14	ta	ga	1	left	ta	1	1807
640785ce903930be7597e7c1	DL_test	15	ga	ba	1	other	da	0	1750
640785ce903930be7597e7c1	DL_test	16	da	ba	1	left	da	1	2056
640785ce903930be7597e7c1	DL_test	17	ba	ka	1	right	ka	1	1467
640785ce903930be7597e7c1	DL_test	18	ka	ga	1	left	ka	1	1233
640785ce903930be7597e7c1	DL_test	19	ka	ba	1	left	ka	1	1210
640785ce903930be7597e7c1	DL_test	20	ba	ba	0	left	ba	1	2485
640785ce903930be7597e7c1	DL_test	21	pa	ga	1	other	ta	0	2530
640785ce903930be7597e7c1	DL_test	22	ta	pa	1	left	ta	1	1210
640785ce903930be7597e7c1	DL_test	23	ba	ta	1	right	ta	1	1098
640785ce903930be7597e7c1	DL_test	24	ta	ka	1	right	ka	1	1830
640785ce903930be7597e7c1	DL_test	25	pa	da	1	other	ta	0	1982
640785ce903930be7597e7c1	DL_test	26	ga	ka	1	right	ka	1	2197
640785ce903930be7597e7c1	DL_test	27	ga	ga	0	left	ga	1	2466
640785ce903930be7597e7c1	DL_test	28	da	pa	1	other	ta	0	2231
640785ce903930be7597e7c1	DL_test	29	ka	da	1	other	ta	0	1398
640785ce903930be7597e7c1	DL_test	30	ka	ka	0	left	ka	1	1657
640785ce903930be7597e7c1	DL_test	31	da	ka	1	other	ta	0	2441
640785ce903930be7597e7c1	DL_test	32	pa	pa	0	left	pa	1	1277
640785ce903930be7597e7c1	DL_test	33	ga	ta	1	right	ta	1	1633
640785ce903930be7597e7c1	DL_test	34	pa	ka	1	right	ka	1	1887
640785ce903930be7597e7c1	DL_test	35	da	ga	1	left	da	1	1621
