subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
642761fc480b4b9318301c73	headphonecheck_testphase	3	NA	NA	0	NA	second	1	10698
642761fc480b4b9318301c73	headphonecheck_testphase	6	NA	NA	0	NA	second	0	2605
642761fc480b4b9318301c73	headphonecheck_testphase	9	NA	NA	0	NA	first	0	109
642761fc480b4b9318301c73	headphonecheck_testphase	12	NA	NA	0	NA	third	1	1384
642761fc480b4b9318301c73	headphonecheck_testphase	15	NA	NA	0	NA	second	0	739
642761fc480b4b9318301c73	headphonecheck_testphase	18	NA	NA	0	NA	third	0	424
642761fc480b4b9318301c73	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	4263
642761fc480b4b9318301c73	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	3769
642761fc480b4b9318301c73	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	1769
642761fc480b4b9318301c73	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	2029
642761fc480b4b9318301c73	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	0	1569
642761fc480b4b9318301c73	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	0	1481
642761fc480b4b9318301c73	DL_practice	2	pa	pa	0	left	pa	1	1458
642761fc480b4b9318301c73	DL_practice	3	ga	ta	1	left	ga	1	935
642761fc480b4b9318301c73	DL_practice	4	da	da	0	left	da	1	980
642761fc480b4b9318301c73	DL_practice	5	ta	ta	0	left	ta	1	1428
642761fc480b4b9318301c73	DL_practice	6	ka	ka	0	left	ka	1	1330
642761fc480b4b9318301c73	DL_practice	7	ka	pa	1	left	ka	1	974
642761fc480b4b9318301c73	DL_practice	8	ba	ba	0	left	ba	1	1685
642761fc480b4b9318301c73	DL_practice	9	ga	ga	0	left	ga	1	1336
642761fc480b4b9318301c73	DL_practice	10	da	ba	1	right	ba	1	2047
642761fc480b4b9318301c73	DL_test	1	pa	ta	1	right	ta	1	1671
642761fc480b4b9318301c73	DL_test	2	ka	ta	1	left	ka	1	2123
642761fc480b4b9318301c73	DL_test	3	ba	ba	0	left	ba	1	1525
642761fc480b4b9318301c73	DL_test	4	ba	ga	1	left	ba	1	1115
642761fc480b4b9318301c73	DL_test	5	ga	ka	1	left	ga	1	1398
642761fc480b4b9318301c73	DL_test	6	ta	ba	1	other	ga	0	1497
642761fc480b4b9318301c73	DL_test	7	ga	ta	1	left	ga	1	972
642761fc480b4b9318301c73	DL_test	8	pa	ka	1	right	ka	1	884
642761fc480b4b9318301c73	DL_test	9	ka	pa	1	left	ka	1	858
642761fc480b4b9318301c73	DL_test	10	ba	ta	1	other	ka	0	2548
642761fc480b4b9318301c73	DL_test	11	ta	da	1	right	da	1	1746
642761fc480b4b9318301c73	DL_test	12	da	ga	1	left	da	1	1356
642761fc480b4b9318301c73	DL_test	13	ga	ga	0	left	ga	1	1788
642761fc480b4b9318301c73	DL_test	14	ta	pa	1	other	ka	0	857
642761fc480b4b9318301c73	DL_test	15	pa	da	1	right	da	1	1214
642761fc480b4b9318301c73	DL_test	16	da	ba	1	right	ba	1	1239
642761fc480b4b9318301c73	DL_test	17	da	pa	1	left	da	1	1126
642761fc480b4b9318301c73	DL_test	18	ga	da	1	left	ga	1	902
642761fc480b4b9318301c73	DL_test	19	ga	pa	1	left	ga	1	743
642761fc480b4b9318301c73	DL_test	20	pa	ba	1	right	ba	1	1267
642761fc480b4b9318301c73	DL_test	21	ka	ga	1	right	ga	1	1355
