subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
55d51a6b8ce09000127d4821	513372	9.5	practice	slash	1	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	517789	9.5	practice	slash	2	rectangle	global	RVF	yes	absent	0	2000
55d51a6b8ce09000127d4821	530753	9.5	practice	slash	3	rectangle	global	LVF	yes	present	1	695
55d51a6b8ce09000127d4821	534401	9.5	practice	slash	4	rectangle	local	RVF	yes	present	1	910
55d51a6b8ce09000127d4821	537203	9.5	practice	slash	5	square	local	LVF	yes	present	1	796
55d51a6b8ce09000127d4821	539902	9.5	practice	slash	6	square	global	LVF	yes	present	1	711
55d51a6b8ce09000127d4821	544072	9.5	practice	slash	7	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	547372	9.5	practice	slash	8	absent	absent	absent	no	present	0	1315
55d51a6b8ce09000127d4821	550877	9.5	practice	slash	9	square	local	LVF	yes	present	1	904
55d51a6b8ce09000127d4821	553527	9.5	practice	slash	10	rectangle	global	LVF	yes	present	1	654
55d51a6b8ce09000127d4821	556234	9.5	practice	slash	11	rectangle	local	RVF	yes	present	1	909
55d51a6b8ce09000127d4821	558977	9.5	practice	slash	12	square	global	RVF	yes	present	1	885
55d51a6b8ce09000127d4821	561734	9.5	practice	slash	13	rectangle	global	RVF	yes	present	1	876
55d51a6b8ce09000127d4821	564328	9.5	practice	slash	14	square	global	LVF	yes	present	1	720
55d51a6b8ce09000127d4821	567027	9.5	practice	slash	15	rectangle	local	RVF	yes	present	1	803
55d51a6b8ce09000127d4821	570128	9.5	practice	slash	16	absent	absent	absent	no	present	0	1236
55d51a6b8ce09000127d4821	577508	10.5	main	slash	1	absent	absent	absent	no	present	0	1117
55d51a6b8ce09000127d4821	579825	10.5	main	slash	2	rectangle	local	LVF	yes	present	1	868
55d51a6b8ce09000127d4821	581804	10.5	main	slash	3	rectangle	global	LVF	yes	present	1	731
55d51a6b8ce09000127d4821	583600	10.5	main	slash	4	square	global	LVF	yes	present	1	644
55d51a6b8ce09000127d4821	585431	10.5	main	slash	5	square	local	LVF	yes	present	1	691
55d51a6b8ce09000127d4821	587505	10.5	main	slash	6	square	local	RVF	yes	present	1	798
55d51a6b8ce09000127d4821	589280	10.5	main	slash	7	rectangle	global	RVF	yes	present	1	707
55d51a6b8ce09000127d4821	591215	10.5	main	slash	8	square	global	LVF	yes	present	1	675
55d51a6b8ce09000127d4821	593612	10.5	main	slash	9	square	global	RVF	yes	present	1	1205
55d51a6b8ce09000127d4821	595457	10.5	main	slash	10	rectangle	local	RVF	yes	present	1	767
55d51a6b8ce09000127d4821	597527	10.5	main	slash	11	square	global	LVF	yes	present	1	720
55d51a6b8ce09000127d4821	599593	10.5	main	slash	12	rectangle	global	RVF	yes	present	1	903
55d51a6b8ce09000127d4821	601585	10.5	main	slash	13	rectangle	local	LVF	yes	present	1	778
55d51a6b8ce09000127d4821	603653	10.5	main	slash	14	rectangle	global	LVF	yes	present	1	680
55d51a6b8ce09000127d4821	605486	10.5	main	slash	15	rectangle	global	LVF	yes	present	1	679
55d51a6b8ce09000127d4821	608722	10.5	main	slash	16	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	610649	10.5	main	slash	17	rectangle	local	LVF	yes	present	1	742
55d51a6b8ce09000127d4821	612534	10.5	main	slash	18	square	local	RVF	yes	present	1	710
55d51a6b8ce09000127d4821	614538	10.5	main	slash	19	square	global	RVF	yes	present	1	847
55d51a6b8ce09000127d4821	616477	10.5	main	slash	20	square	local	RVF	yes	present	1	921
55d51a6b8ce09000127d4821	618352	10.5	main	slash	21	rectangle	global	RVF	yes	present	1	696
55d51a6b8ce09000127d4821	621522	10.5	main	slash	22	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	623642	10.5	main	slash	23	square	local	RVF	yes	present	1	919
55d51a6b8ce09000127d4821	626200	10.5	main	slash	24	square	local	LVF	yes	present	1	1260
55d51a6b8ce09000127d4821	629454	10.5	main	slash	25	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	631401	10.5	main	slash	26	rectangle	global	RVF	yes	present	1	844
55d51a6b8ce09000127d4821	633225	10.5	main	slash	27	square	global	RVF	yes	present	1	752
55d51a6b8ce09000127d4821	636621	10.5	main	slash	28	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	638175	10.5	main	slash	29	square	local	LVF	yes	present	1	802
55d51a6b8ce09000127d4821	640261	10.5	main	slash	30	rectangle	local	RVF	yes	present	1	1005
55d51a6b8ce09000127d4821	642049	10.5	main	slash	31	square	local	LVF	yes	present	1	743
55d51a6b8ce09000127d4821	644132	10.5	main	slash	32	rectangle	local	RVF	yes	present	1	893
55d51a6b8ce09000127d4821	646299	10.5	main	slash	33	rectangle	local	LVF	yes	present	1	927
55d51a6b8ce09000127d4821	648106	10.5	main	slash	34	square	global	LVF	yes	present	1	716
55d51a6b8ce09000127d4821	650113	10.5	main	slash	35	square	global	RVF	yes	present	1	939
55d51a6b8ce09000127d4821	652019	10.5	main	slash	36	rectangle	local	RVF	yes	present	1	846
55d51a6b8ce09000127d4821	655038	10.5	main	slash	37	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	657431	10.5	main	slash	38	absent	absent	absent	no	present	0	1275
55d51a6b8ce09000127d4821	659463	10.5	main	slash	39	rectangle	global	LVF	yes	present	1	856
55d51a6b8ce09000127d4821	662282	10.5	main	slash	40	absent	absent	absent	no	present	0	1625
55d51a6b8ce09000127d4821	664497	10.5	main	slash	41	square	global	RVF	yes	present	1	1107
55d51a6b8ce09000127d4821	666685	10.5	main	slash	42	square	local	LVF	yes	present	1	1010
55d51a6b8ce09000127d4821	668644	10.5	main	slash	43	rectangle	local	LVF	yes	present	1	738
55d51a6b8ce09000127d4821	670489	10.5	main	slash	44	rectangle	global	RVF	yes	present	1	748
55d51a6b8ce09000127d4821	672606	10.5	main	slash	45	square	global	RVF	yes	present	1	766
55d51a6b8ce09000127d4821	674572	10.5	main	slash	46	rectangle	global	RVF	yes	present	1	848
55d51a6b8ce09000127d4821	676649	10.5	main	slash	47	square	local	LVF	yes	present	1	825
55d51a6b8ce09000127d4821	678614	10.5	main	slash	48	rectangle	local	RVF	yes	present	1	641
55d51a6b8ce09000127d4821	681217	10.5	main	slash	49	absent	absent	absent	no	present	0	1293
55d51a6b8ce09000127d4821	683331	10.5	main	slash	50	absent	absent	absent	no	present	0	990
55d51a6b8ce09000127d4821	685211	10.5	main	slash	51	square	local	LVF	yes	present	1	770
55d51a6b8ce09000127d4821	687245	10.5	main	slash	52	rectangle	local	LVF	yes	present	1	888
55d51a6b8ce09000127d4821	690939	10.5	main	slash	53	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	692816	10.5	main	slash	54	rectangle	global	LVF	yes	present	1	859
55d51a6b8ce09000127d4821	694676	10.5	main	slash	55	square	global	LVF	yes	present	1	702
55d51a6b8ce09000127d4821	698005	10.5	main	slash	56	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	699536	10.5	main	slash	57	rectangle	local	LVF	yes	present	1	580
55d51a6b8ce09000127d4821	701294	10.5	main	slash	58	square	global	RVF	yes	present	1	571
55d51a6b8ce09000127d4821	703052	10.5	main	slash	59	square	local	RVF	yes	present	1	680
55d51a6b8ce09000127d4821	705168	10.5	main	slash	60	rectangle	global	RVF	yes	present	1	845
55d51a6b8ce09000127d4821	706875	10.5	main	slash	61	rectangle	global	LVF	yes	present	1	668
55d51a6b8ce09000127d4821	708528	10.5	main	slash	62	square	global	RVF	yes	present	1	656
55d51a6b8ce09000127d4821	710313	10.5	main	slash	63	square	local	LVF	yes	present	1	707
55d51a6b8ce09000127d4821	711929	10.5	main	slash	64	rectangle	local	RVF	yes	present	1	673
55d51a6b8ce09000127d4821	713577	10.5	main	slash	65	square	local	RVF	yes	present	1	671
55d51a6b8ce09000127d4821	715235	10.5	main	slash	66	rectangle	global	LVF	yes	present	1	695
55d51a6b8ce09000127d4821	716897	10.5	main	slash	67	square	global	LVF	yes	present	1	624
55d51a6b8ce09000127d4821	719482	10.5	main	slash	68	absent	absent	absent	no	present	0	1608
55d51a6b8ce09000127d4821	721333	10.5	main	slash	69	rectangle	local	RVF	yes	present	1	826
55d51a6b8ce09000127d4821	723026	10.5	main	slash	70	rectangle	local	RVF	yes	present	1	635
55d51a6b8ce09000127d4821	724561	10.5	main	slash	71	square	local	RVF	yes	present	1	572
55d51a6b8ce09000127d4821	726238	10.5	main	slash	72	rectangle	local	LVF	yes	present	1	682
55d51a6b8ce09000127d4821	728132	10.5	main	slash	73	rectangle	global	LVF	yes	present	1	825
55d51a6b8ce09000127d4821	730312	10.5	main	slash	74	rectangle	global	RVF	yes	present	1	1038
55d51a6b8ce09000127d4821	732633	10.5	main	slash	75	square	local	RVF	yes	present	1	842
55d51a6b8ce09000127d4821	734521	10.5	main	slash	76	absent	absent	absent	no	present	0	830
55d51a6b8ce09000127d4821	737438	10.5	main	slash	77	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	739205	10.5	main	slash	78	square	global	LVF	yes	present	1	731
55d51a6b8ce09000127d4821	740845	10.5	main	slash	79	square	global	LVF	yes	present	1	572
55d51a6b8ce09000127d4821	742945	10.5	main	slash	80	absent	absent	absent	no	present	0	1055
55d51a6b8ce09000127d4821	760833	11.5	practice	z	1	rectangle	local	RVF	yes	present	1	575
55d51a6b8ce09000127d4821	763405	11.5	practice	z	2	square	global	LVF	yes	present	1	532
55d51a6b8ce09000127d4821	767456	11.5	practice	z	3	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	771655	11.5	practice	z	4	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	774328	11.5	practice	z	5	rectangle	global	RVF	yes	present	1	587
55d51a6b8ce09000127d4821	776978	11.5	practice	z	6	rectangle	global	LVF	yes	present	1	605
55d51a6b8ce09000127d4821	779653	11.5	practice	z	7	rectangle	global	RVF	yes	present	1	679
55d51a6b8ce09000127d4821	782243	11.5	practice	z	8	rectangle	global	LVF	yes	present	1	551
55d51a6b8ce09000127d4821	785628	11.5	practice	z	9	absent	absent	absent	no	present	0	1352
55d51a6b8ce09000127d4821	788212	11.5	practice	z	10	square	local	LVF	yes	present	1	573
55d51a6b8ce09000127d4821	790682	11.5	practice	z	11	rectangle	local	RVF	yes	present	1	575
55d51a6b8ce09000127d4821	793280	11.5	practice	z	12	square	local	LVF	yes	present	1	557
55d51a6b8ce09000127d4821	796185	11.5	practice	z	13	square	global	RVF	yes	present	1	877
55d51a6b8ce09000127d4821	798573	11.5	practice	z	14	square	global	LVF	yes	present	1	533
55d51a6b8ce09000127d4821	801365	11.5	practice	z	15	absent	absent	absent	no	present	0	1156
55d51a6b8ce09000127d4821	804335	11.5	practice	z	16	rectangle	local	RVF	yes	present	1	727
55d51a6b8ce09000127d4821	807482	12.5	main	z	1	rectangle	local	RVF	yes	present	1	625
55d51a6b8ce09000127d4821	810872	12.5	main	z	2	absent	absent	absent	no	absent	1	2000
55d51a6b8ce09000127d4821	812483	12.5	main	z	3	rectangle	global	RVF	yes	present	1	659
55d51a6b8ce09000127d4821	814660	12.5	main	z	4	absent	absent	absent	no	present	0	1053
55d51a6b8ce09000127d4821	816299	12.5	main	z	5	rectangle	global	RVF	yes	present	1	559
55d51a6b8ce09000127d4821	818091	12.5	main	z	6	square	local	RVF	yes	present	1	650
55d51a6b8ce09000127d4821	819769	12.5	main	z	7	rectangle	global	RVF	yes	present	1	612
55d51a6b8ce09000127d4821	821468	12.5	main	z	8	rectangle	global	LVF	yes	present	1	578
55d51a6b8ce09000127d4821	823149	12.5	main	z	9	rectangle	global	RVF	yes	present	1	593
55d51a6b8ce09000127d4821	825647	12.5	main	z	10	absent	absent	absent	no	present	0	1423
55d51a6b8ce09000127d4821	827403	12.5	main	z	11	square	global	LVF	yes	present	1	546
55d51a6b8ce09000127d4821	829183	12.5	main	z	12	rectangle	local	LVF	yes	present	1	759
55d51a6b8ce09000127d4821	830866	12.5	main	z	13	rectangle	local	RVF	yes	present	1	642
55d51a6b8ce09000127d4821	832450	12.5	main	z	14	square	global	RVF	yes	present	1	528
55d51a6b8ce09000127d4821	833950	12.5	main	z	15	square	local	LVF	yes	present	1	511
55d51a6b8ce09000127d4821	835501	12.5	main	z	16	rectangle	local	RVF	yes	present	1	545
55d51a6b8ce09000127d4821	837563	12.5	main	z	17	absent	absent	absent	no	present	0	1089
55d51a6b8ce09000127d4821	839378	12.5	main	z	18	square	global	RVF	yes	present	1	838
55d51a6b8ce09000127d4821	840933	12.5	main	z	19	square	global	LVF	yes	present	1	560
55d51a6b8ce09000127d4821	842739	12.5	main	z	20	square	local	RVF	yes	present	1	665
55d51a6b8ce09000127d4821	844248	12.5	main	z	21	square	local	LVF	yes	present	1	508
55d51a6b8ce09000127d4821	846110	12.5	main	z	22	absent	absent	absent	no	present	0	903
55d51a6b8ce09000127d4821	847968	12.5	main	z	23	absent	absent	absent	no	present	0	894
55d51a6b8ce09000127d4821	849814	12.5	main	z	24	square	local	LVF	yes	present	1	658
