subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
577d6a6c160201000103d7fc	592300	9.5	practice	z	1	square	global	LVF	yes	present	1	698
577d6a6c160201000103d7fc	599287	9.5	practice	z	2	square	local	LVF	yes	present	1	1890
577d6a6c160201000103d7fc	603697	9.5	practice	z	3	rectangle	local	RVF	yes	present	1	1215
577d6a6c160201000103d7fc	607912	9.5	practice	z	4	absent	absent	absent	no	absent	1	2000
577d6a6c160201000103d7fc	611631	9.5	practice	z	5	absent	absent	absent	no	present	0	1269
577d6a6c160201000103d7fc	614782	9.5	practice	z	6	rectangle	local	RVF	yes	present	1	854
577d6a6c160201000103d7fc	618271	9.5	practice	z	7	rectangle	global	RVF	yes	present	1	1158
577d6a6c160201000103d7fc	622529	9.5	practice	z	8	absent	absent	absent	no	absent	1	2000
577d6a6c160201000103d7fc	625743	9.5	practice	z	9	rectangle	global	LVF	yes	present	1	1047
577d6a6c160201000103d7fc	630482	9.5	practice	z	10	absent	absent	absent	no	absent	1	2000
577d6a6c160201000103d7fc	634591	9.5	practice	z	11	square	local	LVF	yes	present	1	912
577d6a6c160201000103d7fc	638528	9.5	practice	z	12	rectangle	global	RVF	yes	present	1	1798
577d6a6c160201000103d7fc	641759	9.5	practice	z	13	rectangle	local	RVF	yes	present	1	1097
577d6a6c160201000103d7fc	645006	9.5	practice	z	14	rectangle	global	LVF	yes	present	1	1029
577d6a6c160201000103d7fc	648144	9.5	practice	z	15	square	global	RVF	yes	present	1	782
577d6a6c160201000103d7fc	651255	9.5	practice	z	16	square	global	LVF	yes	present	1	1093
577d6a6c160201000103d7fc	660139	10.5	main	z	1	rectangle	global	RVF	yes	present	1	858
577d6a6c160201000103d7fc	663019	10.5	main	z	2	rectangle	local	LVF	yes	present	1	1471
577d6a6c160201000103d7fc	665239	10.5	main	z	3	rectangle	local	RVF	yes	present	1	870
577d6a6c160201000103d7fc	667089	10.5	main	z	4	square	global	LVF	yes	present	1	801
577d6a6c160201000103d7fc	668880	10.5	main	z	5	square	local	LVF	yes	present	1	743
577d6a6c160201000103d7fc	670549	10.5	main	z	6	rectangle	global	RVF	yes	present	1	705
577d6a6c160201000103d7fc	673459	10.5	main	z	7	square	local	LVF	yes	absent	0	2000
577d6a6c160201000103d7fc	676727	10.5	main	z	8	absent	absent	absent	no	absent	1	2000
577d6a6c160201000103d7fc	678677	10.5	main	z	9	square	global	LVF	yes	present	1	802
577d6a6c160201000103d7fc	681843	10.5	main	z	10	absent	absent	absent	no	absent	1	2000
577d6a6c160201000103d7fc	684992	10.5	main	z	11	absent	absent	absent	no	absent	1	2000
577d6a6c160201000103d7fc	687622	10.5	main	z	12	rectangle	local	RVF	yes	present	1	1696
577d6a6c160201000103d7fc	689747	10.5	main	z	13	square	global	LVF	yes	present	1	853
577d6a6c160201000103d7fc	691781	10.5	main	z	14	absent	absent	absent	no	present	0	989
577d6a6c160201000103d7fc	694820	10.5	main	z	15	absent	absent	absent	no	absent	1	2000
577d6a6c160201000103d7fc	696695	10.5	main	z	16	square	local	LVF	yes	present	1	751
