subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
59e6f84616ecc200016ff141	200988	1	practice	z	1	square	global	LVF	yes	present	1	481
59e6f84616ecc200016ff141	210210	1	practice	z	2	rectangle	global	RVF	yes	present	1	1019
59e6f84616ecc200016ff141	213683	1	practice	z	3	rectangle	local	RVF	yes	present	1	522
59e6f84616ecc200016ff141	216394	1	practice	z	4	square	local	LVF	yes	present	1	409
59e6f84616ecc200016ff141	219179	1	practice	z	5	rectangle	local	RVF	yes	present	1	345
59e6f84616ecc200016ff141	221707	1	practice	z	6	square	global	LVF	yes	present	1	363
59e6f84616ecc200016ff141	224376	1	practice	z	7	rectangle	global	LVF	yes	present	1	460
59e6f84616ecc200016ff141	227888	1	practice	z	8	absent	absent	absent	no	present	0	892
59e6f84616ecc200016ff141	232988	1	practice	z	9	square	local	LVF	yes	present	1	403
59e6f84616ecc200016ff141	235549	1	practice	z	10	rectangle	global	LVF	yes	present	1	358
59e6f84616ecc200016ff141	239221	1	practice	z	11	absent	absent	absent	no	present	0	1414
59e6f84616ecc200016ff141	242591	1	practice	z	12	rectangle	global	RVF	yes	present	1	810
59e6f84616ecc200016ff141	247946	1	practice	z	13	absent	absent	absent	no	absent	1	2000
59e6f84616ecc200016ff141	251712	1	practice	z	14	rectangle	local	RVF	yes	present	1	701
59e6f84616ecc200016ff141	255260	1	practice	z	15	square	global	RVF	yes	present	1	791
59e6f84616ecc200016ff141	259603	1	practice	z	16	absent	absent	absent	no	present	0	1368
59e6f84616ecc200016ff141	269730	2	main	z	1	absent	absent	absent	no	present	0	708
59e6f84616ecc200016ff141	272825	2	main	z	2	square	global	RVF	yes	present	1	560
59e6f84616ecc200016ff141	275583	2	main	z	3	square	local	LVF	yes	present	1	603
59e6f84616ecc200016ff141	277487	2	main	z	4	square	global	LVF	yes	present	1	399
59e6f84616ecc200016ff141	280202	2	main	z	5	square	global	RVF	yes	present	1	1350
59e6f84616ecc200016ff141	282249	2	main	z	6	square	local	RVF	yes	present	1	620
59e6f84616ecc200016ff141	285718	2	main	z	7	absent	absent	absent	no	absent	1	2000
59e6f84616ecc200016ff141	287844	2	main	z	8	absent	absent	absent	no	present	0	844
59e6f84616ecc200016ff141	290381	2	main	z	9	absent	absent	absent	no	present	0	1212
59e6f84616ecc200016ff141	293557	2	main	z	10	absent	absent	absent	no	absent	1	2000
59e6f84616ecc200016ff141	296011	2	main	z	11	square	global	RVF	yes	present	1	1104
59e6f84616ecc200016ff141	298262	2	main	z	12	rectangle	global	LVF	yes	present	1	1004
59e6f84616ecc200016ff141	299832	2	main	z	13	rectangle	global	RVF	yes	present	1	523
59e6f84616ecc200016ff141	301389	2	main	z	14	square	global	LVF	yes	present	1	529
59e6f84616ecc200016ff141	304329	2	main	z	15	rectangle	local	LVF	yes	present	1	1881
59e6f84616ecc200016ff141	307164	2	main	z	16	rectangle	local	RVF	yes	present	1	1869
59e6f84616ecc200016ff141	309125	2	main	z	17	square	local	RVF	yes	present	1	977
59e6f84616ecc200016ff141	311165	2	main	z	18	rectangle	local	LVF	yes	present	1	1075
59e6f84616ecc200016ff141	312820	2	main	z	19	rectangle	local	LVF	yes	present	1	701
59e6f84616ecc200016ff141	315768	2	main	z	20	absent	absent	absent	no	absent	1	2000
59e6f84616ecc200016ff141	319287	2	main	z	21	rectangle	local	RVF	yes	present	1	910
59e6f84616ecc200016ff141	321575	2	main	z	22	rectangle	global	RVF	yes	present	1	630
59e6f84616ecc200016ff141	324527	2	main	z	23	absent	absent	absent	no	absent	1	2000
59e6f84616ecc200016ff141	327192	2	main	z	24	rectangle	global	LVF	yes	present	1	1231
59e6f84616ecc200016ff141	328903	2	main	z	25	square	global	RVF	yes	present	1	741
59e6f84616ecc200016ff141	331662	2	main	z	26	rectangle	local	RVF	yes	present	1	1817
59e6f84616ecc200016ff141	333830	2	main	z	27	absent	absent	absent	no	present	0	1216
