subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5b59862535af16000164960a	183467	1	practice	slash	1	square	global	LVF	yes	absent	0	2000
5b59862535af16000164960a	187108	1	practice	slash	2	rectangle	global	LVF	yes	present	1	500
5b59862535af16000164960a	190810	1	practice	slash	3	square	local	LVF	yes	present	1	990
5b59862535af16000164960a	194146	1	practice	slash	4	rectangle	global	LVF	yes	present	1	830
5b59862535af16000164960a	197575	1	practice	slash	5	square	global	RVF	yes	present	1	948
5b59862535af16000164960a	200424	1	practice	slash	6	rectangle	local	RVF	yes	present	1	737
5b59862535af16000164960a	203225	1	practice	slash	7	square	local	LVF	yes	present	1	824
5b59862535af16000164960a	207212	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	211223	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	214073	1	practice	slash	10	rectangle	global	RVF	yes	present	1	690
5b59862535af16000164960a	217344	1	practice	slash	11	rectangle	local	RVF	yes	present	1	1016
5b59862535af16000164960a	220289	1	practice	slash	12	rectangle	local	RVF	yes	present	1	983
5b59862535af16000164960a	224435	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	228479	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	231446	1	practice	slash	15	square	global	LVF	yes	present	1	1024
5b59862535af16000164960a	234732	1	practice	slash	16	rectangle	global	RVF	yes	present	1	1000
5b59862535af16000164960a	241061	2	main	slash	1	rectangle	global	RVF	yes	present	1	892
5b59862535af16000164960a	243547	2	main	slash	2	square	local	LVF	yes	present	1	981
5b59862535af16000164960a	246092	2	main	slash	3	square	global	LVF	yes	present	1	930
5b59862535af16000164960a	248323	2	main	slash	4	rectangle	local	LVF	yes	present	1	915
5b59862535af16000164960a	250454	2	main	slash	5	rectangle	global	LVF	yes	present	1	933
5b59862535af16000164960a	253585	2	main	slash	6	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	256630	2	main	slash	7	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	258334	2	main	slash	8	rectangle	global	LVF	yes	present	1	709
5b59862535af16000164960a	260681	2	main	slash	9	rectangle	local	RVF	yes	present	1	993
5b59862535af16000164960a	263768	2	main	slash	10	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	265489	2	main	slash	11	square	local	LVF	yes	present	1	726
5b59862535af16000164960a	267647	2	main	slash	12	rectangle	local	LVF	yes	present	1	837
5b59862535af16000164960a	269785	2	main	slash	13	rectangle	global	LVF	yes	present	1	861
5b59862535af16000164960a	271673	2	main	slash	14	square	local	RVF	yes	present	1	786
5b59862535af16000164960a	274750	2	main	slash	15	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	276392	2	main	slash	16	rectangle	global	RVF	yes	present	1	629
5b59862535af16000164960a	279576	2	main	slash	17	rectangle	global	RVF	yes	absent	0	2000
5b59862535af16000164960a	281771	2	main	slash	18	rectangle	local	LVF	yes	present	1	850
5b59862535af16000164960a	283696	2	main	slash	19	square	local	LVF	yes	present	1	878
5b59862535af16000164960a	286698	2	main	slash	20	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	289810	2	main	slash	21	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	292062	2	main	slash	22	square	global	RVF	yes	present	1	908
5b59862535af16000164960a	294385	2	main	slash	23	square	global	RVF	yes	present	1	1018
5b59862535af16000164960a	296560	2	main	slash	24	absent	absent	absent	no	present	0	1129
5b59862535af16000164960a	298531	2	main	slash	25	square	local	RVF	yes	present	1	970
5b59862535af16000164960a	300482	2	main	slash	26	square	global	LVF	yes	present	1	958
5b59862535af16000164960a	303504	2	main	slash	27	absent	absent	absent	no	absent	1	2000
5b59862535af16000164960a	305344	2	main	slash	28	square	global	LVF	yes	present	1	711
5b59862535af16000164960a	307352	2	main	slash	29	rectangle	local	RVF	yes	present	1	1005
5b59862535af16000164960a	309164	2	main	slash	30	rectangle	global	LVF	yes	present	1	770
5b59862535af16000164960a	311125	2	main	slash	31	square	local	RVF	yes	present	1	935
5b59862535af16000164960a	313019	2	main	slash	32	square	local	RVF	yes	present	1	931
5b59862535af16000164960a	314839	2	main	slash	33	square	global	RVF	yes	present	1	822
5b59862535af16000164960a	316683	2	main	slash	34	rectangle	local	LVF	yes	present	1	852
5b59862535af16000164960a	318511	2	main	slash	35	square	global	LVF	yes	present	1	833
5b59862535af16000164960a	320303	2	main	slash	36	square	local	LVF	yes	present	1	844
5b59862535af16000164960a	322128	2	main	slash	37	rectangle	global	RVF	yes	present	1	920
5b59862535af16000164960a	324048	2	main	slash	38	rectangle	local	RVF	yes	present	1	978
5b59862535af16000164960a	326117	2	main	slash	39	rectangle	local	RVF	yes	present	1	1150
5b59862535af16000164960a	327988	2	main	slash	40	square	global	RVF	yes	present	1	958
5b59862535af16000164960a	329773	2	main	slash	41	square	local	RVF	yes	present	1	845
5b59862535af16000164960a	331609	2	main	slash	42	square	local	LVF	yes	present	1	902
5b59862535af16000164960a	333499	2	main	slash	43	rectangle	local	RVF	yes	present	1	961
5b59862535af16000164960a	335386	2	main	slash	44	rectangle	local	LVF	yes	present	1	984
5b59862535af16000164960a	337068	2	main	slash	45	square	global	RVF	yes	present	1	769
5b59862535af16000164960a	338835	2	main	slash	46	rectangle	local	RVF	yes	present	1	822
5b59862535af16000164960a	341876	2	main	slash	47	absent	absent	absent	no	absent	1	2000
