subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5bbc18010cb04c00015025ce	993250	9.5	practice	z	1	rectangle	global	LVF	yes	present	1	535
5bbc18010cb04c00015025ce	997236	9.5	practice	z	2	square	global	LVF	yes	present	1	586
5bbc18010cb04c00015025ce	1001569	9.5	practice	z	3	absent	absent	absent	no	absent	1	2000
5bbc18010cb04c00015025ce	1004952	9.5	practice	z	4	square	global	LVF	yes	present	1	913
5bbc18010cb04c00015025ce	1010422	9.5	practice	z	5	rectangle	local	RVF	yes	absent	0	2000
5bbc18010cb04c00015025ce	1013674	9.5	practice	z	6	absent	absent	absent	no	present	0	1001
5bbc18010cb04c00015025ce	1017114	9.5	practice	z	7	square	global	RVF	yes	present	1	909
5bbc18010cb04c00015025ce	1020199	9.5	practice	z	8	rectangle	global	LVF	yes	present	1	848
5bbc18010cb04c00015025ce	1024500	9.5	practice	z	9	absent	absent	absent	no	absent	1	2000
5bbc18010cb04c00015025ce	1028869	9.5	practice	z	10	square	local	LVF	yes	absent	0	2000
5bbc18010cb04c00015025ce	1033105	9.5	practice	z	11	absent	absent	absent	no	absent	1	2000
5bbc18010cb04c00015025ce	1036717	9.5	practice	z	12	rectangle	global	RVF	yes	present	1	830
5bbc18010cb04c00015025ce	1039715	9.5	practice	z	13	rectangle	global	RVF	yes	present	1	810
5bbc18010cb04c00015025ce	1042938	9.5	practice	z	14	rectangle	local	RVF	yes	present	1	820
5bbc18010cb04c00015025ce	1045907	9.5	practice	z	15	rectangle	local	RVF	yes	present	1	819
5bbc18010cb04c00015025ce	1049142	9.5	practice	z	16	square	local	LVF	yes	present	1	985
5bbc18010cb04c00015025ce	1058454	10.5	main	z	1	square	local	LVF	yes	present	1	639
5bbc18010cb04c00015025ce	1061420	10.5	main	z	2	absent	absent	absent	no	present	0	719
5bbc18010cb04c00015025ce	1063334	10.5	main	z	3	rectangle	global	RVF	yes	present	1	684
5bbc18010cb04c00015025ce	1065059	10.5	main	z	4	rectangle	global	RVF	yes	present	1	610
5bbc18010cb04c00015025ce	1067128	10.5	main	z	5	absent	absent	absent	no	present	0	996
5bbc18010cb04c00015025ce	1069561	10.5	main	z	6	square	global	RVF	yes	present	1	912
5bbc18010cb04c00015025ce	1072256	10.5	main	z	7	square	local	RVF	yes	present	1	1038
5bbc18010cb04c00015025ce	1074658	10.5	main	z	8	square	global	LVF	yes	present	1	974
5bbc18010cb04c00015025ce	1077091	10.5	main	z	9	square	global	RVF	yes	present	1	1107
5bbc18010cb04c00015025ce	1079537	10.5	main	z	10	rectangle	global	LVF	yes	present	1	1035
5bbc18010cb04c00015025ce	1082462	10.5	main	z	11	rectangle	local	RVF	yes	present	1	1011
5bbc18010cb04c00015025ce	1087318	10.5	main	z	12	square	local	LVF	yes	absent	0	2000
5bbc18010cb04c00015025ce	1090501	10.5	main	z	13	rectangle	local	RVF	yes	absent	0	2000
5bbc18010cb04c00015025ce	1092352	10.5	main	z	14	square	global	RVF	yes	present	1	850
5bbc18010cb04c00015025ce	1094624	10.5	main	z	15	rectangle	local	RVF	yes	present	1	925
5bbc18010cb04c00015025ce	1096788	10.5	main	z	16	rectangle	global	RVF	yes	present	1	757
5bbc18010cb04c00015025ce	1099274	10.5	main	z	17	square	local	RVF	yes	present	1	1056
5bbc18010cb04c00015025ce	1101286	10.5	main	z	18	rectangle	local	LVF	yes	present	1	950
5bbc18010cb04c00015025ce	1103305	10.5	main	z	19	square	local	RVF	yes	present	1	1020
5bbc18010cb04c00015025ce	1105360	10.5	main	z	20	absent	absent	absent	no	present	0	1057
5bbc18010cb04c00015025ce	1107402	10.5	main	z	21	square	global	LVF	yes	present	1	935
5bbc18010cb04c00015025ce	1110385	10.5	main	z	22	absent	absent	absent	no	absent	1	2000
5bbc18010cb04c00015025ce	1112756	10.5	main	z	23	square	local	LVF	yes	present	1	854
5bbc18010cb04c00015025ce	1114879	10.5	main	z	24	rectangle	global	LVF	yes	present	1	944
5bbc18010cb04c00015025ce	1117544	10.5	main	z	25	absent	absent	absent	no	present	0	1191
5bbc18010cb04c00015025ce	1121451	10.5	main	z	26	absent	absent	absent	no	absent	1	2000
5bbc18010cb04c00015025ce	1124467	10.5	main	z	27	rectangle	local	LVF	yes	absent	0	2000
5bbc18010cb04c00015025ce	1127383	10.5	main	z	28	square	local	RVF	yes	absent	0	2000
5bbc18010cb04c00015025ce	1129181	10.5	main	z	29	rectangle	global	LVF	yes	present	1	847
5bbc18010cb04c00015025ce	1131205	10.5	main	z	30	rectangle	local	RVF	yes	present	1	774
5bbc18010cb04c00015025ce	1133179	10.5	main	z	31	square	global	LVF	yes	present	1	878
5bbc18010cb04c00015025ce	1136351	10.5	main	z	32	absent	absent	absent	no	absent	1	2000
5bbc18010cb04c00015025ce	1138765	10.5	main	z	33	rectangle	local	LVF	yes	present	1	896
5bbc18010cb04c00015025ce	1140843	10.5	main	z	34	absent	absent	absent	no	present	0	908
5bbc18010cb04c00015025ce	1142884	10.5	main	z	35	square	global	LVF	yes	present	1	916
5bbc18010cb04c00015025ce	1144978	10.5	main	z	36	rectangle	global	RVF	yes	present	1	1042
