subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5c707693db12e3000146b16d	842687	9.5	practice	z	1	square	global	LVF	yes	present	1	797
5c707693db12e3000146b16d	847109	9.5	practice	z	2	absent	absent	absent	no	absent	1	2000
5c707693db12e3000146b16d	850833	9.5	practice	z	3	rectangle	local	RVF	yes	present	1	1290
5c707693db12e3000146b16d	854264	9.5	practice	z	4	rectangle	global	LVF	yes	present	1	1120
5c707693db12e3000146b16d	859382	9.5	practice	z	5	rectangle	global	LVF	yes	present	1	1236
5c707693db12e3000146b16d	862834	9.5	practice	z	6	rectangle	local	RVF	yes	present	1	1138
5c707693db12e3000146b16d	867250	9.5	practice	z	7	square	local	LVF	yes	absent	0	2000
5c707693db12e3000146b16d	870724	9.5	practice	z	8	square	local	LVF	yes	present	1	1207
5c707693db12e3000146b16d	873950	9.5	practice	z	9	rectangle	global	RVF	yes	present	1	998
5c707693db12e3000146b16d	877543	9.5	practice	z	10	rectangle	local	RVF	yes	present	1	1291
5c707693db12e3000146b16d	880578	9.5	practice	z	11	square	global	LVF	yes	present	1	908
5c707693db12e3000146b16d	884506	9.5	practice	z	12	absent	absent	absent	no	absent	1	2000
5c707693db12e3000146b16d	889792	9.5	practice	z	13	absent	absent	absent	no	absent	1	2000
5c707693db12e3000146b16d	892834	9.5	practice	z	14	square	global	RVF	yes	present	1	1025
5c707693db12e3000146b16d	896216	9.5	practice	z	15	rectangle	global	RVF	yes	present	1	1122
5c707693db12e3000146b16d	900478	9.5	practice	z	16	absent	absent	absent	no	absent	1	2000
5c707693db12e3000146b16d	909924	10.5	main	z	1	rectangle	global	RVF	yes	present	1	844
5c707693db12e3000146b16d	913498	10.5	main	z	2	absent	absent	absent	no	absent	1	2000
5c707693db12e3000146b16d	916142	10.5	main	z	3	rectangle	local	RVF	yes	present	1	1309
5c707693db12e3000146b16d	920038	10.5	main	z	4	rectangle	local	RVF	yes	present	1	1054
5c707693db12e3000146b16d	922843	10.5	main	z	5	rectangle	global	RVF	yes	present	1	908
5c707693db12e3000146b16d	925637	10.5	main	z	6	rectangle	global	LVF	yes	present	1	717
5c707693db12e3000146b16d	928570	10.5	main	z	7	rectangle	local	RVF	yes	present	1	799
5c707693db12e3000146b16d	930668	10.5	main	z	8	square	global	LVF	yes	present	1	613
5c707693db12e3000146b16d	933038	10.5	main	z	9	square	local	LVF	yes	present	1	915
5c707693db12e3000146b16d	935658	10.5	main	z	10	square	global	LVF	yes	present	1	1035
5c707693db12e3000146b16d	938114	10.5	main	z	11	rectangle	local	LVF	yes	present	1	1289
5c707693db12e3000146b16d	940508	10.5	main	z	12	rectangle	global	LVF	yes	present	1	1182
5c707693db12e3000146b16d	942737	10.5	main	z	13	square	local	LVF	yes	present	1	1161
5c707693db12e3000146b16d	944871	10.5	main	z	14	rectangle	local	RVF	yes	present	1	1077
5c707693db12e3000146b16d	946952	10.5	main	z	15	rectangle	global	RVF	yes	present	1	1090
5c707693db12e3000146b16d	949067	10.5	main	z	16	rectangle	local	LVF	yes	present	1	1188
5c707693db12e3000146b16d	951996	10.5	main	z	17	square	global	RVF	yes	absent	0	2000
5c707693db12e3000146b16d	954804	10.5	main	z	18	square	local	RVF	yes	present	1	1256
5c707693db12e3000146b16d	956797	10.5	main	z	19	square	local	LVF	yes	present	1	1133
