subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ca3ccae7958d0001689df68	995506	9.5	practice	slash	1	absent	absent	absent	no	present	0	1169
5ca3ccae7958d0001689df68	1000315	9.5	practice	slash	2	absent	absent	absent	no	absent	1	2000
5ca3ccae7958d0001689df68	1003871	9.5	practice	slash	3	rectangle	local	RVF	yes	present	1	938
5ca3ccae7958d0001689df68	1006649	9.5	practice	slash	4	square	local	LVF	yes	present	1	511
5ca3ccae7958d0001689df68	1009415	9.5	practice	slash	5	square	global	LVF	yes	present	1	613
5ca3ccae7958d0001689df68	1013440	9.5	practice	slash	6	absent	absent	absent	no	absent	1	2000
5ca3ccae7958d0001689df68	1016392	9.5	practice	slash	7	square	global	LVF	yes	present	1	683
5ca3ccae7958d0001689df68	1019339	9.5	practice	slash	8	rectangle	local	RVF	yes	present	1	841
5ca3ccae7958d0001689df68	1023541	9.5	practice	slash	9	absent	absent	absent	no	absent	1	2000
5ca3ccae7958d0001689df68	1026269	9.5	practice	slash	10	rectangle	global	LVF	yes	present	1	603
5ca3ccae7958d0001689df68	1029096	9.5	practice	slash	11	rectangle	local	RVF	yes	present	1	505
5ca3ccae7958d0001689df68	1031849	9.5	practice	slash	12	rectangle	global	RVF	yes	present	1	662
5ca3ccae7958d0001689df68	1034150	9.5	practice	slash	13	rectangle	global	RVF	yes	present	1	428
5ca3ccae7958d0001689df68	1036558	9.5	practice	slash	14	square	global	RVF	yes	present	1	434
5ca3ccae7958d0001689df68	1038855	9.5	practice	slash	15	rectangle	global	LVF	yes	present	1	382
5ca3ccae7958d0001689df68	1041310	9.5	practice	slash	16	square	local	LVF	yes	present	1	575
5ca3ccae7958d0001689df68	1059307	10.5	main	slash	1	rectangle	global	LVF	yes	present	1	438
5ca3ccae7958d0001689df68	1060998	10.5	main	slash	2	rectangle	global	RVF	yes	present	1	383
5ca3ccae7958d0001689df68	1062479	10.5	main	slash	3	rectangle	global	LVF	yes	present	1	385
5ca3ccae7958d0001689df68	1063889	10.5	main	slash	4	square	global	LVF	yes	present	1	385
5ca3ccae7958d0001689df68	1065245	10.5	main	slash	5	square	local	RVF	yes	present	1	388
5ca3ccae7958d0001689df68	1066667	10.5	main	slash	6	rectangle	local	LVF	yes	present	1	430
5ca3ccae7958d0001689df68	1068114	10.5	main	slash	7	rectangle	local	RVF	yes	present	1	551
5ca3ccae7958d0001689df68	1069443	10.5	main	slash	8	rectangle	global	RVF	yes	present	1	407
