subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5cc48c234bb96d00018a8bfe	1260879	9.5	practice	z	1	square	global	RVF	yes	present	1	529
5cc48c234bb96d00018a8bfe	1263606	9.5	practice	z	2	square	global	LVF	yes	present	1	248
5cc48c234bb96d00018a8bfe	1266250	9.5	practice	z	3	rectangle	global	RVF	yes	present	1	435
5cc48c234bb96d00018a8bfe	1268748	9.5	practice	z	4	absent	absent	absent	no	present	0	393
5cc48c234bb96d00018a8bfe	1271066	9.5	practice	z	5	rectangle	global	LVF	yes	present	1	220
5cc48c234bb96d00018a8bfe	1275216	9.5	practice	z	6	square	global	LVF	yes	absent	0	2000
5cc48c234bb96d00018a8bfe	1277882	9.5	practice	z	7	square	local	LVF	yes	present	1	335
5cc48c234bb96d00018a8bfe	1280469	9.5	practice	z	8	square	local	LVF	yes	present	1	231
5cc48c234bb96d00018a8bfe	1282594	9.5	practice	z	9	rectangle	global	LVF	yes	present	1	117
5cc48c234bb96d00018a8bfe	1285024	9.5	practice	z	10	rectangle	local	RVF	yes	present	1	224
5cc48c234bb96d00018a8bfe	1287411	9.5	practice	z	11	rectangle	global	RVF	yes	present	1	223
5cc48c234bb96d00018a8bfe	1290588	9.5	practice	z	12	rectangle	local	RVF	yes	present	1	360
5cc48c234bb96d00018a8bfe	1294072	9.5	practice	z	13	absent	absent	absent	no	present	0	382
5cc48c234bb96d00018a8bfe	1297071	9.5	practice	z	14	absent	absent	absent	no	present	0	239
5cc48c234bb96d00018a8bfe	1299753	9.5	practice	z	15	rectangle	local	RVF	yes	present	1	232
5cc48c234bb96d00018a8bfe	1302324	9.5	practice	z	16	absent	absent	absent	no	present	0	227
5cc48c234bb96d00018a8bfe	1310773	10.5	main	z	1	rectangle	local	RVF	yes	present	1	522
5cc48c234bb96d00018a8bfe	1312809	10.5	main	z	2	square	local	RVF	yes	present	1	319
5cc48c234bb96d00018a8bfe	1314520	10.5	main	z	3	rectangle	global	RVF	yes	present	1	225
5cc48c234bb96d00018a8bfe	1316351	10.5	main	z	4	rectangle	local	RVF	yes	present	1	216
5cc48c234bb96d00018a8bfe	1318793	10.5	main	z	5	absent	absent	absent	no	present	0	886
5cc48c234bb96d00018a8bfe	1320309	10.5	main	z	6	absent	absent	absent	no	present	0	112
5cc48c234bb96d00018a8bfe	1322960	10.5	main	z	7	rectangle	global	RVF	yes	present	1	58
5cc48c234bb96d00018a8bfe	1324731	10.5	main	z	8	square	local	LVF	yes	present	1	224
5cc48c234bb96d00018a8bfe	1326955	10.5	main	z	9	rectangle	global	LVF	yes	present	1	644
5cc48c234bb96d00018a8bfe	1328987	10.5	main	z	10	absent	absent	absent	no	present	0	638
5cc48c234bb96d00018a8bfe	1332088	10.5	main	z	11	square	global	LVF	yes	present	1	195
5cc48c234bb96d00018a8bfe	1335887	10.5	main	z	12	square	local	LVF	yes	present	1	101
5cc48c234bb96d00018a8bfe	1339756	10.5	main	z	13	absent	absent	absent	no	present	0	1428
5cc48c234bb96d00018a8bfe	1342042	10.5	main	z	14	square	local	RVF	yes	present	1	222
5cc48c234bb96d00018a8bfe	1344941	10.5	main	z	15	rectangle	local	RVF	yes	present	1	330
5cc48c234bb96d00018a8bfe	1346912	10.5	main	z	16	absent	absent	absent	no	present	0	245
5cc48c234bb96d00018a8bfe	1348918	10.5	main	z	17	rectangle	local	LVF	yes	present	1	615
5cc48c234bb96d00018a8bfe	1350718	10.5	main	z	18	rectangle	global	LVF	yes	present	1	241
5cc48c234bb96d00018a8bfe	1354596	10.5	main	z	19	absent	absent	absent	no	absent	1	2000
5cc48c234bb96d00018a8bfe	1356663	10.5	main	z	20	square	global	RVF	yes	present	1	337
5cc48c234bb96d00018a8bfe	1358179	10.5	main	z	21	rectangle	global	LVF	yes	present	1	316
5cc48c234bb96d00018a8bfe	1359467	10.5	main	z	22	square	local	RVF	yes	present	1	184
5cc48c234bb96d00018a8bfe	1360836	10.5	main	z	23	square	global	RVF	yes	present	1	184
