subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e126c25a98a7a8fab258f14	166241	1	practice	z	1	rectangle	local	RVF	yes	present	1	1206
5e126c25a98a7a8fab258f14	171636	1	practice	z	2	rectangle	global	RVF	yes	absent	0	2000
5e126c25a98a7a8fab258f14	175362	1	practice	z	3	rectangle	local	RVF	yes	present	1	1428
5e126c25a98a7a8fab258f14	179965	1	practice	z	4	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	182992	1	practice	z	5	rectangle	local	RVF	yes	present	1	741
5e126c25a98a7a8fab258f14	186144	1	practice	z	6	square	local	LVF	yes	present	1	443
5e126c25a98a7a8fab258f14	190168	1	practice	z	7	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	192419	1	practice	z	8	rectangle	global	LVF	yes	present	1	369
5e126c25a98a7a8fab258f14	195205	1	practice	z	9	absent	absent	absent	no	present	0	590
5e126c25a98a7a8fab258f14	199432	1	practice	z	10	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	201812	1	practice	z	11	square	local	LVF	yes	present	1	494
5e126c25a98a7a8fab258f14	204911	1	practice	z	12	rectangle	global	LVF	yes	present	1	1160
5e126c25a98a7a8fab258f14	207530	1	practice	z	13	square	global	LVF	yes	present	1	612
5e126c25a98a7a8fab258f14	210237	1	practice	z	14	square	global	RVF	yes	present	1	787
5e126c25a98a7a8fab258f14	212736	1	practice	z	15	square	global	LVF	yes	present	1	520
5e126c25a98a7a8fab258f14	215336	1	practice	z	16	rectangle	global	RVF	yes	present	1	619
5e126c25a98a7a8fab258f14	232454	2	main	z	1	rectangle	global	RVF	yes	present	1	906
5e126c25a98a7a8fab258f14	237182	2	main	z	2	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	239185	2	main	z	3	rectangle	local	RVF	yes	present	1	1085
5e126c25a98a7a8fab258f14	241007	2	main	z	4	rectangle	global	RVF	yes	present	1	641
5e126c25a98a7a8fab258f14	244232	2	main	z	5	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	245877	2	main	z	6	square	global	RVF	yes	present	1	745
5e126c25a98a7a8fab258f14	247716	2	main	z	7	square	global	LVF	yes	present	1	569
5e126c25a98a7a8fab258f14	249250	2	main	z	8	rectangle	global	LVF	yes	present	1	501
5e126c25a98a7a8fab258f14	250633	2	main	z	9	square	global	RVF	yes	present	1	419
5e126c25a98a7a8fab258f14	251970	2	main	z	10	rectangle	global	LVF	yes	present	1	355
5e126c25a98a7a8fab258f14	254998	2	main	z	11	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	256220	2	main	z	12	square	global	LVF	yes	present	1	339
5e126c25a98a7a8fab258f14	257950	2	main	z	13	rectangle	local	LVF	yes	present	1	702
5e126c25a98a7a8fab258f14	259645	2	main	z	14	rectangle	local	RVF	yes	present	1	514
5e126c25a98a7a8fab258f14	261271	2	main	z	15	rectangle	local	RVF	yes	present	1	623
5e126c25a98a7a8fab258f14	263749	2	main	z	16	square	global	LVF	yes	present	1	1483
5e126c25a98a7a8fab258f14	266748	2	main	z	17	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	269469	2	main	z	18	rectangle	local	LVF	yes	present	1	1620
5e126c25a98a7a8fab258f14	271334	2	main	z	19	square	local	RVF	yes	present	1	903
5e126c25a98a7a8fab258f14	274232	2	main	z	20	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	276553	2	main	z	21	absent	absent	absent	no	present	0	1153
5e126c25a98a7a8fab258f14	278409	2	main	z	22	square	global	LVF	yes	present	1	860
5e126c25a98a7a8fab258f14	279934	2	main	z	23	square	global	RVF	yes	present	1	537
5e126c25a98a7a8fab258f14	281311	2	main	z	24	square	global	RVF	yes	present	1	463
5e126c25a98a7a8fab258f14	284216	2	main	z	25	absent	absent	absent	no	absent	1	2000
5e126c25a98a7a8fab258f14	285883	2	main	z	26	rectangle	local	RVF	yes	present	1	667
5e126c25a98a7a8fab258f14	287748	2	main	z	27	square	local	LVF	yes	present	1	782
5e126c25a98a7a8fab258f14	289842	2	main	z	28	square	local	LVF	yes	present	1	1126
5e126c25a98a7a8fab258f14	291633	2	main	z	29	rectangle	local	LVF	yes	present	1	750
5e126c25a98a7a8fab258f14	293456	2	main	z	30	absent	absent	absent	no	present	0	874
5e126c25a98a7a8fab258f14	296547	2	main	z	31	rectangle	local	LVF	yes	absent	0	2000
5e126c25a98a7a8fab258f14	298110	2	main	z	32	rectangle	global	RVF	yes	present	1	646
5e126c25a98a7a8fab258f14	299767	2	main	z	33	square	local	LVF	yes	present	1	636
5e126c25a98a7a8fab258f14	301295	2	main	z	34	square	local	RVF	yes	present	1	630
5e126c25a98a7a8fab258f14	302770	2	main	z	35	rectangle	global	RVF	yes	present	1	622
5e126c25a98a7a8fab258f14	304521	2	main	z	36	square	local	LVF	yes	present	1	822
5e126c25a98a7a8fab258f14	305898	2	main	z	37	rectangle	global	LVF	yes	present	1	501
5e126c25a98a7a8fab258f14	307514	2	main	z	38	rectangle	global	LVF	yes	present	1	749
5e126c25a98a7a8fab258f14	309364	2	main	z	39	square	local	RVF	yes	present	1	999
