subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e4192083514ba02bc057574	307065	1	practice	z	1	rectangle	global	LVF	yes	absent	0	2000
5e4192083514ba02bc057574	312051	1	practice	z	2	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	316258	1	practice	z	3	square	local	LVF	yes	present	1	1202
5e4192083514ba02bc057574	320878	1	practice	z	4	rectangle	local	RVF	yes	present	1	967
5e4192083514ba02bc057574	325558	1	practice	z	5	rectangle	local	RVF	yes	absent	0	2000
5e4192083514ba02bc057574	329421	1	practice	z	6	square	local	LVF	yes	present	1	1137
5e4192083514ba02bc057574	333817	1	practice	z	7	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	338371	1	practice	z	8	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	342869	1	practice	z	9	square	global	LVF	yes	absent	0	2000
5e4192083514ba02bc057574	346652	1	practice	z	10	rectangle	global	RVF	yes	present	1	1374
5e4192083514ba02bc057574	349974	1	practice	z	11	rectangle	global	LVF	yes	present	1	997
5e4192083514ba02bc057574	353146	1	practice	z	12	rectangle	local	RVF	yes	present	1	880
5e4192083514ba02bc057574	356827	1	practice	z	13	rectangle	global	RVF	yes	present	1	1529
5e4192083514ba02bc057574	361217	1	practice	z	14	absent	absent	absent	no	present	0	1143
5e4192083514ba02bc057574	364904	1	practice	z	15	square	global	RVF	yes	present	1	1348
5e4192083514ba02bc057574	368348	1	practice	z	16	square	global	LVF	yes	present	1	1037
5e4192083514ba02bc057574	465383	2	main	z	1	rectangle	global	RVF	yes	present	1	1126
5e4192083514ba02bc057574	467986	2	main	z	2	square	global	LVF	yes	present	1	398
5e4192083514ba02bc057574	470867	2	main	z	3	square	global	RVF	yes	present	1	546
5e4192083514ba02bc057574	474653	2	main	z	4	rectangle	local	RVF	yes	absent	0	2000
5e4192083514ba02bc057574	476726	2	main	z	5	rectangle	global	LVF	yes	present	1	408
5e4192083514ba02bc057574	479364	2	main	z	6	rectangle	global	LVF	yes	present	1	396
5e4192083514ba02bc057574	481748	2	main	z	7	rectangle	global	RVF	yes	present	1	532
5e4192083514ba02bc057574	485699	2	main	z	8	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	487915	2	main	z	9	square	local	RVF	yes	present	1	733
5e4192083514ba02bc057574	490249	2	main	z	10	square	global	RVF	yes	present	1	718
5e4192083514ba02bc057574	492632	2	main	z	11	absent	absent	absent	no	present	0	735
5e4192083514ba02bc057574	494972	2	main	z	12	rectangle	global	LVF	yes	present	1	625
5e4192083514ba02bc057574	497230	2	main	z	13	square	global	LVF	yes	present	1	386
5e4192083514ba02bc057574	499687	2	main	z	14	rectangle	local	RVF	yes	present	1	693
5e4192083514ba02bc057574	503160	2	main	z	15	rectangle	local	LVF	yes	absent	0	2000
5e4192083514ba02bc057574	505444	2	main	z	16	square	local	LVF	yes	present	1	717
5e4192083514ba02bc057574	507676	2	main	z	17	square	local	LVF	yes	present	1	935
5e4192083514ba02bc057574	511057	2	main	z	18	rectangle	local	LVF	yes	absent	0	2000
5e4192083514ba02bc057574	513135	2	main	z	19	rectangle	local	LVF	yes	present	1	779
5e4192083514ba02bc057574	515284	2	main	z	20	square	local	LVF	yes	present	1	878
5e4192083514ba02bc057574	517403	2	main	z	21	square	global	RVF	yes	present	1	748
5e4192083514ba02bc057574	519805	2	main	z	22	rectangle	local	RVF	yes	present	1	935
5e4192083514ba02bc057574	523153	2	main	z	23	square	local	LVF	yes	absent	0	2000
5e4192083514ba02bc057574	525010	2	main	z	24	rectangle	global	RVF	yes	present	1	482
5e4192083514ba02bc057574	528601	2	main	z	25	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	531210	2	main	z	26	square	global	RVF	yes	present	1	493
5e4192083514ba02bc057574	533518	2	main	z	27	rectangle	local	LVF	yes	present	1	785
5e4192083514ba02bc057574	535586	2	main	z	28	rectangle	global	LVF	yes	present	1	654
5e4192083514ba02bc057574	538024	2	main	z	29	square	local	RVF	yes	present	1	727
5e4192083514ba02bc057574	541480	2	main	z	30	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	543239	2	main	z	31	square	global	LVF	yes	present	1	427
5e4192083514ba02bc057574	545952	2	main	z	32	rectangle	local	RVF	yes	present	1	940
5e4192083514ba02bc057574	547837	2	main	z	33	square	global	LVF	yes	present	1	510
5e4192083514ba02bc057574	549975	2	main	z	34	square	local	RVF	yes	present	1	448
5e4192083514ba02bc057574	553359	2	main	z	35	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	557091	2	main	z	36	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	561240	2	main	z	37	square	local	RVF	yes	absent	0	2000
5e4192083514ba02bc057574	564272	2	main	z	38	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	565939	2	main	z	39	rectangle	global	RVF	yes	present	1	668
5e4192083514ba02bc057574	569370	2	main	z	40	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	571431	2	main	z	41	square	local	RVF	yes	present	1	795
5e4192083514ba02bc057574	575135	2	main	z	42	rectangle	local	RVF	yes	absent	0	2000
5e4192083514ba02bc057574	577226	2	main	z	43	square	local	RVF	yes	present	1	810
5e4192083514ba02bc057574	579460	2	main	z	44	square	local	LVF	yes	present	1	677
5e4192083514ba02bc057574	582647	2	main	z	45	rectangle	local	LVF	yes	present	1	914
5e4192083514ba02bc057574	586197	2	main	z	46	absent	absent	absent	no	absent	1	2000
5e4192083514ba02bc057574	589980	2	main	z	47	square	global	RVF	yes	absent	0	2000
