subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e60db57fdef8001c1fdc6f7	148097	1	practice	z	1	square	global	LVF	yes	present	1	642
5e60db57fdef8001c1fdc6f7	152249	1	practice	z	2	rectangle	global	RVF	yes	present	1	344
5e60db57fdef8001c1fdc6f7	156872	1	practice	z	3	square	local	LVF	yes	absent	0	2000
5e60db57fdef8001c1fdc6f7	160471	1	practice	z	4	square	global	RVF	yes	present	1	550
5e60db57fdef8001c1fdc6f7	163304	1	practice	z	5	rectangle	global	LVF	yes	present	1	516
5e60db57fdef8001c1fdc6f7	167520	1	practice	z	6	rectangle	global	LVF	yes	absent	0	2000
5e60db57fdef8001c1fdc6f7	171623	1	practice	z	7	square	global	LVF	yes	present	1	770
5e60db57fdef8001c1fdc6f7	175335	1	practice	z	8	rectangle	local	RVF	yes	present	1	582
5e60db57fdef8001c1fdc6f7	179403	1	practice	z	9	absent	absent	absent	no	absent	1	2000
5e60db57fdef8001c1fdc6f7	182247	1	practice	z	10	square	local	LVF	yes	present	1	793
5e60db57fdef8001c1fdc6f7	185951	1	practice	z	11	rectangle	local	RVF	yes	present	1	948
5e60db57fdef8001c1fdc6f7	188855	1	practice	z	12	rectangle	global	RVF	yes	present	1	734
5e60db57fdef8001c1fdc6f7	191632	1	practice	z	13	rectangle	local	RVF	yes	present	1	778
5e60db57fdef8001c1fdc6f7	195754	1	practice	z	14	absent	absent	absent	no	absent	1	2000
5e60db57fdef8001c1fdc6f7	199722	1	practice	z	15	absent	absent	absent	no	absent	1	2000
5e60db57fdef8001c1fdc6f7	204257	1	practice	z	16	absent	absent	absent	no	present	0	1252
5e60db57fdef8001c1fdc6f7	216536	2	main	z	1	rectangle	global	RVF	yes	present	1	482
5e60db57fdef8001c1fdc6f7	220386	2	main	z	2	absent	absent	absent	no	absent	1	2000
5e60db57fdef8001c1fdc6f7	222230	2	main	z	3	square	global	RVF	yes	present	1	595
5e60db57fdef8001c1fdc6f7	224207	2	main	z	4	rectangle	global	LVF	yes	present	1	538
5e60db57fdef8001c1fdc6f7	227336	2	main	z	5	absent	absent	absent	no	absent	1	2000
5e60db57fdef8001c1fdc6f7	229031	2	main	z	6	rectangle	global	RVF	yes	present	1	562
5e60db57fdef8001c1fdc6f7	231103	2	main	z	7	square	local	RVF	yes	present	1	767
