subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e872f5b3a32c337ba65aa68	935126	9.5	practice	z	1	square	global	LVF	yes	present	1	555
5e872f5b3a32c337ba65aa68	941855	9.5	practice	z	2	square	local	LVF	yes	absent	0	2000
5e872f5b3a32c337ba65aa68	946603	9.5	practice	z	3	square	local	LVF	yes	absent	0	2000
5e872f5b3a32c337ba65aa68	953998	9.5	practice	z	4	rectangle	local	RVF	yes	present	1	882
5e872f5b3a32c337ba65aa68	958359	9.5	practice	z	5	rectangle	global	LVF	yes	present	1	1359
5e872f5b3a32c337ba65aa68	961711	9.5	practice	z	6	rectangle	global	LVF	yes	present	1	962
5e872f5b3a32c337ba65aa68	966898	9.5	practice	z	7	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	969759	9.5	practice	z	8	rectangle	global	RVF	yes	present	1	862
5e872f5b3a32c337ba65aa68	973422	9.5	practice	z	9	rectangle	global	RVF	yes	present	1	811
5e872f5b3a32c337ba65aa68	976550	9.5	practice	z	10	square	global	RVF	yes	present	1	640
5e872f5b3a32c337ba65aa68	980967	9.5	practice	z	11	rectangle	local	RVF	yes	present	1	840
5e872f5b3a32c337ba65aa68	984350	9.5	practice	z	12	square	global	LVF	yes	present	1	824
5e872f5b3a32c337ba65aa68	988859	9.5	practice	z	13	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	993274	9.5	practice	z	14	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	996583	9.5	practice	z	15	absent	absent	absent	no	present	0	959
5e872f5b3a32c337ba65aa68	1001662	9.5	practice	z	16	rectangle	local	RVF	yes	present	1	1041
5e872f5b3a32c337ba65aa68	1014435	10.5	main	z	1	square	global	RVF	yes	present	1	587
5e872f5b3a32c337ba65aa68	1019539	10.5	main	z	2	square	global	RVF	yes	present	1	843
5e872f5b3a32c337ba65aa68	1022387	10.5	main	z	3	rectangle	global	LVF	yes	present	1	841
5e872f5b3a32c337ba65aa68	1024715	10.5	main	z	4	rectangle	global	RVF	yes	present	1	703
5e872f5b3a32c337ba65aa68	1027371	10.5	main	z	5	rectangle	local	LVF	yes	present	1	960
5e872f5b3a32c337ba65aa68	1031210	10.5	main	z	6	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	1033563	10.5	main	z	7	rectangle	local	LVF	yes	present	1	837
5e872f5b3a32c337ba65aa68	1036467	10.5	main	z	8	rectangle	global	LVF	yes	present	1	1209
5e872f5b3a32c337ba65aa68	1038907	10.5	main	z	9	square	local	LVF	yes	present	1	933
5e872f5b3a32c337ba65aa68	1042257	10.5	main	z	10	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	1044571	10.5	main	z	11	rectangle	global	RVF	yes	present	1	948
5e872f5b3a32c337ba65aa68	1048006	10.5	main	z	12	square	local	LVF	yes	absent	0	2000
5e872f5b3a32c337ba65aa68	1051588	10.5	main	z	13	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	1054937	10.5	main	z	14	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	1057067	10.5	main	z	15	rectangle	global	LVF	yes	present	1	514
5e872f5b3a32c337ba65aa68	1059443	10.5	main	z	16	square	local	RVF	yes	present	1	874
5e872f5b3a32c337ba65aa68	1062885	10.5	main	z	17	rectangle	local	LVF	yes	absent	0	2000
5e872f5b3a32c337ba65aa68	1065387	10.5	main	z	18	rectangle	local	LVF	yes	present	1	953
5e872f5b3a32c337ba65aa68	1068051	10.5	main	z	19	rectangle	local	RVF	yes	present	1	1234
5e872f5b3a32c337ba65aa68	1070955	10.5	main	z	20	rectangle	local	RVF	yes	present	1	1489
5e872f5b3a32c337ba65aa68	1073027	10.5	main	z	21	rectangle	global	LVF	yes	present	1	762
5e872f5b3a32c337ba65aa68	1074803	10.5	main	z	22	rectangle	global	RVF	yes	present	1	472
5e872f5b3a32c337ba65aa68	1076779	10.5	main	z	23	square	global	LVF	yes	present	1	648
5e872f5b3a32c337ba65aa68	1078699	10.5	main	z	24	rectangle	local	RVF	yes	present	1	669
5e872f5b3a32c337ba65aa68	1080571	10.5	main	z	25	square	global	RVF	yes	present	1	825
5e872f5b3a32c337ba65aa68	1083713	10.5	main	z	26	square	local	LVF	yes	absent	0	2000
5e872f5b3a32c337ba65aa68	1085699	10.5	main	z	27	square	global	RVF	yes	present	1	654
5e872f5b3a32c337ba65aa68	1088139	10.5	main	z	28	square	global	LVF	yes	present	1	728
5e872f5b3a32c337ba65aa68	1090019	10.5	main	z	29	square	local	LVF	yes	present	1	692
5e872f5b3a32c337ba65aa68	1093177	10.5	main	z	30	square	global	LVF	yes	absent	0	2000
5e872f5b3a32c337ba65aa68	1096343	10.5	main	z	31	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	1099542	10.5	main	z	32	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	1101258	10.5	main	z	33	square	local	RVF	yes	present	1	534
5e872f5b3a32c337ba65aa68	1104374	10.5	main	z	34	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	1106138	10.5	main	z	35	square	local	RVF	yes	present	1	515
5e872f5b3a32c337ba65aa68	1108122	10.5	main	z	36	square	global	LVF	yes	present	1	1016
5e872f5b3a32c337ba65aa68	1109962	10.5	main	z	37	square	local	RVF	yes	present	1	757
5e872f5b3a32c337ba65aa68	1111899	10.5	main	z	38	rectangle	global	RVF	yes	present	1	893
5e872f5b3a32c337ba65aa68	1114066	10.5	main	z	39	rectangle	local	RVF	yes	present	1	1095
5e872f5b3a32c337ba65aa68	1117137	10.5	main	z	40	absent	absent	absent	no	absent	1	2000
5e872f5b3a32c337ba65aa68	1118770	10.5	main	z	41	rectangle	global	LVF	yes	present	1	417
5e872f5b3a32c337ba65aa68	1120923	10.5	main	z	42	rectangle	local	LVF	yes	present	1	970
