subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e9b9eaee0e30b0b27983c50	122937	1	practice	z	1	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	128219	1	practice	z	2	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	131303	1	practice	z	3	square	local	LVF	yes	present	1	964
5e9b9eaee0e30b0b27983c50	135096	1	practice	z	4	rectangle	global	RVF	yes	present	1	1575
5e9b9eaee0e30b0b27983c50	138150	1	practice	z	5	square	global	RVF	yes	present	1	894
5e9b9eaee0e30b0b27983c50	141182	1	practice	z	6	square	global	LVF	yes	present	1	843
5e9b9eaee0e30b0b27983c50	144411	1	practice	z	7	square	local	LVF	yes	present	1	1056
5e9b9eaee0e30b0b27983c50	147536	1	practice	z	8	rectangle	local	RVF	yes	present	1	982
5e9b9eaee0e30b0b27983c50	150426	1	practice	z	9	rectangle	local	RVF	yes	present	1	922
5e9b9eaee0e30b0b27983c50	154290	1	practice	z	10	square	global	LVF	yes	present	1	1718
5e9b9eaee0e30b0b27983c50	158320	1	practice	z	11	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	162820	1	practice	z	12	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	166022	1	practice	z	13	rectangle	global	RVF	yes	present	1	999
5e9b9eaee0e30b0b27983c50	169289	1	practice	z	14	rectangle	global	LVF	yes	present	1	1200
5e9b9eaee0e30b0b27983c50	173041	1	practice	z	15	rectangle	local	RVF	yes	present	1	1318
5e9b9eaee0e30b0b27983c50	176278	1	practice	z	16	rectangle	global	LVF	yes	present	1	1006
5e9b9eaee0e30b0b27983c50	200392	2	main	z	1	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	202684	2	main	z	2	rectangle	global	RVF	yes	present	1	861
5e9b9eaee0e30b0b27983c50	205235	2	main	z	3	square	local	RVF	yes	present	1	812
5e9b9eaee0e30b0b27983c50	208871	2	main	z	4	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	210879	2	main	z	5	square	local	LVF	yes	present	1	889
5e9b9eaee0e30b0b27983c50	215637	2	main	z	6	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	217806	2	main	z	7	rectangle	global	LVF	yes	present	1	1000
5e9b9eaee0e30b0b27983c50	220417	2	main	z	8	rectangle	local	RVF	yes	present	1	994
5e9b9eaee0e30b0b27983c50	222987	2	main	z	9	absent	absent	absent	no	present	0	1197
5e9b9eaee0e30b0b27983c50	225403	2	main	z	10	square	global	LVF	yes	present	1	1145
5e9b9eaee0e30b0b27983c50	227745	2	main	z	11	square	local	LVF	yes	present	1	1022
5e9b9eaee0e30b0b27983c50	229993	2	main	z	12	rectangle	global	RVF	yes	present	1	1019
5e9b9eaee0e30b0b27983c50	232462	2	main	z	13	square	local	RVF	yes	present	1	1072
5e9b9eaee0e30b0b27983c50	235291	2	main	z	14	square	global	RVF	yes	present	1	1351
5e9b9eaee0e30b0b27983c50	237789	2	main	z	15	rectangle	local	RVF	yes	present	1	1014
5e9b9eaee0e30b0b27983c50	240488	2	main	z	16	square	local	RVF	yes	present	1	1447
5e9b9eaee0e30b0b27983c50	242968	2	main	z	17	rectangle	local	LVF	yes	present	1	1211
5e9b9eaee0e30b0b27983c50	245526	2	main	z	18	square	global	RVF	yes	present	1	1336
5e9b9eaee0e30b0b27983c50	247638	2	main	z	19	rectangle	global	RVF	yes	present	1	1031
5e9b9eaee0e30b0b27983c50	249556	2	main	z	20	square	global	RVF	yes	present	1	632
5e9b9eaee0e30b0b27983c50	251850	2	main	z	21	square	local	LVF	yes	present	1	1010
5e9b9eaee0e30b0b27983c50	254273	2	main	z	22	rectangle	global	LVF	yes	present	1	1248
5e9b9eaee0e30b0b27983c50	257039	2	main	z	23	rectangle	local	LVF	yes	present	1	1731
5e9b9eaee0e30b0b27983c50	259374	2	main	z	24	square	local	LVF	yes	present	1	1099
5e9b9eaee0e30b0b27983c50	261632	2	main	z	25	rectangle	global	RVF	yes	present	1	1158
5e9b9eaee0e30b0b27983c50	263908	2	main	z	26	rectangle	local	LVF	yes	present	1	1135
5e9b9eaee0e30b0b27983c50	266564	2	main	z	27	rectangle	global	LVF	yes	present	1	1440
5e9b9eaee0e30b0b27983c50	269722	2	main	z	28	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	272078	2	main	z	29	square	global	LVF	yes	present	1	988
5e9b9eaee0e30b0b27983c50	274018	2	main	z	30	square	local	RVF	yes	present	1	894
5e9b9eaee0e30b0b27983c50	277173	2	main	z	31	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	278686	2	main	z	32	rectangle	local	RVF	yes	present	1	395
5e9b9eaee0e30b0b27983c50	282173	2	main	z	33	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	285222	2	main	z	34	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	286844	2	main	z	35	rectangle	global	LVF	yes	present	1	635
5e9b9eaee0e30b0b27983c50	288442	2	main	z	36	square	global	LVF	yes	present	1	483
5e9b9eaee0e30b0b27983c50	289938	2	main	z	37	rectangle	local	RVF	yes	present	1	479
5e9b9eaee0e30b0b27983c50	291236	2	main	z	38	square	global	LVF	yes	present	1	361
5e9b9eaee0e30b0b27983c50	292974	2	main	z	39	rectangle	local	LVF	yes	present	1	598
5e9b9eaee0e30b0b27983c50	294745	2	main	z	40	square	global	RVF	yes	present	1	753
5e9b9eaee0e30b0b27983c50	296140	2	main	z	41	square	local	RVF	yes	present	1	548
5e9b9eaee0e30b0b27983c50	297597	2	main	z	42	square	global	RVF	yes	present	1	571
5e9b9eaee0e30b0b27983c50	299039	2	main	z	43	square	local	LVF	yes	present	1	564
5e9b9eaee0e30b0b27983c50	300503	2	main	z	44	square	global	LVF	yes	present	1	628
5e9b9eaee0e30b0b27983c50	301806	2	main	z	45	square	global	RVF	yes	present	1	448
5e9b9eaee0e30b0b27983c50	303082	2	main	z	46	square	global	LVF	yes	present	1	424
5e9b9eaee0e30b0b27983c50	304304	2	main	z	47	rectangle	local	RVF	yes	present	1	397
5e9b9eaee0e30b0b27983c50	305521	2	main	z	48	rectangle	local	RVF	yes	present	1	379
5e9b9eaee0e30b0b27983c50	308340	2	main	z	49	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	309787	2	main	z	50	square	local	RVF	yes	present	1	377
5e9b9eaee0e30b0b27983c50	312890	2	main	z	51	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	314512	2	main	z	52	square	local	RVF	yes	present	1	486
5e9b9eaee0e30b0b27983c50	316434	2	main	z	53	rectangle	global	LVF	yes	present	1	1058
5e9b9eaee0e30b0b27983c50	319258	2	main	z	54	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	321317	2	main	z	55	absent	absent	absent	no	present	0	1107
5e9b9eaee0e30b0b27983c50	323220	2	main	z	56	square	local	LVF	yes	present	1	627
5e9b9eaee0e30b0b27983c50	324789	2	main	z	57	square	local	LVF	yes	present	1	497
5e9b9eaee0e30b0b27983c50	326282	2	main	z	58	square	global	RVF	yes	present	1	555
5e9b9eaee0e30b0b27983c50	327688	2	main	z	59	rectangle	global	RVF	yes	present	1	529
5e9b9eaee0e30b0b27983c50	329305	2	main	z	60	rectangle	global	RVF	yes	present	1	645
5e9b9eaee0e30b0b27983c50	330886	2	main	z	61	absent	absent	absent	no	present	0	609
5e9b9eaee0e30b0b27983c50	332437	2	main	z	62	rectangle	local	RVF	yes	present	1	577
5e9b9eaee0e30b0b27983c50	334404	2	main	z	63	rectangle	local	LVF	yes	present	1	1027
5e9b9eaee0e30b0b27983c50	337258	2	main	z	64	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	339007	2	main	z	65	square	local	RVF	yes	present	1	847
5e9b9eaee0e30b0b27983c50	340552	2	main	z	66	rectangle	local	RVF	yes	present	1	592
5e9b9eaee0e30b0b27983c50	341988	2	main	z	67	rectangle	global	RVF	yes	present	1	529
5e9b9eaee0e30b0b27983c50	343401	2	main	z	68	square	global	LVF	yes	present	1	508
5e9b9eaee0e30b0b27983c50	345189	2	main	z	69	rectangle	local	LVF	yes	present	1	864
5e9b9eaee0e30b0b27983c50	348042	2	main	z	70	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	349473	2	main	z	71	rectangle	global	LVF	yes	present	1	497
5e9b9eaee0e30b0b27983c50	350823	2	main	z	72	square	global	RVF	yes	present	1	429
5e9b9eaee0e30b0b27983c50	352180	2	main	z	73	rectangle	global	LVF	yes	present	1	486
5e9b9eaee0e30b0b27983c50	353425	2	main	z	74	rectangle	local	LVF	yes	present	1	415
5e9b9eaee0e30b0b27983c50	356258	2	main	z	75	absent	absent	absent	no	absent	1	2000
5e9b9eaee0e30b0b27983c50	358117	2	main	z	76	square	global	LVF	yes	present	1	757
5e9b9eaee0e30b0b27983c50	359513	2	main	z	77	rectangle	global	RVF	yes	present	1	420
5e9b9eaee0e30b0b27983c50	360956	2	main	z	78	rectangle	global	LVF	yes	present	1	513
5e9b9eaee0e30b0b27983c50	362658	2	main	z	79	square	local	LVF	yes	present	1	814
5e9b9eaee0e30b0b27983c50	364193	2	main	z	80	rectangle	local	LVF	yes	present	1	599
5e9b9eaee0e30b0b27983c50	392667	3	practice	slash	1	rectangle	global	RVF	yes	present	1	572
5e9b9eaee0e30b0b27983c50	395482	3	practice	slash	2	square	global	LVF	yes	present	1	438
5e9b9eaee0e30b0b27983c50	398311	3	practice	slash	3	square	global	LVF	yes	present	1	650
5e9b9eaee0e30b0b27983c50	400744	3	practice	slash	4	rectangle	local	RVF	yes	present	1	350
