subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ec3f8bde69a92288ec450af	161021	1	practice	slash	1	rectangle	global	RVF	yes	present	1	637
5ec3f8bde69a92288ec450af	165646	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
5ec3f8bde69a92288ec450af	171936	1	practice	slash	3	rectangle	local	RVF	yes	present	1	1939
5ec3f8bde69a92288ec450af	175894	1	practice	slash	4	rectangle	global	LVF	yes	present	1	1329
5ec3f8bde69a92288ec450af	178971	1	practice	slash	5	rectangle	global	LVF	yes	present	1	758
5ec3f8bde69a92288ec450af	182419	1	practice	slash	6	square	local	LVF	yes	present	1	1022
5ec3f8bde69a92288ec450af	186088	1	practice	slash	7	square	global	LVF	yes	present	1	758
5ec3f8bde69a92288ec450af	189481	1	practice	slash	8	rectangle	local	RVF	yes	present	1	851
5ec3f8bde69a92288ec450af	193827	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
5ec3f8bde69a92288ec450af	197896	1	practice	slash	10	square	global	LVF	yes	present	1	667
5ec3f8bde69a92288ec450af	206176	1	practice	slash	11	rectangle	global	RVF	yes	present	1	830
5ec3f8bde69a92288ec450af	211277	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
5ec3f8bde69a92288ec450af	215593	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
5ec3f8bde69a92288ec450af	218797	1	practice	slash	14	rectangle	local	RVF	yes	present	1	867
5ec3f8bde69a92288ec450af	222279	1	practice	slash	15	square	global	RVF	yes	present	1	716
5ec3f8bde69a92288ec450af	226527	1	practice	slash	16	square	local	LVF	yes	absent	0	2000
5ec3f8bde69a92288ec450af	232759	2	main	slash	1	absent	absent	absent	no	absent	1	2000
5ec3f8bde69a92288ec450af	235611	2	main	slash	2	square	local	LVF	yes	present	1	867
5ec3f8bde69a92288ec450af	238038	2	main	slash	3	rectangle	local	LVF	yes	present	1	694
5ec3f8bde69a92288ec450af	240244	2	main	slash	4	square	local	RVF	yes	present	1	850
5ec3f8bde69a92288ec450af	242510	2	main	slash	5	rectangle	global	LVF	yes	present	1	900
5ec3f8bde69a92288ec450af	245624	2	main	slash	6	absent	absent	absent	no	absent	1	2000
5ec3f8bde69a92288ec450af	248992	2	main	slash	7	absent	absent	absent	no	absent	1	2000
5ec3f8bde69a92288ec450af	251325	2	main	slash	8	square	global	LVF	yes	present	1	1014
5ec3f8bde69a92288ec450af	254791	2	main	slash	9	absent	absent	absent	no	absent	1	2000
5ec3f8bde69a92288ec450af	256782	2	main	slash	10	rectangle	local	RVF	yes	present	1	789
5ec3f8bde69a92288ec450af	260241	2	main	slash	11	square	local	LVF	yes	absent	0	2000
5ec3f8bde69a92288ec450af	262301	2	main	slash	12	rectangle	local	RVF	yes	present	1	758
5ec3f8bde69a92288ec450af	264857	2	main	slash	13	square	global	LVF	yes	present	1	930
5ec3f8bde69a92288ec450af	267000	2	main	slash	14	rectangle	local	RVF	yes	present	1	857
5ec3f8bde69a92288ec450af	269360	2	main	slash	15	rectangle	local	LVF	yes	present	1	1218
5ec3f8bde69a92288ec450af	271744	2	main	slash	16	square	global	RVF	yes	present	1	1152
5ec3f8bde69a92288ec450af	273883	2	main	slash	17	rectangle	global	LVF	yes	present	1	941
5ec3f8bde69a92288ec450af	275946	2	main	slash	18	rectangle	global	RVF	yes	present	1	905
5ec3f8bde69a92288ec450af	279048	2	main	slash	19	square	local	RVF	yes	present	1	1955
5ec3f8bde69a92288ec450af	282357	2	main	slash	20	absent	absent	absent	no	absent	1	2000
