subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ed3f7a0f387a109b6580537	645770	9.5	practice	z	1	square	global	RVF	yes	present	1	1616
5ed3f7a0f387a109b6580537	650998	9.5	practice	z	2	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	655565	9.5	practice	z	3	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	658960	9.5	practice	z	4	square	global	LVF	yes	present	1	909
5ed3f7a0f387a109b6580537	662960	9.5	practice	z	5	rectangle	global	LVF	yes	present	1	759
5ed3f7a0f387a109b6580537	667348	9.5	practice	z	6	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	670744	9.5	practice	z	7	rectangle	global	LVF	yes	present	1	944
5ed3f7a0f387a109b6580537	674394	9.5	practice	z	8	square	local	LVF	yes	present	1	1325
5ed3f7a0f387a109b6580537	678737	9.5	practice	z	9	rectangle	global	RVF	yes	present	1	1835
5ed3f7a0f387a109b6580537	681994	9.5	practice	z	10	square	local	LVF	yes	present	1	1009
5ed3f7a0f387a109b6580537	685160	9.5	practice	z	11	rectangle	local	RVF	yes	present	1	976
5ed3f7a0f387a109b6580537	689548	9.5	practice	z	12	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	693064	9.5	practice	z	13	square	global	LVF	yes	present	1	747
5ed3f7a0f387a109b6580537	696345	9.5	practice	z	14	rectangle	local	RVF	yes	present	1	877
5ed3f7a0f387a109b6580537	699040	9.5	practice	z	15	rectangle	global	RVF	yes	present	1	757
5ed3f7a0f387a109b6580537	701849	9.5	practice	z	16	rectangle	local	RVF	yes	present	1	715
5ed3f7a0f387a109b6580537	706928	10.5	main	z	1	square	local	LVF	yes	present	1	727
5ed3f7a0f387a109b6580537	709937	10.5	main	z	2	rectangle	local	LVF	yes	present	1	952
5ed3f7a0f387a109b6580537	711752	10.5	main	z	3	square	local	RVF	yes	present	1	785
5ed3f7a0f387a109b6580537	713624	10.5	main	z	4	rectangle	local	RVF	yes	present	1	907
5ed3f7a0f387a109b6580537	716531	10.5	main	z	5	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	718320	10.5	main	z	6	square	global	LVF	yes	present	1	770
5ed3f7a0f387a109b6580537	719960	10.5	main	z	7	rectangle	global	RVF	yes	present	1	710
5ed3f7a0f387a109b6580537	722898	10.5	main	z	8	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	724601	10.5	main	z	9	square	global	RVF	yes	present	1	717
5ed3f7a0f387a109b6580537	726817	10.5	main	z	10	absent	absent	absent	no	present	0	1266
5ed3f7a0f387a109b6580537	728824	10.5	main	z	11	rectangle	local	RVF	yes	present	1	1191
5ed3f7a0f387a109b6580537	731698	10.5	main	z	12	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	733481	10.5	main	z	13	square	global	RVF	yes	present	1	897
5ed3f7a0f387a109b6580537	735784	10.5	main	z	14	rectangle	local	LVF	yes	present	1	1067
5ed3f7a0f387a109b6580537	737680	10.5	main	z	15	square	global	RVF	yes	present	1	913
5ed3f7a0f387a109b6580537	739592	10.5	main	z	16	square	global	RVF	yes	present	1	875
5ed3f7a0f387a109b6580537	742582	10.5	main	z	17	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	744801	10.5	main	z	18	rectangle	local	LVF	yes	present	1	783
5ed3f7a0f387a109b6580537	746937	10.5	main	z	19	rectangle	global	RVF	yes	present	1	1219
5ed3f7a0f387a109b6580537	748792	10.5	main	z	20	rectangle	local	RVF	yes	present	1	975
5ed3f7a0f387a109b6580537	750961	10.5	main	z	21	absent	absent	absent	no	present	0	1277
5ed3f7a0f387a109b6580537	753064	10.5	main	z	22	square	local	LVF	yes	present	1	1231
5ed3f7a0f387a109b6580537	755033	10.5	main	z	23	square	global	LVF	yes	present	1	1082
5ed3f7a0f387a109b6580537	757056	10.5	main	z	24	square	local	RVF	yes	present	1	1123
5ed3f7a0f387a109b6580537	758897	10.5	main	z	25	rectangle	local	LVF	yes	present	1	963
5ed3f7a0f387a109b6580537	761748	10.5	main	z	26	absent	absent	absent	no	absent	1	2000
5ed3f7a0f387a109b6580537	763288	10.5	main	z	27	square	global	LVF	yes	present	1	638
5ed3f7a0f387a109b6580537	764953	10.5	main	z	28	square	local	LVF	yes	present	1	769
5ed3f7a0f387a109b6580537	766537	10.5	main	z	29	rectangle	local	RVF	yes	present	1	703
5ed3f7a0f387a109b6580537	768024	10.5	main	z	30	rectangle	global	LVF	yes	present	1	641
