subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f0fba550d4c1304aa069f1d	693562	9.5	practice	slash	1	rectangle	local	RVF	yes	absent	0	2003
5f0fba550d4c1304aa069f1d	697213	9.5	practice	slash	2	rectangle	global	RVF	yes	present	1	689
5f0fba550d4c1304aa069f1d	700886	9.5	practice	slash	3	square	global	LVF	yes	present	1	473
5f0fba550d4c1304aa069f1d	705346	9.5	practice	slash	4	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	709638	9.5	practice	slash	5	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	712603	9.5	practice	slash	6	square	global	RVF	yes	present	1	684
5f0fba550d4c1304aa069f1d	715703	9.5	practice	slash	7	rectangle	global	LVF	yes	present	1	882
5f0fba550d4c1304aa069f1d	718780	9.5	practice	slash	8	rectangle	global	RVF	yes	present	1	723
5f0fba550d4c1304aa069f1d	722163	9.5	practice	slash	9	square	local	LVF	yes	present	1	1070
5f0fba550d4c1304aa069f1d	726359	9.5	practice	slash	10	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	730748	9.5	practice	slash	11	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	733744	9.5	practice	slash	12	square	local	LVF	yes	present	1	819
5f0fba550d4c1304aa069f1d	736424	9.5	practice	slash	13	square	global	LVF	yes	present	1	470
5f0fba550d4c1304aa069f1d	740644	9.5	practice	slash	14	rectangle	global	LVF	yes	absent	0	2003
5f0fba550d4c1304aa069f1d	743831	9.5	practice	slash	15	rectangle	local	RVF	yes	present	1	677
5f0fba550d4c1304aa069f1d	747160	9.5	practice	slash	16	rectangle	local	RVF	yes	present	1	1200
5f0fba550d4c1304aa069f1d	752894	10.5	main	slash	1	square	local	RVF	yes	present	1	548
5f0fba550d4c1304aa069f1d	757582	10.5	main	slash	2	rectangle	global	LVF	yes	present	1	1853
5f0fba550d4c1304aa069f1d	761239	10.5	main	slash	3	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	766300	10.5	main	slash	4	square	local	RVF	yes	present	1	627
5f0fba550d4c1304aa069f1d	769884	10.5	main	slash	5	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	772937	10.5	main	slash	6	rectangle	global	LVF	yes	present	1	1375
5f0fba550d4c1304aa069f1d	776438	10.5	main	slash	7	square	local	RVF	yes	present	1	939
5f0fba550d4c1304aa069f1d	778815	10.5	main	slash	8	rectangle	global	RVF	yes	present	1	941
5f0fba550d4c1304aa069f1d	781174	10.5	main	slash	9	rectangle	local	LVF	yes	present	1	751
5f0fba550d4c1304aa069f1d	783463	10.5	main	slash	10	rectangle	local	RVF	yes	present	1	797
5f0fba550d4c1304aa069f1d	786560	10.5	main	slash	11	square	global	LVF	yes	present	1	1700
5f0fba550d4c1304aa069f1d	788647	10.5	main	slash	12	square	local	LVF	yes	present	1	599
5f0fba550d4c1304aa069f1d	792433	10.5	main	slash	13	square	global	RVF	yes	absent	0	2003
5f0fba550d4c1304aa069f1d	794641	10.5	main	slash	14	square	global	RVF	yes	present	1	899
5f0fba550d4c1304aa069f1d	797641	10.5	main	slash	15	rectangle	local	LVF	yes	present	1	948
5f0fba550d4c1304aa069f1d	800182	10.5	main	slash	16	square	local	LVF	yes	present	1	774
5f0fba550d4c1304aa069f1d	802426	10.5	main	slash	17	square	global	LVF	yes	present	1	733
5f0fba550d4c1304aa069f1d	804798	10.5	main	slash	18	square	global	LVF	yes	present	1	897
5f0fba550d4c1304aa069f1d	807056	10.5	main	slash	19	absent	absent	absent	no	present	0	842
5f0fba550d4c1304aa069f1d	808853	10.5	main	slash	20	square	local	LVF	yes	present	1	550
5f0fba550d4c1304aa069f1d	810829	10.5	main	slash	21	square	global	RVF	yes	present	1	601
5f0fba550d4c1304aa069f1d	812852	10.5	main	slash	22	square	local	RVF	yes	present	1	749
5f0fba550d4c1304aa069f1d	815315	10.5	main	slash	23	rectangle	global	LVF	yes	present	1	1157
5f0fba550d4c1304aa069f1d	817618	10.5	main	slash	24	rectangle	local	RVF	yes	present	1	1009
5f0fba550d4c1304aa069f1d	821064	10.5	main	slash	25	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	822873	10.5	main	slash	26	square	local	LVF	yes	present	1	555
5f0fba550d4c1304aa069f1d	826286	10.5	main	slash	27	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	829271	10.5	main	slash	28	square	global	RVF	yes	present	1	1669
5f0fba550d4c1304aa069f1d	831826	10.5	main	slash	29	absent	absent	absent	no	present	0	1259
5f0fba550d4c1304aa069f1d	833968	10.5	main	slash	30	square	global	LVF	yes	present	1	1005
5f0fba550d4c1304aa069f1d	837258	10.5	main	slash	31	rectangle	local	RVF	yes	absent	0	2003
5f0fba550d4c1304aa069f1d	841056	10.5	main	slash	32	rectangle	global	RVF	yes	absent	0	2003
5f0fba550d4c1304aa069f1d	844466	10.5	main	slash	33	rectangle	global	RVF	yes	absent	0	2003
5f0fba550d4c1304aa069f1d	846926	10.5	main	slash	34	rectangle	global	RVF	yes	present	1	796
5f0fba550d4c1304aa069f1d	849170	10.5	main	slash	35	rectangle	local	LVF	yes	present	1	902
5f0fba550d4c1304aa069f1d	851882	10.5	main	slash	36	absent	absent	absent	no	present	0	1489
5f0fba550d4c1304aa069f1d	854359	10.5	main	slash	37	absent	absent	absent	no	present	0	1362
5f0fba550d4c1304aa069f1d	856335	10.5	main	slash	38	rectangle	local	LVF	yes	present	1	789
5f0fba550d4c1304aa069f1d	858482	10.5	main	slash	39	rectangle	global	LVF	yes	present	1	825
5f0fba550d4c1304aa069f1d	860844	10.5	main	slash	40	rectangle	local	RVF	yes	present	1	1123
5f0fba550d4c1304aa069f1d	863106	10.5	main	slash	41	rectangle	local	RVF	yes	present	1	1081
5f0fba550d4c1304aa069f1d	866320	10.5	main	slash	42	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	869128	10.5	main	slash	43	absent	absent	absent	no	present	0	1471
5f0fba550d4c1304aa069f1d	870931	10.5	main	slash	44	square	local	RVF	yes	present	1	649
5f0fba550d4c1304aa069f1d	872631	10.5	main	slash	45	rectangle	global	LVF	yes	present	1	419
5f0fba550d4c1304aa069f1d	874361	10.5	main	slash	46	rectangle	global	LVF	yes	present	1	461
5f0fba550d4c1304aa069f1d	876277	10.5	main	slash	47	rectangle	local	LVF	yes	present	1	545
5f0fba550d4c1304aa069f1d	878155	10.5	main	slash	48	rectangle	global	RVF	yes	present	1	616
5f0fba550d4c1304aa069f1d	881541	10.5	main	slash	49	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	883231	10.5	main	slash	50	square	local	RVF	yes	present	1	602
5f0fba550d4c1304aa069f1d	886368	10.5	main	slash	51	rectangle	global	RVF	yes	present	1	935
5f0fba550d4c1304aa069f1d	888441	10.5	main	slash	52	square	global	LVF	yes	present	1	576
5f0fba550d4c1304aa069f1d	889938	10.5	main	slash	53	square	local	LVF	yes	present	1	448
5f0fba550d4c1304aa069f1d	891541	10.5	main	slash	54	rectangle	global	RVF	yes	present	1	517
5f0fba550d4c1304aa069f1d	893314	10.5	main	slash	55	rectangle	local	RVF	yes	present	1	686
5f0fba550d4c1304aa069f1d	894806	10.5	main	slash	56	square	local	LVF	yes	present	1	518
5f0fba550d4c1304aa069f1d	896313	10.5	main	slash	57	square	local	LVF	yes	present	1	413
5f0fba550d4c1304aa069f1d	897875	10.5	main	slash	58	rectangle	local	LVF	yes	present	1	476
5f0fba550d4c1304aa069f1d	899336	10.5	main	slash	59	square	global	LVF	yes	present	1	430
5f0fba550d4c1304aa069f1d	901051	10.5	main	slash	60	absent	absent	absent	no	present	0	686
5f0fba550d4c1304aa069f1d	902768	10.5	main	slash	61	square	local	RVF	yes	present	1	612
5f0fba550d4c1304aa069f1d	904596	10.5	main	slash	62	rectangle	local	LVF	yes	present	1	802
5f0fba550d4c1304aa069f1d	906115	10.5	main	slash	63	square	global	LVF	yes	present	1	509
5f0fba550d4c1304aa069f1d	909214	10.5	main	slash	64	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	910879	10.5	main	slash	65	square	local	LVF	yes	present	1	494
5f0fba550d4c1304aa069f1d	912666	10.5	main	slash	66	square	global	RVF	yes	present	1	774
5f0fba550d4c1304aa069f1d	915687	10.5	main	slash	67	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	917727	10.5	main	slash	68	square	global	LVF	yes	present	1	905
5f0fba550d4c1304aa069f1d	919571	10.5	main	slash	69	rectangle	local	RVF	yes	present	1	846
5f0fba550d4c1304aa069f1d	921144	10.5	main	slash	70	rectangle	local	RVF	yes	present	1	552
5f0fba550d4c1304aa069f1d	924089	10.5	main	slash	71	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	926442	10.5	main	slash	72	square	global	RVF	yes	present	1	1210
5f0fba550d4c1304aa069f1d	929436	10.5	main	slash	73	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	931255	10.5	main	slash	74	square	global	RVF	yes	present	1	586
5f0fba550d4c1304aa069f1d	932856	10.5	main	slash	75	square	global	RVF	yes	present	1	549
5f0fba550d4c1304aa069f1d	934452	10.5	main	slash	76	rectangle	global	LVF	yes	present	1	582
5f0fba550d4c1304aa069f1d	936302	10.5	main	slash	77	square	local	RVF	yes	present	1	883
5f0fba550d4c1304aa069f1d	938951	10.5	main	slash	78	rectangle	local	LVF	yes	present	1	1692
5f0fba550d4c1304aa069f1d	940915	10.5	main	slash	79	rectangle	global	LVF	yes	present	1	1031
5f0fba550d4c1304aa069f1d	942331	10.5	main	slash	80	rectangle	global	RVF	yes	present	1	468
5f0fba550d4c1304aa069f1d	976598	11.5	practice	z	1	square	local	LVF	yes	present	1	554
5f0fba550d4c1304aa069f1d	980377	11.5	practice	z	2	rectangle	global	RVF	yes	present	1	549
5f0fba550d4c1304aa069f1d	982925	11.5	practice	z	3	square	global	RVF	yes	present	1	539
5f0fba550d4c1304aa069f1d	985746	11.5	practice	z	4	rectangle	local	RVF	yes	present	1	549
5f0fba550d4c1304aa069f1d	988393	11.5	practice	z	5	square	global	LVF	yes	present	1	440
5f0fba550d4c1304aa069f1d	991112	11.5	practice	z	6	square	local	LVF	yes	present	1	436
5f0fba550d4c1304aa069f1d	993692	11.5	practice	z	7	square	global	LVF	yes	present	1	440
5f0fba550d4c1304aa069f1d	996536	11.5	practice	z	8	rectangle	global	LVF	yes	present	1	715
5f0fba550d4c1304aa069f1d	999254	11.5	practice	z	9	rectangle	local	RVF	yes	present	1	592
5f0fba550d4c1304aa069f1d	1003346	11.5	practice	z	10	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	1006096	11.5	practice	z	11	rectangle	global	RVF	yes	present	1	587
5f0fba550d4c1304aa069f1d	1009020	11.5	practice	z	12	rectangle	global	LVF	yes	present	1	622
5f0fba550d4c1304aa069f1d	1013096	11.5	practice	z	13	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	1017255	11.5	practice	z	14	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	1021512	11.5	practice	z	15	rectangle	local	RVF	yes	absent	0	2003
5f0fba550d4c1304aa069f1d	1025727	11.5	practice	z	16	absent	absent	absent	no	absent	1	2003
5f0fba550d4c1304aa069f1d	1030555	12.5	main	z	1	square	local	LVF	yes	present	1	408
5f0fba550d4c1304aa069f1d	1033258	12.5	main	z	2	rectangle	global	LVF	yes	present	1	1286
5f0fba550d4c1304aa069f1d	1035192	12.5	main	z	3	rectangle	local	RVF	yes	present	1	561
5f0fba550d4c1304aa069f1d	1036839	12.5	main	z	4	rectangle	local	RVF	yes	present	1	513
5f0fba550d4c1304aa069f1d	1038611	12.5	main	z	5	rectangle	global	RVF	yes	present	1	521
5f0fba550d4c1304aa069f1d	1040166	12.5	main	z	6	rectangle	global	LVF	yes	present	1	333
5f0fba550d4c1304aa069f1d	1041737	12.5	main	z	7	rectangle	global	LVF	yes	present	1	327
5f0fba550d4c1304aa069f1d	1043264	12.5	main	z	8	square	local	RVF	yes	present	1	398
5f0fba550d4c1304aa069f1d	1045125	12.5	main	z	9	square	global	RVF	yes	present	1	389
5f0fba550d4c1304aa069f1d	1047150	12.5	main	z	10	absent	absent	absent	no	present	0	838
5f0fba550d4c1304aa069f1d	1048773	12.5	main	z	11	rectangle	local	LVF	yes	present	1	503
5f0fba550d4c1304aa069f1d	1050457	12.5	main	z	12	square	local	LVF	yes	present	1	485
5f0fba550d4c1304aa069f1d	1052334	12.5	main	z	13	square	global	LVF	yes	present	1	480
5f0fba550d4c1304aa069f1d	1054667	12.5	main	z	14	square	local	LVF	yes	present	1	425
5f0fba550d4c1304aa069f1d	1056256	12.5	main	z	15	square	global	LVF	yes	present	1	398
5f0fba550d4c1304aa069f1d	1057867	12.5	main	z	16	square	global	RVF	yes	present	1	382
5f0fba550d4c1304aa069f1d	1059596	12.5	main	z	17	rectangle	global	RVF	yes	present	1	537
5f0fba550d4c1304aa069f1d	1061124	12.5	main	z	18	square	local	LVF	yes	present	1	395
5f0fba550d4c1304aa069f1d	1062927	12.5	main	z	19	square	local	RVF	yes	present	1	462
5f0fba550d4c1304aa069f1d	1064445	12.5	main	z	20	rectangle	local	LVF	yes	present	1	342
5f0fba550d4c1304aa069f1d	1066082	12.5	main	z	21	square	global	RVF	yes	present	1	401
