subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f4a835e9e84256238129995	166039	1	practice	slash	1	square	global	LVF	yes	present	1	572
5f4a835e9e84256238129995	169141	1	practice	slash	2	rectangle	global	LVF	yes	present	1	405
5f4a835e9e84256238129995	171830	1	practice	slash	3	rectangle	global	RVF	yes	present	1	507
5f4a835e9e84256238129995	176042	1	practice	slash	4	rectangle	local	RVF	yes	absent	0	2000
5f4a835e9e84256238129995	180247	1	practice	slash	5	rectangle	local	RVF	yes	absent	0	2000
5f4a835e9e84256238129995	183200	1	practice	slash	6	square	local	LVF	yes	present	1	648
5f4a835e9e84256238129995	187388	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	190317	1	practice	slash	8	rectangle	local	RVF	yes	present	1	774
5f4a835e9e84256238129995	193707	1	practice	slash	9	square	global	LVF	yes	present	1	1294
5f4a835e9e84256238129995	196512	1	practice	slash	10	square	global	RVF	yes	present	1	746
5f4a835e9e84256238129995	199404	1	practice	slash	11	absent	absent	absent	no	present	0	670
5f4a835e9e84256238129995	203388	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	205812	1	practice	slash	13	rectangle	global	RVF	yes	present	1	419
5f4a835e9e84256238129995	208248	1	practice	slash	14	rectangle	global	LVF	yes	present	1	404
5f4a835e9e84256238129995	212214	1	practice	slash	15	square	local	LVF	yes	absent	0	2000
5f4a835e9e84256238129995	214859	1	practice	slash	16	absent	absent	absent	no	present	0	558
5f4a835e9e84256238129995	220890	2	main	slash	1	rectangle	local	LVF	yes	absent	0	2000
5f4a835e9e84256238129995	223777	2	main	slash	2	square	global	RVF	yes	present	1	634
5f4a835e9e84256238129995	226093	2	main	slash	3	rectangle	local	LVF	yes	present	1	663
5f4a835e9e84256238129995	229569	2	main	slash	4	square	global	RVF	yes	present	1	436
5f4a835e9e84256238129995	231331	2	main	slash	5	square	local	LVF	yes	present	1	495
5f4a835e9e84256238129995	234738	2	main	slash	6	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	236558	2	main	slash	7	square	global	RVF	yes	present	1	484
5f4a835e9e84256238129995	238576	2	main	slash	8	square	local	RVF	yes	present	1	482
5f4a835e9e84256238129995	241512	2	main	slash	9	absent	absent	absent	no	present	0	832
5f4a835e9e84256238129995	243453	2	main	slash	10	square	local	RVF	yes	present	1	671
5f4a835e9e84256238129995	246026	2	main	slash	11	rectangle	local	RVF	yes	present	1	557
5f4a835e9e84256238129995	247797	2	main	slash	12	square	local	LVF	yes	present	1	610
5f4a835e9e84256238129995	249288	2	main	slash	13	square	global	LVF	yes	present	1	367
5f4a835e9e84256238129995	252558	2	main	slash	14	square	local	RVF	yes	absent	0	2000
5f4a835e9e84256238129995	254303	2	main	slash	15	square	local	LVF	yes	present	1	609
5f4a835e9e84256238129995	256318	2	main	slash	16	rectangle	global	RVF	yes	present	1	705
5f4a835e9e84256238129995	259599	2	main	slash	17	rectangle	local	RVF	yes	absent	0	2000
5f4a835e9e84256238129995	262652	2	main	slash	18	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	264103	2	main	slash	19	rectangle	global	RVF	yes	present	1	365
5f4a835e9e84256238129995	266182	2	main	slash	20	absent	absent	absent	no	present	0	491
5f4a835e9e84256238129995	269393	2	main	slash	21	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	270880	2	main	slash	22	rectangle	global	LVF	yes	present	1	435
5f4a835e9e84256238129995	272804	2	main	slash	23	rectangle	global	RVF	yes	present	1	524
5f4a835e9e84256238129995	276000	2	main	slash	24	rectangle	local	RVF	yes	absent	0	2000
5f4a835e9e84256238129995	277660	2	main	slash	25	square	global	LVF	yes	present	1	424
5f4a835e9e84256238129995	279767	2	main	slash	26	square	local	LVF	yes	present	1	845
5f4a835e9e84256238129995	281939	2	main	slash	27	rectangle	local	LVF	yes	present	1	915
5f4a835e9e84256238129995	283589	2	main	slash	28	rectangle	global	LVF	yes	present	1	513
5f4a835e9e84256238129995	286695	2	main	slash	29	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	288749	2	main	slash	30	rectangle	global	LVF	yes	present	1	484
5f4a835e9e84256238129995	290560	2	main	slash	31	square	global	LVF	yes	present	1	609
5f4a835e9e84256238129995	293686	2	main	slash	32	square	local	RVF	yes	absent	0	2000
5f4a835e9e84256238129995	295260	2	main	slash	33	rectangle	global	LVF	yes	present	1	539
5f4a835e9e84256238129995	296813	2	main	slash	34	square	global	LVF	yes	present	1	472
5f4a835e9e84256238129995	298328	2	main	slash	35	square	global	RVF	yes	present	1	469
5f4a835e9e84256238129995	299945	2	main	slash	36	rectangle	global	RVF	yes	present	1	402
5f4a835e9e84256238129995	303129	2	main	slash	37	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	306132	2	main	slash	38	rectangle	local	RVF	yes	absent	0	2000
5f4a835e9e84256238129995	308127	2	main	slash	39	rectangle	local	LVF	yes	present	1	974
5f4a835e9e84256238129995	311288	2	main	slash	40	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	312811	2	main	slash	41	square	local	LVF	yes	present	1	537
5f4a835e9e84256238129995	314324	2	main	slash	42	square	global	LVF	yes	present	1	448
5f4a835e9e84256238129995	317328	2	main	slash	43	rectangle	local	RVF	yes	absent	0	2000
5f4a835e9e84256238129995	318753	2	main	slash	44	rectangle	global	RVF	yes	present	1	389
5f4a835e9e84256238129995	320280	2	main	slash	45	rectangle	global	LVF	yes	present	1	413
5f4a835e9e84256238129995	322256	2	main	slash	46	rectangle	local	LVF	yes	present	1	955
5f4a835e9e84256238129995	323910	2	main	slash	47	rectangle	local	LVF	yes	present	1	541
5f4a835e9e84256238129995	327022	2	main	slash	48	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	328419	2	main	slash	49	rectangle	global	RVF	yes	present	1	428
5f4a835e9e84256238129995	330317	2	main	slash	50	square	local	RVF	yes	present	1	790
5f4a835e9e84256238129995	331913	2	main	slash	51	rectangle	global	LVF	yes	present	1	484
5f4a835e9e84256238129995	333622	2	main	slash	52	absent	absent	absent	no	present	0	608
5f4a835e9e84256238129995	335264	2	main	slash	53	square	global	LVF	yes	present	1	532
5f4a835e9e84256238129995	336734	2	main	slash	54	square	global	RVF	yes	present	1	417
5f4a835e9e84256238129995	339803	2	main	slash	55	absent	absent	absent	no	absent	1	2000
5f4a835e9e84256238129995	341486	2	main	slash	56	absent	absent	absent	no	present	0	713
