subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f4f5d2da7606a000ab233c9	388152	1	practice	z	1	square	local	LVF	yes	absent	0	2000
5f4f5d2da7606a000ab233c9	392602	1	practice	z	2	rectangle	local	RVF	yes	absent	0	2000
5f4f5d2da7606a000ab233c9	396835	1	practice	z	3	absent	absent	absent	no	absent	1	2000
5f4f5d2da7606a000ab233c9	400885	1	practice	z	4	absent	absent	absent	no	absent	1	2000
5f4f5d2da7606a000ab233c9	404016	1	practice	z	5	square	global	LVF	yes	present	1	981
5f4f5d2da7606a000ab233c9	408435	1	practice	z	6	absent	absent	absent	no	absent	1	2000
5f4f5d2da7606a000ab233c9	412368	1	practice	z	7	rectangle	local	RVF	yes	present	1	1399
5f4f5d2da7606a000ab233c9	415879	1	practice	z	8	rectangle	global	RVF	yes	present	1	1011
5f4f5d2da7606a000ab233c9	418912	1	practice	z	9	square	global	RVF	yes	present	1	693
5f4f5d2da7606a000ab233c9	421543	1	practice	z	10	square	global	LVF	yes	present	1	675
5f4f5d2da7606a000ab233c9	425518	1	practice	z	11	square	local	LVF	yes	absent	0	2000
5f4f5d2da7606a000ab233c9	428288	1	practice	z	12	rectangle	global	LVF	yes	present	1	719
5f4f5d2da7606a000ab233c9	431336	1	practice	z	13	rectangle	local	RVF	yes	present	1	1017
5f4f5d2da7606a000ab233c9	435352	1	practice	z	14	rectangle	global	RVF	yes	absent	0	2000
5f4f5d2da7606a000ab233c9	439502	1	practice	z	15	absent	absent	absent	no	absent	1	2000
5f4f5d2da7606a000ab233c9	442296	1	practice	z	16	rectangle	global	LVF	yes	present	1	761
5f4f5d2da7606a000ab233c9	451347	2	main	z	1	square	global	RVF	yes	present	1	717
5f4f5d2da7606a000ab233c9	453731	2	main	z	2	square	local	RVF	yes	present	1	916
5f4f5d2da7606a000ab233c9	456507	2	main	z	3	square	local	LVF	yes	present	1	742
5f4f5d2da7606a000ab233c9	459664	2	main	z	4	rectangle	global	RVF	yes	absent	0	2000
5f4f5d2da7606a000ab233c9	462898	2	main	z	5	square	local	LVF	yes	absent	0	2000
5f4f5d2da7606a000ab233c9	464691	2	main	z	6	square	global	RVF	yes	present	1	726
5f4f5d2da7606a000ab233c9	466652	2	main	z	7	rectangle	global	LVF	yes	present	1	721
5f4f5d2da7606a000ab233c9	468331	2	main	z	8	square	global	LVF	yes	present	1	717
5f4f5d2da7606a000ab233c9	470283	2	main	z	9	square	local	RVF	yes	present	1	1019
5f4f5d2da7606a000ab233c9	472164	2	main	z	10	square	local	RVF	yes	present	1	766
5f4f5d2da7606a000ab233c9	475115	2	main	z	11	square	global	RVF	yes	absent	0	2000
5f4f5d2da7606a000ab233c9	478564	2	main	z	12	rectangle	local	RVF	yes	present	1	1816
5f4f5d2da7606a000ab233c9	480995	2	main	z	13	square	local	LVF	yes	present	1	1231
5f4f5d2da7606a000ab233c9	483051	2	main	z	14	rectangle	local	LVF	yes	present	1	971
